# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.364593622375749903e-03,7.590461417669810312e-05,-4.019672786526687705e-03
1.472918724475149981e-02,3.032629579466838889e-04,-8.031998076751265328e-03
2.209378086712725231e-02,6.810139101303864812e-04,-1.202966861481566396e-02
2.945837448950299961e-02,1.207406683833355887e-03,-1.600545718085431834e-02
3.682296811187875385e-02,1.880026867609467262e-03,-1.995225550500315248e-02
4.418756173425450462e-02,2.695831750686729020e-03,-2.386311187949782114e-02
5.155215535663024845e-02,3.651193868649160040e-03,-2.773126707233183538e-02
5.891674897900599922e-02,4.741951494607271264e-03,-3.155018817670118825e-02
6.628134260138174305e-02,5.963464649502623477e-03,-3.531360006729624551e-02
7.364593622375750770e-02,7.310675117815781422e-03,-3.901551417643517317e-02
8.101052984613324459e-02,8.778168931551614748e-03,-4.265025434897128098e-02
8.837512346850900924e-02,1.036023982216144855e-02,-4.621247958368822351e-02
9.573971709088474613e-02,1.205095223010282934e-02,-4.969720351932567504e-02
1.031043107132604969e-01,1.384420259576851255e-02,-5.309981057427084344e-02
1.104689043356362477e-01,1.573377782285103124e-02,-5.641606869916605815e-02
1.178334979580119984e-01,1.771340999459624851e-02,-5.964213875016221439e-02
1.251980915803877492e-01,1.977682662388270673e-02,-6.277458053633985791e-02
1.325626852027634861e-01,2.191779591958602572e-02,-6.581035563710280201e-02
1.399272788251392508e-01,2.413016674562534075e-02,-6.874682712344999669e-02
1.472918724475150154e-01,2.640790312850636867e-02,-7.158175635043145801e-02
1.546564660698907523e-01,2.874511332898676066e-02,-7.431329701643367425e-02
1.620210596922664892e-01,3.113607363037553671e-02,-7.693998670801870110e-02
1.693856533146422261e-01,3.357524710829940667e-02,-7.946073616680196516e-02
1.767502469370180185e-01,3.605729773426624013e-02,-8.187481652738219651e-02
1.841148405593937554e-01,3.857710022895895902e-02,-8.418184478283118055e-02
1.914794341817694923e-01,4.112974612265049568e-02,-8.638176773701893019e-02
1.988440278041452569e-01,4.371054650181731283e-02,-8.847484470147491675e-02
2.062086214265209938e-01,4.631503192563340282e-02,-9.046162918902209138e-02
2.135732150488967585e-01,4.893894998639466976e-02,-9.234294984755127278e-02
2.209378086712724953e-01,5.157826096686807249e-02,-9.411989086555684614e-02
2.283024022936482600e-01,5.422913201774062775e-02,-9.579377206694418556e-02
2.356669959160239969e-01,5.688793024220600153e-02,-9.736612889666482196e-02
2.430315895383997338e-01,5.955121503442981079e-02,-9.883869248143527242e-02
2.503961831607754984e-01,6.221572997604030153e-02,-1.002133699316068854e-01
2.577607767831512353e-01,6.487839455147012546e-02,-1.014922250316115937e-01
2.651253704055269722e-01,6.753629590020568396e-02,-1.026774594476878577e-01
2.724899640279027646e-01,7.018668078280554390e-02,-1.037713945631266177e-01
