# q,<w**1.0>/wp(0)**1.0
1.500000000000000000e+00,2.896451969915282421e-01
1.510000000000000009e+00,2.935210390020298599e-01
1.520000000000000018e+00,2.974223224316004388e-01
1.530000000000000027e+00,3.013490357836039468e-01
1.540000000000000036e+00,3.053011668240818155e-01
1.550000000000000044e+00,3.092787035187380407e-01
1.560000000000000053e+00,3.132816369624091823e-01
1.570000000000000062e+00,3.173099515269371951e-01
1.580000000000000071e+00,3.213636349515379687e-01
1.590000000000000080e+00,3.254426829237285768e-01
1.600000000000000089e+00,3.295470810580770626e-01
1.610000000000000098e+00,3.336768138121288252e-01
1.620000000000000107e+00,3.378318775210709668e-01
1.630000000000000115e+00,3.420122546525714569e-01
1.640000000000000124e+00,3.462179420340860680e-01
1.650000000000000133e+00,3.504489225572279820e-01
1.660000000000000142e+00,3.547051886599756898e-01
1.670000000000000151e+00,3.589867345600480930e-01
1.679999999999999938e+00,3.632935433848717977e-01
1.689999999999999947e+00,3.676256091053696218e-01
1.699999999999999956e+00,3.719829225137445405e-01
1.709999999999999964e+00,3.763654744422557652e-01
1.719999999999999973e+00,3.807732561117211922e-01
1.729999999999999982e+00,3.852062590038047296e-01
1.739999999999999991e+00,3.896644751719831601e-01
1.750000000000000000e+00,3.941478960080165850e-01
1.760000000000000009e+00,3.986565141333124340e-01
1.770000000000000018e+00,4.031903218594182770e-01
1.780000000000000027e+00,4.077493080107504331e-01
1.790000000000000036e+00,4.123334738416012391e-01
1.800000000000000044e+00,4.169428085402316353e-01
1.810000000000000053e+00,4.215773016133363971e-01
1.820000000000000062e+00,4.262369555060694370e-01
1.830000000000000071e+00,4.309217559766336803e-01
1.840000000000000080e+00,4.356317061678641744e-01
1.850000000000000089e+00,4.403667923496455971e-01
1.860000000000000098e+00,4.451270183479164588e-01
1.870000000000000107e+00,4.499123710416209621e-01
1.880000000000000115e+00,4.547228505427973189e-01
1.890000000000000124e+00,4.595584576546975497e-01
1.900000000000000133e+00,4.644191796824676532e-01
1.910000000000000142e+00,4.693050180530897175e-01
1.920000000000000151e+00,4.742159698487729003e-01
1.929999999999999938e+00,4.791520325567160121e-01
1.939999999999999947e+00,4.841132038280266392e-01
1.949999999999999956e+00,4.890994819409699157e-01
1.959999999999999964e+00,4.941108649968814492e-01
1.969999999999999973e+00,4.991473519993838703e-01
1.979999999999999982e+00,5.042089420985104153e-01
1.989999999999999991e+00,5.092956342387452429e-01
2.000000000000000000e+00,5.144074282560938682e-01
2.009999999999999787e+00,5.195443191954678408e-01
2.020000000000000018e+00,5.247063176730878409e-01
2.029999999999999805e+00,5.298934164719808493e-01
2.040000000000000036e+00,5.351056356475443199e-01
2.049999999999999822e+00,5.403429089811662145e-01
2.059999999999999609e+00,5.456053442044700441e-01
2.069999999999999840e+00,5.508928608305428964e-01
2.079999999999999627e+00,5.562054944435427251e-01
2.089999999999999858e+00,5.615432338265249346e-01
2.099999999999999645e+00,5.478671794864181654e-01
2.109999999999999876e+00,5.323538441926485287e-01
2.119999999999999662e+00,5.288210825039416640e-01
2.129999999999999893e+00,5.288466076210939226e-01
2.139999999999999680e+00,5.316656964846350197e-01
2.149999999999999911e+00,5.385031630875914965e-01
2.159999999999999698e+00,5.554075097194296484e-01
2.169999999999999929e+00,6.051495813548246616e-01
2.179999999999999716e+00,6.107134791258176376e-01
2.189999999999999947e+00,6.163025264208678022e-01
2.199999999999999734e+00,6.219167353010226496e-01
2.209999999999999964e+00,6.275560967442346261e-01
2.219999999999999751e+00,6.332206227881492788e-01
2.229999999999999982e+00,6.389103188791508403e-01
2.239999999999999769e+00,6.446251932260329554e-01
2.250000000000000000e+00,6.503652485113170512e-01
2.259999999999999787e+00,6.561304923008628442e-01
2.270000000000000018e+00,6.619209304683686401e-01
2.279999999999999805e+00,6.677365694828895082e-01
2.290000000000000036e+00,6.735774172292249284e-01
2.299999999999999822e+00,6.794434750644178234e-01
2.310000000000000053e+00,6.853347528059103855e-01
2.319999999999999840e+00,6.912512616733346160e-01
2.329999999999999627e+00,6.971930087595334946e-01
2.339999999999999858e+00,7.031599979449165705e-01
2.349999999999999645e+00,7.091522373729270967e-01
2.359999999999999876e+00,7.151697245104324807e-01
2.369999999999999662e+00,7.212124853844488204e-01
2.379999999999999893e+00,7.272805158019771676e-01
2.389999999999999680e+00,7.333738205794164688e-01
2.399999999999999911e+00,7.394924122691881596e-01
2.409999999999999698e+00,7.456363361911171328e-01
2.419999999999999929e+00,7.518054895453955000e-01
2.429999999999999716e+00,7.580000568243381309e-01
2.439999999999999947e+00,7.642198517021427939e-01
2.449999999999999734e+00,7.704649939636388778e-01
2.459999999999999964e+00,7.767354844665169677e-01
2.469999999999999751e+00,7.830313260870708225e-01
2.479999999999999982e+00,7.893525013397547641e-01
2.489999999999999769e+00,7.956990413557228914e-01
2.500000000000000000e+00,8.020709533416285897e-01
2.509999999999999787e+00,8.084682457507226250e-01
2.520000000000000018e+00,8.148909147638898620e-01
2.529999999999999805e+00,8.213389777085318144e-01
2.540000000000000036e+00,8.278124404996269892e-01
2.549999999999999822e+00,8.343113100740886523e-01
2.560000000000000053e+00,8.408356036480942874e-01
2.569999999999999840e+00,8.473853124417440874e-01
2.579999999999999627e+00,8.539604565139292669e-01
2.589999999999999858e+00,8.605610484527339565e-01
2.599999999999999645e+00,8.671870796459206776e-01
2.609999999999999876e+00,8.738385680700143654e-01
2.619999999999999662e+00,8.805155284801761129e-01
2.629999999999999893e+00,8.872179523007636126e-01
2.639999999999999680e+00,8.939458573198897362e-01
2.649999999999999911e+00,9.006992577377795905e-01
2.659999999999999698e+00,9.074781441339986321e-01
2.669999999999999929e+00,9.142825335603484982e-01
2.679999999999999716e+00,9.211124327058338723e-01
2.689999999999999947e+00,9.279678489576388412e-01
2.699999999999999734e+00,9.348487993859060374e-01
2.709999999999999964e+00,9.417552719677414474e-01
2.719999999999999751e+00,9.486872844765151802e-01
2.729999999999999982e+00,9.556448423697309069e-01
2.739999999999999769e+00,9.626279529952229685e-01
2.750000000000000000e+00,9.696366333537579374e-01
2.759999999999999787e+00,9.766708700043680302e-01
2.770000000000000018e+00,9.837306805036417634e-01
2.779999999999999805e+00,9.908160706165964893e-01
2.790000000000000036e+00,9.979270465320249084e-01
2.799999999999999822e+00,1.005063615139883071e+00
2.810000000000000053e+00,1.012225791864050040e+00
2.819999999999999840e+00,1.019413563830486424e+00
2.829999999999999627e+00,1.026626946557845477e+00
2.839999999999999858e+00,1.033865945644343531e+00
2.849999999999999645e+00,1.041130567302587684e+00
2.859999999999999876e+00,1.048420816624677565e+00
2.869999999999999662e+00,1.055736699626665054e+00
2.879999999999999893e+00,1.063078221356848374e+00
2.889999999999999680e+00,1.070445387473279553e+00
2.899999999999999911e+00,1.077838213592228866e+00
2.909999999999999698e+00,1.085256683532536792e+00
2.919999999999999929e+00,1.092700812743695460e+00
2.929999999999999716e+00,1.100170605962202286e+00
2.939999999999999947e+00,1.107666068156429429e+00
2.949999999999999734e+00,1.115187203469613308e+00
2.959999999999999964e+00,1.122734016541047319e+00
2.969999999999999751e+00,1.130306511572285011e+00
2.979999999999999982e+00,1.137904693002844247e+00
2.989999999999999769e+00,1.145528564521933745e+00
3.000000000000000000e+00,1.153178141874340978e+00
3.009999999999999787e+00,1.160853405530420046e+00
3.020000000000000018e+00,1.168554371221940391e+00
3.029999999999999805e+00,1.176281041926794835e+00
3.040000000000000036e+00,1.184033421382865159e+00
3.049999999999999822e+00,1.191811512717952271e+00
3.060000000000000053e+00,1.199615319187715690e+00
3.069999999999999840e+00,1.207444844067485423e+00
3.080000000000000071e+00,1.215300090074610706e+00
3.089999999999999858e+00,1.223181072351938292e+00
3.099999999999999645e+00,1.231087769116843589e+00
3.109999999999999876e+00,1.239020195413984560e+00
3.119999999999999662e+00,1.246978353374850412e+00
3.129999999999999893e+00,1.254962245719841274e+00
3.139999999999999680e+00,1.262971874490721902e+00
3.149999999999999911e+00,1.271007241960047551e+00
3.159999999999999698e+00,1.279068349940347016e+00
3.169999999999999929e+00,1.287155213593220937e+00
3.179999999999999716e+00,1.295267808787597508e+00
3.189999999999999947e+00,1.303406150145232534e+00
3.199999999999999734e+00,1.311570239315843489e+00
3.209999999999999964e+00,1.319760077660457442e+00
3.219999999999999751e+00,1.327975666787417408e+00
3.229999999999999982e+00,1.336217021163033536e+00
3.239999999999999769e+00,1.344484115463079110e+00
3.250000000000000000e+00,1.352776964242900171e+00
3.259999999999999787e+00,1.361095568327362448e+00
3.270000000000000018e+00,1.369439928650647564e+00
3.279999999999999805e+00,1.377810059826884537e+00
3.290000000000000036e+00,1.386205935275893530e+00
3.299999999999999822e+00,1.394627569246782883e+00
