# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.934468937875751804e-01,1.000514432383039276e+00,-2.051996550683807090e-03
1.974348697394789909e-01,1.000543345062907097e+00,-2.139465641693062518e-03
2.014228456913828014e-01,1.000573468081962236e+00,-2.228872514387935690e-03
2.054108216432865841e-01,1.000604839448217653e+00,-2.320225079589172471e-03
2.093987975951903946e-01,1.000637497932187925e+00,-2.413531272455548583e-03
2.133867735470942051e-01,1.000671483138854789e+00,-2.508799045824511211e-03
2.173747494989980156e-01,1.000706835483856638e+00,-2.606036362243939648e-03
2.213627254509018261e-01,1.000743596163466531e+00,-2.705251185629486271e-03
2.253507014028056366e-01,1.000781807192707706e+00,-2.806451473868781625e-03
2.293386773547094470e-01,1.000821511400018293e+00,-2.909645170649797878e-03
2.333266533066132575e-01,1.000862752421828539e+00,-3.014840197245935265e-03
2.373146292585170680e-01,1.000905574713312651e+00,-3.122044444333414281e-03
2.413026052104208785e-01,1.000950023550235990e+00,-3.231265763544171991e-03
2.452905811623246612e-01,1.000996145006172400e+00,-3.342511958727831332e-03
2.492785571142284717e-01,1.001043986007214004e+00,-3.455790778075330544e-03
2.532665330661322822e-01,1.001093594283668509e+00,-3.571109904668617191e-03
2.572545090180360927e-01,1.001145018402901377e+00,-3.688476948133039956e-03
2.612424849699399032e-01,1.001198307754972650e+00,-3.807899435498129752e-03
2.652304609218437137e-01,1.001253512561152581e+00,-3.929384802246561025e-03
2.692184368737475242e-01,1.001310683881510677e+00,-4.052940383362175006e-03
2.732064128256513347e-01,1.001369873610362227e+00,-4.178573403937379735e-03
2.771943887775551452e-01,1.001431134487903662e+00,-4.306290970147090211e-03
2.811823647294589557e-01,1.001494520084073914e+00,-4.436100059319795716e-03
2.851703406813627661e-01,1.001560084827538111e+00,-4.568007511224310077e-03
2.891583166332665766e-01,1.001627883976374145e+00,-4.702020017569698632e-03
2.931462925851703871e-01,1.001697973659567253e+00,-4.838144113368549742e-03
2.971342685370741976e-01,1.001770410840354009e+00,-4.976386166182357983e-03
3.011222444889780081e-01,1.001845253347297238e+00,-5.116752366979469835e-03
3.051102204408818186e-01,1.001922559865494167e+00,-5.259248719916924907e-03
3.090981963927855736e-01,1.002002389935256366e+00,-5.403881032223355196e-03
3.130861723446893841e-01,1.002084803967303372e+00,-5.550654904346137390e-03
3.170741482965931946e-01,1.002169863232668323e+00,-5.699575719489289455e-03
3.210621242484970050e-01,1.002257629872300493e+00,-5.850648633477912447e-03
3.250501002004008155e-01,1.002348166899681869e+00,-6.003878564414556578e-03
3.290380761523046260e-01,1.002441538201650051e+00,-6.159270182160125201e-03
3.330260521042084365e-01,1.002537808540814313e+00,-6.316827897794165952e-03
3.370140280561122470e-01,1.002637043559087893e+00,-6.476555853043288076e-03
3.410020040080160575e-01,1.002739309784777877e+00,-6.638457909715417965e-03
