# q,<w**1.0>/wp(0)**1.0
6.099999999999999867e-01,4.764506420685722665e-02
6.199999999999999956e-01,4.922038671000678739e-02
6.300000000000000044e-01,5.082125588556011403e-02
6.400000000000000133e-01,5.244766665251206911e-02
6.500000000000000222e-01,5.409961425984905620e-02
6.600000000000000311e-01,5.577709428381553286e-02
6.700000000000000400e-01,5.748010262418155186e-02
6.800000000000000488e-01,5.920863550019722643e-02
6.900000000000000577e-01,6.096268944729128780e-02
7.000000000000000666e-01,6.274226131274480978e-02
7.100000000000000755e-01,6.454734825045153890e-02
7.199999999999999734e-01,6.637794771685623374e-02
7.299999999999999822e-01,6.823405746327568244e-02
7.399999999999999911e-01,7.011567553162517674e-02
7.500000000000000000e-01,7.202280024669847902e-02
7.600000000000000089e-01,7.395543020782617549e-02
7.700000000000000178e-01,7.591356428328890904e-02
7.800000000000000266e-01,7.789720159884322426e-02
7.900000000000000355e-01,7.990634153017478480e-02
8.000000000000000444e-01,8.194098369398490622e-02
8.100000000000000533e-01,8.400112876579203525e-02
8.200000000000000622e-01,8.608677517535813506e-02
8.300000000000000711e-01,8.819792400574034963e-02
8.400000000000000799e-01,9.033457572995093332e-02
8.499999999999999778e-01,9.249673100860091035e-02
8.599999999999999867e-01,9.468439067584716318e-02
8.699999999999999956e-01,9.689755668918245690e-02
8.800000000000000044e-01,9.913622830624051196e-02
8.900000000000000133e-01,1.014004077516496155e-01
9.000000000000000222e-01,1.036900964421559324e-01
9.100000000000000311e-01,1.060052969595097344e-01
9.200000000000000400e-01,1.083460088736023647e-01
9.300000000000000488e-01,1.107122349368844239e-01
9.400000000000000577e-01,1.131039769642379067e-01
9.500000000000000666e-01,1.155212379797718597e-01
9.600000000000000755e-01,1.179640176740854723e-01
9.699999999999999734e-01,1.204323191554544509e-01
9.799999999999999822e-01,1.229261444599748926e-01
9.899999999999999911e-01,1.254454968952344318e-01
1.000000000000000000e+00,1.279903760948445379e-01
1.010000000000000009e+00,1.305607853702514531e-01
1.020000000000000018e+00,1.331567281521485735e-01
1.030000000000000027e+00,1.357782039334082258e-01
1.040000000000000036e+00,1.384252160995456948e-01
1.050000000000000044e+00,1.410977681249633298e-01
1.060000000000000053e+00,1.437958593054617096e-01
1.070000000000000062e+00,1.465194930379551397e-01
