# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.735070140280561279e-01,1.038392454889215166e+00,-1.239326690716266964e-03
1.774949899799599384e-01,1.040204768125328361e+00,-1.294793956134618123e-03
1.814829659318637489e-01,1.042060948763599892e+00,-1.351313473662066637e-03
1.854709418837675594e-01,1.043961204755435190e+00,-1.408869776054048157e-03
1.894589178356713699e-01,1.045905751895757518e+00,-1.467446872108168522e-03
1.934468937875751804e-01,1.047894814070926772e+00,-1.527028231082830107e-03
1.974348697394789909e-01,1.049928623521172444e+00,-1.587596766298268042e-03
2.014228456913828014e-01,1.052007421106958329e+00,-1.649134817802856267e-03
2.054108216432865841e-01,1.054131456590992721e+00,-1.711624134126006006e-03
2.093987975951903946e-01,1.056300988927633577e+00,-1.775045853002289731e-03
2.133867735470942051e-01,1.058516286567200426e+00,-1.839380481055584091e-03
2.173747494989980156e-01,1.060777627767954145e+00,-1.904607872319613680e-03
2.213627254509018261e-01,1.063085300924203835e+00,-1.970707205601439013e-03
2.253507014028056366e-01,1.065439604902648218e+00,-2.037656960528285918e-03
2.293386773547094470e-01,1.067840849396771929e+00,-2.105434892291619276e-03
2.333266533066132575e-01,1.070289355290464650e+00,-2.174018004922522677e-03
2.373146292585170680e-01,1.072785455038888225e+00,-2.243382523068454797e-03
2.413026052104208785e-01,1.075329493061822017e+00,-2.313503862142527248e-03
2.452905811623246612e-01,1.077921826153976026e+00,-2.384356596778259424e-03
2.492785571142284717e-01,1.080562823909873016e+00,-2.455914427432109252e-03
2.532665330661322822e-01,1.083252869167431687e+00,-2.528150145095957226e-03
2.572545090180360927e-01,1.085992358464672902e+00,-2.601035593882536270e-03
2.612424849699399032e-01,1.088781702520108752e+00,-2.674541631514928356e-03
2.652304609218437137e-01,1.091621326727071128e+00,-2.748638087402266277e-03
2.692184368737475242e-01,1.094511671670844288e+00,-2.823293718308454974e-03
2.732064128256513347e-01,1.097453193665204330e+00,-2.898476161343246146e-03
2.771943887775551452e-01,1.100446365309244445e+00,-2.974151884146541969e-03
2.811823647294589557e-01,1.103491676069542349e+00,-3.050286132118656002e-03
2.851703406813627661e-01,1.106589632884285468e+00,-3.126842872436661012e-03
2.891583166332665766e-01,1.109740760791460890e+00,-3.203784734654796518e-03
2.931462925851703871e-01,1.112945603586113386e+00,-3.281072947726739429e-03
2.971342685370741976e-01,1.116204724501758339e+00,-3.358667273094234369e-03
3.011222444889780081e-01,1.119518706923252616e+00,-3.436525933673851944e-03
3.051102204408818186e-01,1.122888155128399790e+00,-3.514605538369824488e-03
3.090981963927855736e-01,1.126313695064295572e+00,-3.592861001891997988e-03
3.130861723446893841e-01,1.129795975155276633e+00,-3.671245459417058713e-03
3.170741482965931946e-01,1.133335667148694492e+00,-3.749710175835296692e-03
3.210621242484970050e-01,1.136933466999717757e+00,-3.828204449100540592e-03
3.250501002004008155e-01,1.140590095795134484e+00,-3.906675507259571231e-03
3.290380761523046260e-01,1.144306300723345604e+00,-3.985068398677227113e-03
3.330260521042084365e-01,1.148082856088802339e+00,-4.063325874903026338e-03
3.370140280561122470e-01,1.151920564377046929e+00,-4.141388265575332746e-03
3.410020040080160575e-01,1.155820257375087756e+00,-4.219193344777566294e-03
3.449899799599198680e-01,1.159782797345351835e+00,-4.296676187947671456e-03
3.489779559118236785e-01,1.163809078265229724e+00,-4.373769018743342389e-03
3.529659318637274890e-01,1.167900027130224228e+00,-4.450401044738190245e-03
3.569539078156312994e-01,1.172056605331270429e+00,-4.526498281100655233e-03
3.609418837675351099e-01,1.176279810109087443e+00,-4.601983361000854672e-03
3.649298597194389204e-01,1.180570676093020355e+00,-4.676775331483029596e-03
3.689178356713427309e-01,1.184930276932257165e+00,-4.750789433356929388e-03
3.729058116232465414e-01,1.189359727028698188e+00,-4.823936863434872234e-03
3.768937875751503519e-01,1.193860183377986939e+00,-4.896124517196985722e-03
3.808817635270541624e-01,1.198432847533105639e+00,-4.967254709755584106e-03
3.848697394789579729e-01,1.203078967700167645e+00,-5.037224872631149500e-03
3.888577154308617834e-01,1.207799840979889794e+00,-5.105927223430338155e-03
3.928456913827655939e-01,1.212596815774296122e+00,-5.173248405225069728e-03
3.968336673346693488e-01,1.217471294369891099e+00,-5.239069091633610266e-03
4.008216432865731593e-01,1.222424735723049993e+00,-5.303263553246613353e-03
4.048096192384769698e-01,1.227458658470510944e+00,-5.365699180169165861e-03
4.087975951903807803e-01,1.232574644186813506e+00,-5.426235954300149059e-03
4.127855711422845908e-01,1.237774340928929018e+00,-5.484725864394090350e-03
4.167735470941884013e-01,1.243059467094416171e+00,-5.541012254916241435e-03
4.207615230460922118e-01,1.248431815642630616e+00,-5.594929098556715961e-03
4.247494989979960223e-01,1.253893258725234494e+00,-5.646300179989304641e-03
4.287374749498998328e-01,1.259445752782063499e+00,-5.694938175791151684e-03
4.327254509018036432e-01,1.265091344176351829e+00,-5.740643612622932553e-03
4.367134268537074537e-01,1.270832175443914691e+00,-5.783203681263846332e-03
4.407014028056112642e-01,1.276670492257063971e+00,-5.822390879528197873e-03
4.446893787575150747e-01,1.282608651219241391e+00,-5.857961450325524337e-03
4.486773547094188852e-01,1.288649128625746876e+00,-5.889653572881443575e-03
4.526653306613226957e-01,1.294794530367239904e+00,-5.917185254674099670e-03
4.566533066132265062e-01,1.301047603176500589e+00,-5.940251857310253729e-03
4.606412825651303167e-01,1.307411247477139549e+00,-5.958523171274065534e-03
4.646292585170341272e-01,1.313888532150298438e+00,-5.971639929997131328e-03
4.686172344689379377e-01,1.320482711613882421e+00,-5.979209620323387361e-03
4.726052104208417481e-01,1.327197245712496310e+00,-5.980801401595983030e-03
4.765931863727455586e-01,1.334035823055004455e+00,-5.975939883435236848e-03
4.805811623246493136e-01,1.341002388614369822e+00,-5.964097425778902388e-03
4.845691382765531241e-01,1.348101176650470245e+00,-5.944684502772189759e-03
4.885571142284569346e-01,1.355336750352245101e+00,-5.917037498903870464e-03
4.925450901803607451e-01,1.362714382522845602e+00,-5.880325728798939215e-03
4.965330661322645556e-01,1.370238880276543947e+00,-5.833806054235198338e-03
5.005210420841683661e-01,1.377916404759918834e+00,-5.776416011551242964e-03
5.045090180360721765e-01,1.385753464818756608e+00,-5.706969135875387435e-03
5.084969939879759870e-01,1.393757303012965298e+00,-5.624046317721347228e-03
5.124849699398797975e-01,1.401936058376488825e+00,-5.525918036787981838e-03
5.164729458917836080e-01,1.410298985352326895e+00,-5.410428677146479626e-03
5.204609218436874185e-01,1.418856755541021863e+00,-5.274817653553142381e-03
5.244488977955912290e-01,1.427621885038889982e+00,-5.115429709716187191e-03
5.284368737474950395e-01,1.436609357789450980e+00,-4.927218386040475330e-03
5.324248496993988500e-01,1.445837562460825509e+00,-4.702829477658006414e-03
5.364128256513026605e-01,1.455329666325230198e+00,-4.430726473555380088e-03
5.404008016032064710e-01,1.465115528805494005e+00,-4.091398732581410028e-03
5.443887775551102814e-01,1.475233432984680348e+00,-3.646373009884116157e-03
5.483767535070140919e-01,1.485716555482884393e+00,-3.015765807589494089e-03
5.523647294589179024e-01,1.496526571198751876e+00,-2.073735942948572684e-03
5.563527054108217129e-01,1.507529558988555118e+00,-7.708989054051477779e-04
