# q,S(q)
3.060000000000000053e+00,1.007088750770967378e+00
3.069999999999999840e+00,1.007080103857545872e+00
3.080000000000000071e+00,1.007070558887649403e+00
3.089999999999999858e+00,1.007060072551840380e+00
3.099999999999999645e+00,1.007048677475590237e+00
3.109999999999999876e+00,1.007036436830162307e+00
3.119999999999999662e+00,1.007023390425479947e+00
3.129999999999999893e+00,1.007009568615747419e+00
3.139999999999999680e+00,1.006994686675800166e+00
3.149999999999999911e+00,1.006979705096485267e+00
3.159999999999999698e+00,1.006963773768269288e+00
3.169999999999999929e+00,1.006947222041627787e+00
3.179999999999999716e+00,1.006930042518423551e+00
3.189999999999999947e+00,1.006912194023673601e+00
3.199999999999999734e+00,1.006893800522524751e+00
3.209999999999999964e+00,1.006874910290098901e+00
3.219999999999999751e+00,1.006855571349001721e+00
3.229999999999999982e+00,1.006835654854907780e+00
3.239999999999999769e+00,1.006815661225810343e+00
3.250000000000000000e+00,1.006794600326847311e+00
3.259999999999999787e+00,1.006773447308551672e+00
3.270000000000000018e+00,1.006751972908074944e+00
3.279999999999999805e+00,1.006729957901135730e+00
3.290000000000000036e+00,1.006707700546286555e+00
3.299999999999999822e+00,1.006685221975895050e+00
3.310000000000000053e+00,1.006662234314955828e+00
3.319999999999999840e+00,1.006639132428470251e+00
3.330000000000000071e+00,1.006615651126216981e+00
3.339999999999999858e+00,1.006591962611940394e+00
3.349999999999999645e+00,1.006568150179577570e+00
3.359999999999999876e+00,1.006543877634178630e+00
3.369999999999999662e+00,1.006519542484388241e+00
3.379999999999999893e+00,1.006494851485169040e+00
3.389999999999999680e+00,1.006470288989496753e+00
3.399999999999999911e+00,1.006445396642767109e+00
3.409999999999999698e+00,1.006420392306341949e+00
3.419999999999999929e+00,1.006395230043642508e+00
3.429999999999999716e+00,1.006370196612198731e+00
3.439999999999999947e+00,1.006344864915092119e+00
3.449999999999999734e+00,1.006319084920266116e+00
3.459999999999999964e+00,1.006293712764288362e+00
3.469999999999999751e+00,1.006267726615085456e+00
3.479999999999999982e+00,1.006241988548529198e+00
3.489999999999999769e+00,1.006216189322722165e+00
3.500000000000000000e+00,1.006190305123699114e+00
3.509999999999999787e+00,1.006164427792249016e+00
3.520000000000000018e+00,1.006138486544528421e+00
3.529999999999999805e+00,1.006112508474882095e+00
3.540000000000000036e+00,1.006086543935203803e+00
3.549999999999999822e+00,1.006060539203909698e+00
3.560000000000000053e+00,1.006034669143731852e+00
3.569999999999999840e+00,1.006009786703347286e+00
3.580000000000000071e+00,1.005982523088054803e+00
3.589999999999999858e+00,1.005956579547079732e+00
3.599999999999999645e+00,1.005930565340701799e+00
3.609999999999999876e+00,1.005904688299958494e+00
3.619999999999999662e+00,1.005878824770856328e+00
3.629999999999999893e+00,1.005852944474299404e+00
3.639999999999999680e+00,1.005827128831794370e+00
3.649999999999999911e+00,1.005801382633999985e+00
