# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.894589178356713699e-01,1.008590860832724090e+00,-1.824211276278516402e-03
1.934468937875751804e-01,1.008966353954755313e+00,-1.900489158329081831e-03
1.974348697394789909e-01,1.009350532017015523e+00,-1.978243066518135373e-03
2.014228456913828014e-01,1.009743450959189603e+00,-2.057465865994383917e-03
2.054108216432865841e-01,1.010145167989661363e+00,-2.138150256195087834e-03
2.093987975951903946e-01,1.010555741863353951e+00,-2.220288772729530052e-03
2.133867735470942051e-01,1.010975232720963124e+00,-2.303873783497525224e-03
2.173747494989980156e-01,1.011403702120643233e+00,-2.388897487275730251e-03
2.213627254509018261e-01,1.011841213202124390e+00,-2.475351913417369286e-03
2.253507014028056366e-01,1.012287830449188686e+00,-2.563228918362031681e-03
2.293386773547094470e-01,1.012743619974588283e+00,-2.652520185082160326e-03
2.333266533066132575e-01,1.013208649319180976e+00,-2.743217219794252728e-03
2.373146292585170680e-01,1.013682987641579381e+00,-2.835311351501153352e-03
2.413026052104208785e-01,1.014166705664406143e+00,-2.928793729492979326e-03
2.452905811623246612e-01,1.014659875680577583e+00,-3.023655320003379790e-03
2.492785571142284717e-01,1.015162571590161544e+00,-3.119886905072058632e-03
2.532665330661322822e-01,1.015674868928072572e+00,-3.217479079590229024e-03
2.572545090180360927e-01,1.016196844907122587e+00,-3.316422249393672674e-03
2.612424849699399032e-01,1.016728578364779256e+00,-3.416706627477262680e-03
2.652304609218437137e-01,1.017270149889072384e+00,-3.518322232609657606e-03
2.692184368737475242e-01,1.017821641756474937e+00,-3.621258885392732683e-03
2.732064128256513347e-01,1.018383138058771786e+00,-3.725506207119658186e-03
2.771943887775551452e-01,1.018955220604614187e+00,-3.831241681350863737e-03
2.811823647294589557e-01,1.019537003963221000e+00,-3.938084275834302997e-03
2.851703406813627661e-01,1.020129055189225253e+00,-4.046205271126378060e-03
2.891583166332665766e-01,1.020731465598779586e+00,-4.155593453554242735e-03
2.931462925851703871e-01,1.021344328389320433e+00,-4.266237391996125644e-03
2.971342685370741976e-01,1.021967738666894610e+00,-4.378125434072432584e-03
3.011222444889780081e-01,1.022601793475212739e+00,-4.491245702202977669e-03
3.051102204408818186e-01,1.023246591824863438e+00,-4.605586089493128241e-03
3.090981963927855736e-01,1.023902234722982474e+00,-4.721134255443910042e-03
3.130861723446893841e-01,1.024568825203776123e+00,-4.837877621499384918e-03
3.170741482965931946e-01,1.025246468359820362e+00,-4.955803366410738500e-03
3.210621242484970050e-01,1.025935271373645818e+00,-5.074898421407314855e-03
3.250501002004008155e-01,1.026635343550270862e+00,-5.195149465178014632e-03
3.290380761523046260e-01,1.027346796350570024e+00,-5.316542918659080720e-03
3.330260521042084365e-01,1.028069743424810945e+00,-5.439064939596854713e-03
3.370140280561122470e-01,1.028804300647549352e+00,-5.562701416914730794e-03
3.410020040080160575e-01,1.029550586152778724e+00,-5.687437964843013692e-03
3.449899799599198680e-01,1.030308720369877307e+00,-5.813259916818335100e-03
3.489779559118236785e-01,1.031078826060710218e+00,-5.940152319156986188e-03
3.529659318637274890e-01,1.031861028356875654e+00,-6.068099924461571072e-03
3.569539078156312994e-01,1.032655454798308670e+00,-6.197087184787385475e-03
3.609418837675351099e-01,1.033462235372260896e+00,-6.327098244530841506e-03
3.649298597194389204e-01,1.034281502553361154e+00,-6.458116933051491829e-03
3.689178356713427309e-01,1.035113391344393063e+00,-6.590126757003545756e-03
3.729058116232465414e-01,1.035958039317829815e+00,-6.723110892372347915e-03
3.768937875751503519e-01,1.036815586658482502e+00,-6.857052176210035044e-03
3.808817635270541624e-01,1.037686176206739974e+00,-6.991933098048423202e-03
3.848697394789579729e-01,1.038569953502908705e+00,-7.127735790989053397e-03
3.888577154308617834e-01,1.039467066832372888e+00,-7.264442022450400341e-03
3.928456913827655939e-01,1.040377667271710438e+00,-7.402033184567051449e-03
3.968336673346693488e-01,1.041301908735743353e+00,-7.540490284220764498e-03
4.008216432865731593e-01,1.042239948025571739e+00,-7.679793932697975140e-03
4.048096192384769698e-01,1.043191944877633448e+00,-7.819924334956101716e-03
4.087975951903807803e-01,1.044158062013695210e+00,-7.960861278484552758e-03
4.127855711422845908e-01,1.045138465191983945e+00,-8.102584121748841392e-03
4.167735470941884013e-01,1.046133323259246906e+00,-8.245071782197086266e-03
4.207615230460922118e-01,1.047142808204069686e+00,-8.388302723824240387e-03
4.247494989979960223e-01,1.048167095211073541e+00,-8.532254944260882559e-03
4.287374749498998328e-01,1.049206362716492480e+00,-8.676905961390323635e-03
4.327254509018036432e-01,1.050260792464702497e+00,-8.822232799456682442e-03
4.367134268537074537e-01,1.051330569566057971e+00,-8.968211974661055227e-03
4.407014028056112642e-01,1.052415882555860271e+00,-9.114819480215474723e-03
4.446893787575150747e-01,1.053516923454683951e+00,-9.262030770846420638e-03
4.486773547094188852e-01,1.054633887829829142e+00,-9.409820746714642539e-03
4.526653306613226957e-01,1.055766974858223683e+00,-9.558163736740694222e-03
4.566533066132265062e-01,1.056916387390564926e+00,-9.707033481307608680e-03
4.606412825651303167e-01,1.058082332016879290e+00,-9.856403114318899525e-03
4.646292585170341272e-01,1.059265019133476260e+00,-1.000624514458907897e-02
4.686172344689379377e-01,1.060464663011412512e+00,-1.015653143654096646e-02
4.726052104208417481e-01,1.061681481866331822e+00,-1.030723319017889592e-02
4.765931863727455586e-01,1.062915697929950998e+00,-1.045832092031799901e-02
4.805811623246493136e-01,1.064167537523062812e+00,-1.060976443503314388e-02
4.845691382765531241e-01,1.065437231130169415e+00,-1.076153281330196471e-02
4.885571142284569346e-01,1.066725013475812611e+00,-1.091359438180730494e-02
4.925450901803607451e-01,1.068031123602591004e+00,-1.106591669086641125e-02
4.965330661322645556e-01,1.069355804950979483e+00,-1.121846648945226503e-02
5.005210420841683661e-01,1.070699305440977023e+00,-1.137120969927048024e-02
5.045090180360721765e-01,1.072061877555635201e+00,-1.152411138785004036e-02
5.084969939879759870e-01,1.073443778426569351e+00,-1.167713574061167783e-02
5.124849699398797975e-01,1.074845269921463675e+00,-1.183024603186710703e-02
5.164729458917836080e-01,1.076266618733691560e+00,-1.198340459470456296e-02
5.204609218436874185e-01,1.077708096474081945e+00,-1.213657278971272228e-02
5.244488977955912290e-01,1.079169979764971421e+00,-1.228971097249551524e-02
5.284368737474950395e-01,1.080652550336529405e+00,-1.244277845991674514e-02
5.324248496993988500e-01,1.082156095125557105e+00,-1.259573349502591220e-02
5.364128256513026605e-01,1.083680906376767616e+00,-1.274853321060009058e-02
5.404008016032064710e-01,1.085227281746688588e+00,-1.290113359123985087e-02
5.443887775551102814e-01,1.086795524410286262e+00,-1.305348943395042739e-02
5.483767535070140919e-01,1.088385943170405046e+00,-1.320555430713645298e-02
5.523647294589179024e-01,1.089998852570193577e+00,-1.335728050793483571e-02
5.563527054108217129e-01,1.091634573008592568e+00,-1.350861901780114893e-02
5.603406813627255234e-01,1.093293430859012760e+00,-1.365951945626303621e-02
5.643286573146293339e-01,1.094975758591441473e+00,-1.380993003274957887e-02
5.683166332665331444e-01,1.096681894898010157e+00,-1.395979749639248736e-02
5.723046092184369549e-01,1.098412184822291859e+00,-1.410906708369716843e-02
5.762925851703407654e-01,1.100166979892420072e+00,-1.425768246396060847e-02
5.802805611222445759e-01,1.101946638258333389e+00,-1.440558568232518273e-02
5.842685370741483863e-01,1.103751524833219255e+00,-1.455271710032190677e-02
5.882565130260521968e-01,1.105582011439454115e+00,-1.469901533376856938e-02
5.922444889779560073e-01,1.107438476959318852e+00,-1.484441718787013476e-02
5.962324649298598178e-01,1.109321307490614528e+00,-1.498885758934572800e-02
6.002204408817636283e-01,1.111230896507557686e+00,-1.513226951541105439e-02
6.042084168336674388e-01,1.113167645027261843e+00,-1.527458391942104754e-02
6.081963927855711383e-01,1.115131961781956837e+00,-1.541572965294885772e-02
6.121843687374749488e-01,1.117124263397574868e+00,-1.555563338409591580e-02
6.161723446893787592e-01,1.119144974578750507e+00,-1.569421951175394361e-02
6.201603206412825697e-01,1.121194528300893278e+00,-1.583141007557367988e-02
6.241482965931863802e-01,1.123273366009582386e+00,-1.596712466132417865e-02
6.281362725450901907e-01,1.125381937827884649e+00,-1.610128030133236091e-02
6.321242484969940012e-01,1.127520702771977357e+00,-1.623379136963839023e-02
6.361122244488978117e-01,1.129690128975729513e+00,-1.636456947148819466e-02
6.401002004008016222e-01,1.131890693924737068e+00,-1.649352332672699914e-02
6.440881763527054327e-01,1.134122884700542011e+00,-1.662055864663606469e-02
6.480761523046092432e-01,1.136387198235629503e+00,-1.674557800368718652e-02
6.520641282565130536e-01,1.138684141580071252e+00,-1.686848069365484010e-02
6.560521042084168641e-01,1.141014232180548094e+00,-1.698916258945362689e-02
6.600400801603206746e-01,1.143377998172704135e+00,-1.710751598600911139e-02
6.640280561122244851e-01,1.145775978687769481e+00,-1.722342943538714491e-02
6.680160320641282956e-01,1.148208724174550888e+00,-1.733678757133550602e-02
6.720040080160321061e-01,1.150676796737961416e+00,-1.744747092228148347e-02
6.759919839679359166e-01,1.153180770495297214e+00,-1.755535571172389675e-02
6.799799599198397271e-01,1.155721231951726713e+00,-1.766031364484187821e-02
6.839679358717435376e-01,1.158298780396539440e+00,-1.776221168000104850e-02
6.879559118236473481e-01,1.160914028321710312e+00,-1.786091178366082735e-02
6.919438877755511585e-01,1.163567601864731627e+00,-1.795627066702761704e-02
6.959318637274549690e-01,1.166260141277737361e+00,-1.804813950258438854e-02
6.999198396793587795e-01,1.168992301425050284e+00,-1.813636361836598598e-02
7.039078156312625900e-01,1.171764752311697411e+00,-1.822078216760545863e-02
7.078957915831664005e-01,1.174578179645539899e+00,-1.830122777103160986e-02
7.118837675350702110e-01,1.177433285436081167e+00,-1.837752612875528241e-02
7.158717434869740215e-01,1.180330788633106476e+00,-1.844949559822103152e-02
7.198597194388778320e-01,1.183271425809012900e+00,-1.851694673425174215e-02
7.238476953907816425e-01,1.186255951888659066e+00,-1.857968178658747985e-02
7.278356713426854530e-01,1.189285140931380713e+00,-1.863749414967976262e-02
7.318236472945892634e-01,1.192359786970049740e+00,-1.869016775869637714e-02
7.358116232464930739e-01,1.195480704912808001e+00,-1.873747642476193687e-02
7.397995991983968844e-01,1.198648731513447974e+00,-1.877918310134665814e-02
7.437875751503006949e-01,1.201864726417476215e+00,-1.881503907244556212e-02
7.477755511022045054e-01,1.205129573291285006e+00,-1.884478305159714706e-02
7.517635270541083159e-01,1.208444181043012433e+00,-1.886814017897514573e-02
7.557515030060121264e-01,1.211809485144415666e+00,-1.888482090155996218e-02
7.597394789579159369e-01,1.215226449064289005e+00,-1.889451971873040009e-02
7.637274549098197474e-01,1.218696065824965924e+00,-1.889691377240780915e-02
7.677154308617235579e-01,1.222219359694825647e+00,-1.889166125697270063e-02
7.717034068136273683e-01,1.225797388031023116e+00,-1.887839961944904124e-02
7.756913827655311788e-01,1.229431243288058306e+00,-1.885674351461776727e-02
7.796793587174348783e-01,1.233122055209291634e+00,-1.882628247259513291e-02
7.836673346693386888e-01,1.236870993219951753e+00,-1.878657822759772361e-02
7.876553106212424993e-01,1.240679269041425670e+00,-1.873716164569396228e-02
