# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.000000000000000021e-02,9.999798208516209597e-01,-4.313671480489576337e-06
1.398797595190380896e-02,9.999593178620560519e-01,-8.469228410391215387e-06
1.797595190380761598e-02,9.999483863595858280e-01,-1.405218438812672758e-05
2.196392785571142647e-02,9.999253307678352964e-01,-2.109926891541745315e-05
2.595190380761523002e-02,9.998974274279720520e-01,-2.965711837639966651e-05
2.993987975951904051e-02,9.998628827327581403e-01,-3.978151989242472851e-05
3.392785571142285100e-02,9.998249525217958178e-01,-5.153393705070355408e-05
3.791583166332665455e-02,9.997813954840240047e-01,-6.498483353809375834e-05
4.190380761523046504e-02,9.997339544103793774e-01,-8.021138834528958230e-05
4.589178356713427553e-02,9.996819212182672665e-01,-9.729605761859870603e-05
4.987975951903807909e-02,9.996254943284649253e-01,-1.163265962606282712e-04
5.386773547094188958e-02,9.995649355824185456e-01,-1.373949820923821015e-04
5.785571142284570006e-02,9.995001909395346829e-01,-1.605961317567038734e-04
6.184368737474950362e-02,9.994314701859436934e-01,-1.860271352720874627e-04
6.583166332665331411e-02,9.993589051369131671e-01,-2.137859707710069567e-04
6.981963927855711072e-02,9.992826350298071869e-01,-2.439702088772099724e-04
7.380761523046092121e-02,9.992027949575301715e-01,-2.766757959672527106e-04
7.779559118236473170e-02,9.991195825431585797e-01,-3.119957524387818241e-04
8.178356713426854219e-02,9.990331717210571005e-01,-3.500187092134135372e-04
8.577154308617233880e-02,9.989437530421355627e-01,-3.908275385537396396e-04
8.975951903807614929e-02,9.988515197104625987e-01,-4.344979214687672269e-04
9.374749498997995978e-02,9.987566909655258840e-01,-4.810969770414021325e-04
9.773547094188377027e-02,9.986594720738105613e-01,-5.306818010623222392e-04
1.017234468937875808e-01,9.985600906998383097e-01,-5.832982012815003626e-04
1.057114228456913912e-01,9.984587867077726608e-01,-6.389794165397078051e-04
1.096993987975951879e-01,9.983557922256700579e-01,-6.977448700694263706e-04
1.136873747494989983e-01,9.982513552253273748e-01,-7.595991663166219493e-04
1.176753507014028088e-01,9.981457244999899503e-01,-8.245311092732257596e-04
1.216633266533066193e-01,9.980391532708740021e-01,-8.925129287654726606e-04
1.256513026052104298e-01,9.979318938752793633e-01,-9.634996312639781957e-04
1.296392785571142403e-01,9.978242018637740740e-01,-1.037428597832567483e-03
1.336272545090180508e-01,9.977163312959971275e-01,-1.114219331011243649e-03
1.376152304609218613e-01,9.976085321025456309e-01,-1.193773428824213521e-03
1.416032064128256718e-01,9.975010510637974948e-01,-1.275974781683783922e-03
1.455911823647294823e-01,9.973941291293394462e-01,-1.360689995704330614e-03
1.495791583166332928e-01,9.972879981855232723e-01,-1.447769006788222337e-03
1.535671342685371032e-01,9.971828816372930726e-01,-1.537045947332252045e-03
1.575551102204409137e-01,9.970789913640438762e-01,-1.628340188887417682e-03
1.615430861723446965e-01,9.969765249580837541e-01,-1.721457576156987376e-03
1.655310621242485070e-01,9.968756656194659449e-01,-1.816191852010319704e-03
1.695190380761523175e-01,9.967765798835532820e-01,-1.912326219141239226e-03
1.735070140280561279e-01,9.966794152159430542e-01,-2.009635023521350733e-03
1.774949899799599384e-01,9.965842996178265745e-01,-2.107885556469589038e-03
1.814829659318637489e-01,9.964913389253772236e-01,-2.206839905086223786e-03
1.854709418837675594e-01,9.964006176313893182e-01,-2.306256879607305414e-03
