# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
2.612424849699399032e-01,1.088142015006090979e+00,-2.493843503657408242e-03
2.652304609218437137e-01,1.090957023843714069e+00,-2.558861515929896410e-03
2.692184368737475242e-01,1.093822126961850660e+00,-2.624136431436402232e-03
2.732064128256513347e-01,1.096737774406201904e+00,-2.689633152968014859e-03
2.771943887775551452e-01,1.099704432922316011e+00,-2.755315746223272778e-03
2.811823647294589557e-01,1.102722586575574981e+00,-2.821147406944079106e-03
2.851703406813627661e-01,1.105792737396233072e+00,-2.887090425534769023e-03
2.891583166332665766e-01,1.108915406053454955e+00,-2.953106149030670230e-03
2.931462925851703871e-01,1.112091132557845308e+00,-3.019154940171963741e-03
2.971342685370741976e-01,1.115320476994488219e+00,-3.085196133408256783e-03
3.011222444889780081e-01,1.118604020288423762e+00,-3.151187987601968693e-03
3.051102204408818186e-01,1.121942365004320319e+00,-3.217087635168940866e-03
3.090981963927855736e-01,1.125336136182067959e+00,-3.282851027406343946e-03
3.130861723446893841e-01,1.128785982211098826e+00,-3.348432875710805664e-03
3.170741482965931946e-01,1.132292575746091767e+00,-3.413786588376350063e-03
3.210621242484970050e-01,1.135856614664308761e+00,-3.478864202582003604e-03
3.250501002004008155e-01,1.139478823069862479e+00,-3.543616311217650042e-03
3.290380761523046260e-01,1.143159952349943165e+00,-3.607991984172761145e-03
3.330260521042084365e-01,1.146900782278971853e+00,-3.671938683460222036e-03
3.370140280561122470e-01,1.150702122183757892e+00,-3.735402171841057956e-03
3.410020040080160575e-01,1.154564812166098076e+00,-3.798326414223092331e-03
3.449899799599198680e-01,1.158489724393487075e+00,-3.860653471292942087e-03
3.489779559118236785e-01,1.162477764457477081e+00,-3.922323384563777653e-03
3.529659318637274890e-01,1.166529872810614377e+00,-3.983274052112891449e-03
3.569539078156312994e-01,1.170647026282420455e+00,-4.043441094012093298e-03
3.609418837675351099e-01,1.174830239688782196e+00,-4.102757706527890291e-03
