rs, eps_C approx, eps_C PZ81, % error
53,-0.0034279171559658144,-0.005403367722290882,36.55961740630026
54,-0.003317423213709,-0.005321455704483513,37.659478948326964
55,-0.0032099939053355656,-0.005242118190462399,38.76532751253331
56,-0.003105475220269867,-0.005165232610570708,39.877340394806694
57,-0.003003721456898508,-0.005090684174881045,40.99572172008301
58,-0.002904581565427031,-0.0050183652590218425,42.12096139862926
59,-0.0028079564892813866,-0.004948174847738279,43.25268254081902
60,-0.002713693920428013,-0.004880018029915416,44.39172347740181
61,-0.0026216628828055893,-0.004813805539561856,45.53866247276353
62,-0.002531783543281369,-0.004749453337917521,46.693158914337864
63,-0.0024439553997056135,-0.004686882232424938,47.85541264942047
64,-0.0023580430334599234,-0.004626017528802893,49.026500250418835
65,-0.002273996081095719,-0.004566788712895667,50.20579615005125
66,-0.0021916641672411388,-0.004509129159349512,51.39495699082373
67,-0.0021110412607808398,-0.00445297586449857,52.59257348302392
68,-0.0020319801117061717,-0.0043982692011317265,53.80046061793309
69,-0.0019544213442606873,-0.004344952693065512,55.018581735540685
70,-0.0018782840323295635,-0.004292972807671067,56.24747426833736
71,-0.0018034970130763632,-0.0042422787646993615,57.48754117519261
72,-0.00172999323354885,-0.004192822359921929,58.739171731066065
73,-0.00165769817834611,-0.004144557802257217,60.003014617306306
74,-0.0015865533958504528,-0.004097441563187978,61.27941371746986
75,-0.0015164840827652645,-0.004051432237395082,62.56918556435473
76,-0.0014474253269990015,-0.004006490413639662,63.87298664009282
77,-0.001379315675713868,-0.003962578555020244,65.19146165654193
78,-0.0013120993407551558,-0.003919660887815908,66.52518219538433
79,-0.0012456989933783927,-0.0038777032982018566,67.87534017994517
80,-0.0011800784363294873,-0.003836673236191027,69.24214381360645
81,-0.001115156927538386,-0.0037965396262156005,70.62701730180605
82,-0.001050878986997073,-0.0037572727838162093,72.03080405757206
83,-0.0009871800009882076,-0.0037188443379550487,73.45465657400851
84,-0.0009240061270622245,-0.0036812271585125746,74.89950803699995
85,-0.000861280133643001,-0.0036443952885666315,76.36699464668256
86,-0.0007989523866258609,-0.0036083238810880524,77.85807447016244
87,-0.0007369411436745339,-0.0035729891397186003,79.37466040737607
88,-0.0006751703996212245,-0.0035383682633257996,80.91859440920332
89,-0.0006135653497296562,-0.003504439394055164,82.49176884695191
90,-0.0005520413267887234,-0.0034711815686238145,84.09644336157311
91,-0.0004905203851898379,-0.003438574672620755,85.73477583326753
92,-0.0004288925281264967,-0.0034065993975984045,87.40995115454847
93,-0.0003670697054872441,-0.0033752372007574715,89.12462491806899
94,-0.0003048764299967391,-0.0033444702670432465,90.88416383900845
95,-0.00024222143507314492,-0.0033142814734858418,92.69158527991935
96,-0.00017892255995480386,-0.003284654355630156,94.5527735772832
97,-0.00011478788777146082,-0.0032555730759133723,96.47411115969939
98,-4.958895770353068e-05,-0.0032270223938587815,98.46332154998672
99,1.6992015416590214e-05,-0.0031989876379647938,100.53116852390842
100,8.532179652783137e-05,-0.0031714546791771605,102.69030477048999
