# k (1/bohr), S(k)
0.041685,0.013290
0.048134,0.019738
0.068072,0.037959
0.079821,0.052391
0.083371,0.054464
0.096268,0.078055
0.104906,0.109636
0.107631,0.096960
0.117904,0.128163
0.125056,0.147138
0.136144,0.178653
0.142382,0.169905
0.144402,0.188688
0.152213,0.208825
0.157818,0.234513
0.159642,0.253542
0.166741,0.269421
0.171873,0.282811
0.173550,0.295057
0.180101,0.308609
0.184862,0.342036
0.192536,0.310539
0.196997,0.354712
0.198462,0.408819
0.204215,0.423703
0.208426,0.416892
0.209811,0.483169
0.215262,0.445322
0.219261,0.443627
0.220578,0.463164
0.225769,0.532287
0.229585,0.493490
0.235808,0.483539
0.239464,0.556864
0.240670,0.529016
0.245436,0.573774
0.248951,0.605771
0.250112,0.549837
0.258090,0.574269
0.259210,0.613542
0.263641,0.659318
0.266916,0.648612
0.272287,0.701729
0.275460,0.696867
0.276509,0.682331
0.280667,0.764448
0.283746,0.728161
0.284765,0.743931
0.288804,0.696056
0.291797,0.746376
0.292788,0.820437
0.296718,0.758589
0.299632,0.845881
0.304426,0.800465
0.307267,0.878421
0.308208,0.794258
0.311944,0.881245
0.314717,0.853268
0.315636,0.837396
0.319285,0.987197
0.321995,0.849390
0.322893,0.852378
0.326461,0.898735
0.329111,0.873243
0.333482,0.810572
0.336078,0.883614
0.336938,0.885913
0.340359,0.868302
0.342902,0.922395
0.343746,0.961909
0.347099,0.945904
0.349594,0.927110
0.350421,0.937712
0.353711,0.963159
0.356159,0.974464
0.360202,0.937354
0.362606,0.965476
0.363404,0.933667
0.366578,0.968070
0.368940,1.021280
0.369724,0.964447
0.375168,0.991144
0.375939,1.002880
0.379008,0.999113
0.381293,0.970963
0.385072,0.999794
0.387322,0.996159
0.388069,0.971863
0.391043,0.974842
0.393258,0.995324
0.393994,1.018760
0.396923,0.959960
0.399106,1.025730
0.399831,0.976626
0.402718,1.004650
0.404870,1.018950
0.408431,0.995099
0.410552,1.008100
0.411257,1.011680
0.414065,0.990408
0.416158,1.027690
0.416853,0.914230
0.419623,1.074830
0.421688,0.958597
0.422374,0.994544
0.425108,1.044170
0.427147,1.048280
0.430524,0.988124
0.432537,1.024730
0.433206,1.014020
0.435872,0.989316
0.437861,1.000020
0.438522,1.027570
0.441156,1.017200
0.443121,1.015210
0.443774,0.988878
0.446377,0.990650
0.448319,1.009330
0.451537,1.026250
0.453457,1.063300
0.454095,1.025000
0.456639,1.014180
0.458538,0.982397
0.459169,1.045840
0.463563,0.992802
0.464188,1.063050
0.466677,1.043220
0.468535,1.005980
0.471615,0.960930
0.473454,1.017610
0.474065,0.991675
0.476503,1.005160
0.478322,0.995354
0.478927,1.019560
0.481340,0.989095
0.483142,1.022430
0.483741,1.016260
0.486130,1.010770
0.487914,1.018630
0.490873,1.012820
0.492639,1.027820
0.493227,1.007280
0.495570,0.963717
0.497320,0.991997
0.497902,1.007820
0.500223,1.017060
0.501957,1.029170
0.502534,1.007380
0.504834,1.014740
0.506552,1.008810
0.511105,1.001820
0.511672,1.012060
0.513931,0.990276
0.515619,1.018880
0.516180,1.034680
0.518419,0.999226
0.520093,1.015550
0.520649,0.994715
0.522869,1.003050
0.524528,0.995658
0.527282,1.002020
0.528927,1.033990
0.529474,1.002820
0.531658,1.013920
0.533289,1.014950
0.533832,1.020010
0.537616,0.999308
0.538155,1.016850
0.540303,1.005260
0.541909,0.989341
0.544574,0.875290
0.546167,0.990016
0.546697,1.027110
0.548812,0.981573
0.550393,1.014050
0.550919,1.018150
0.553018,1.007520
0.554587,1.017960
0.555109,0.996612
0.557192,1.016000
0.558749,1.009880
0.561334,0.969668
0.562880,0.993661
0.563394,1.030820
0.565447,1.070010
0.566981,0.981987
0.567492,0.998286
0.569529,1.031600
0.571053,1.023450
0.571560,1.021820
0.573583,1.012300
0.575096,0.980998
0.577608,1.021990
0.579111,1.016190
0.579610,0.973641
0.581606,1.017630
0.583098,0.999345
0.583594,1.003160
0.585576,1.039510
0.587058,1.012080
0.587551,1.018810
0.589519,1.026220
0.590991,1.024630
0.593436,1.020080
0.594898,1.000910
0.595385,0.984496
0.597328,0.996152
0.598780,0.982245
0.599264,1.011100
0.602637,1.012030
0.603118,1.020400
0.605035,0.997200
0.606470,0.993913
0.608853,1.016980
0.610278,1.020780
0.610752,0.981691
0.612646,1.007160
0.614063,1.012120
0.614534,1.000880
0.616416,1.048710
0.617824,1.006920
0.618293,1.014720
0.620164,1.021800
0.621563,0.974373
0.623888,1.055510
0.625279,0.989641
0.625742,0.988524
0.627591,1.013340
0.628974,0.998043
0.629434,0.993328
0.631272,1.021830
0.632647,1.005270
0.633104,1.016210
0.634931,1.020600
0.636298,1.030500
0.638570,1.036010
0.639929,1.025780
0.640382,1.040860
0.642188,0.991640
0.643539,0.992723
0.643989,1.010740
0.645786,0.990521
0.647130,1.035630
0.647577,0.999183
0.649363,1.005840
0.650700,1.028600
0.652922,1.012010
0.654251,0.989640
0.654693,1.001280
0.656461,0.993923
0.657783,1.004220
0.658223,0.975645
0.661296,1.000820
0.661733,0.986204
0.663482,0.976240
0.664790,1.000590
0.666965,0.950654
0.668266,0.986958
0.668699,1.022200
0.670429,0.995904
0.671724,1.007010
0.672155,1.008510
0.673876,1.021050
0.675164,1.006820
0.675593,0.983344
0.677306,1.004780
0.678587,0.975424
0.680718,0.996313
0.681993,1.000160
0.682418,0.981641
0.684113,1.011320
