# k (1/bohr), S(k)
0.047342,0.022986
0.054666,0.028893
0.077309,0.052175
0.090653,0.071475
0.094684,0.082757
0.109331,0.113659
0.119141,0.125289
0.122236,0.136500
0.133903,0.156449
0.142025,0.177219
0.154618,0.209461
0.161703,0.229614
0.163997,0.236275
0.172868,0.265350
0.179233,0.286330
0.181305,0.297443
0.189367,0.318506
0.195195,0.342750
0.197100,0.355873
0.204540,0.380942
0.209947,0.391194
0.218663,0.425809
0.223729,0.438531
0.225392,0.442580
0.231927,0.470612
0.236709,0.492838
0.238282,0.482852
0.244472,0.511639
0.249014,0.537689
0.250509,0.549455
0.256405,0.569840
0.260738,0.566149
0.267806,0.609235
0.271958,0.644406
0.273328,0.643544
0.278741,0.663896
0.282733,0.669937
0.284051,0.670997
0.293112,0.697266
0.294383,0.708417
0.299416,0.732117
0.303136,0.738796
0.309235,0.746453
0.312838,0.769282
0.314030,0.786703
0.318753,0.771074
0.322249,0.810468
0.323406,0.793756
0.327994,0.838124
0.331393,0.836893
0.332518,0.827131
0.336982,0.856285
0.340291,0.855308
0.345736,0.882645
0.348962,0.901509
0.350031,0.875975
0.354274,0.906457
0.357423,0.917333
0.358466,0.926003
0.362611,0.895794
0.365688,0.934015
0.366708,0.938925
0.370760,0.965795
0.373771,0.942769
0.378735,0.980538
0.381682,0.967866
0.382659,0.976720
0.386544,0.985066
0.389433,0.982828
0.390391,0.998547
0.394199,1.004350
0.397032,1.007160
0.397972,1.006760
0.401709,1.008990
0.404489,1.009710
0.409080,1.003780
0.411810,1.020770
0.412716,1.044410
0.416321,1.058730
0.419004,1.015110
0.419895,1.050930
0.426076,1.028170
0.426952,1.041220
0.430438,1.043220
0.433033,1.047720
0.437325,1.108540
0.439880,1.057650
0.440728,1.039190
0.444106,1.058520
0.446622,1.061920
0.447457,1.066260
0.450784,1.037250
0.453263,1.057430
0.454087,1.057690
0.457365,1.063640
0.459809,1.045160
0.463853,1.021180
0.466263,1.073920
0.467063,1.040540
0.470252,1.056830
0.472629,1.053760
0.473418,1.043530
0.476564,1.014050
0.478910,1.042340
0.479689,1.062180
0.482794,1.036430
0.485109,1.052940
0.488944,1.057630
0.491231,1.054200
0.491991,1.043830
0.495018,1.031880
0.497277,1.023090
0.498028,1.026610
0.501019,1.028250
0.503250,1.020540
0.503992,1.035400
0.506948,1.031180
0.509154,1.037230
0.512809,1.010750
0.514990,1.029720
0.515714,1.029700
0.518604,1.026660
0.520760,1.025970
0.521477,1.041300
0.526467,1.020720
0.527176,1.024290
0.530003,1.018680
0.532113,1.027750
0.535612,1.008370
0.537700,1.019480
0.538394,1.035580
0.541162,1.021890
0.543229,1.014820
0.543916,1.021080
0.546656,1.026970
0.548702,1.002140
0.549383,1.007980
0.552096,0.998496
0.554122,1.010280
0.557482,1.008600
0.559489,1.008060
0.560156,1.012110
0.562817,1.024630
0.564805,1.013500
0.565466,1.021910
0.568102,1.007170
0.570071,1.001800
0.570726,1.012400
0.573338,1.006580
0.575289,1.017340
0.580460,1.003950
0.581104,0.998577
0.583669,1.007930
0.585586,1.005610
0.586224,1.001410
0.588767,1.012710
0.590667,1.004860
0.591299,1.006440
0.593821,0.999190
0.595705,1.001540
0.598832,0.994620
0.600700,1.005700
0.601322,1.010100
0.603802,1.003930
0.605655,1.002860
0.606271,1.000230
0.610569,1.012120
0.611180,1.001430
0.613620,1.006010
0.615444,1.008620
0.618471,0.995933
0.620280,0.993865
0.620882,0.996239
0.623284,0.999620
0.625079,0.995094
0.625677,1.003650
0.628060,0.992743
0.629842,1.005700
0.630435,1.001370
0.632800,0.994467
0.634569,1.000110
0.637505,1.000970
0.639261,0.991895
0.639845,0.998685
0.642176,0.994798
0.643918,0.999944
0.644498,0.995709
0.646812,1.004560
0.648543,0.999102
0.649118,1.004110
0.651416,1.004630
0.653134,1.002190
0.655988,0.993426
0.657694,0.999312
0.658261,1.005400
0.660527,0.995915
0.662222,1.002980
0.662786,1.004570
0.665036,0.995252
0.666719,1.007070
0.667279,1.002650
0.669514,1.002340
0.671186,1.011810
0.673963,1.003040
0.675624,1.003250
0.676176,0.995779
0.678383,0.996330
0.680032,0.995642
0.680582,1.009750
0.684413,1.003270
0.684958,1.006380
0.687136,1.008480
0.688765,0.997556
0.691472,0.997234
0.693090,0.998331
0.693629,1.005580
0.695780,1.008300
0.697389,1.000810
0.697924,1.019990
0.700062,1.006210
0.701661,0.999519
0.702193,0.986945
0.704317,1.002850
0.705907,1.001520
0.708547,0.993790
0.710127,1.001400
0.710653,1.005760
0.712753,1.002430
0.714323,1.008160
0.714846,1.004190
0.716933,1.006330
0.718494,0.998889
0.719014,0.998211
0.721089,1.003450
0.722642,0.999804
0.725221,0.994038
0.726765,0.999342
0.727279,1.003170
0.729330,1.002340
0.730865,1.004760
0.731376,0.995612
0.733416,0.996700
0.734943,0.995806
0.735451,0.998218
0.737480,1.006680
0.738998,0.998279
0.741521,1.004800
0.743030,1.004200
0.743533,0.998012
0.745540,1.000400
0.747041,1.002770
0.747541,0.994954
0.751031,0.999448
0.751528,0.996646
0.753514,0.999193
0.754999,1.003970
0.757469,0.989577
0.758947,1.000380
0.759439,1.007220
0.761404,1.000900
0.762874,1.004200
0.763364,1.000740
0.765319,1.005130
0.766782,0.995517
0.767269,0.995209
0.769214,0.998194
0.770669,1.003280
0.773089,0.999899
0.774537,0.999413
0.775019,1.004000
0.776945,0.999481
