# rs, eps_c approx, eps_C PW92, absolute difference
1.700000000000000000e+01,-1.305152152981206223e-02,-1.295650096148673672e-02,9.502056832532551622e-05
1.800000000000000000e+01,-1.248533042528523519e-02,-1.243974447493568711e-02,4.558595034954808500e-05
1.900000000000000000e+01,-1.201965816459352882e-02,-1.196602998570098046e-02,5.362817889254835324e-05
2.000000000000000000e+01,-1.158667786003735739e-02,-1.152998932265904795e-02,5.668853737830943651e-05
2.100000000000000000e+01,-1.118563266891962199e-02,-1.112713159978959490e-02,5.850106913002708908e-05
2.200000000000000000e+01,-1.081338026426118329e-02,-1.075366828709077571e-02,5.971197717040757635e-05
2.300000000000000000e+01,-1.046699672671659760e-02,-1.040637900646028229e-02,6.061772025631531613e-05
2.400000000000000000e+01,-1.014410133816056638e-02,-1.008250730704609091e-02,6.159403111447546431e-05
2.500000000000000000e+01,-9.843447649163578755e-03,-9.779678820178785981e-03,6.376882898479277473e-05
2.600000000000000000e+01,-9.572733883781690128e-03,-9.495836334143916216e-03,7.689754963777391261e-05
2.700000000000000000e+01,-9.262180658787843787e-03,-9.229187810353515001e-03,3.299284843432878644e-05
2.800000000000000000e+01,-9.023593919959780121e-03,-8.978164403929570631e-03,4.542951603020949081e-05
2.900000000000000000e+01,-8.787621134627634362e-03,-8.741386294491998790e-03,4.623484013563557149e-05
3.000000000000000000e+01,-8.562779419004204126e-03,-8.517634669728055621e-03,4.514474927614850475e-05
3.100000000000000000e+01,-8.349090605522187930e-03,-8.305828596975059139e-03,4.326200854712879129e-05
3.200000000000000000e+01,-8.145909058980656953e-03,-8.105005808519902266e-03,4.090325046075468651e-05
3.300000000000000000e+01,-7.952509367759822562e-03,-7.914306643456501048e-03,3.820272430332151414e-05
3.400000000000000000e+01,-7.768193602968854160e-03,-7.732960552838278288e-03,3.523305013057587143e-05
3.500000000000000000e+01,-7.592315446046384378e-03,-7.560274699708189466e-03,3.204074633819491147e-05
3.600000000000000000e+01,-7.424283622382972687e-03,-7.395624281484870083e-03,2.865934089810260460e-05
3.700000000000000000e+01,-7.263559296165060519e-03,-7.238444276449476286e-03,2.511501971558423307e-05
3.800000000000000000e+01,-7.109651735419920959e-03,-7.088222374004170441e-03,2.142936141575051828e-05
3.900000000000000000e+01,-6.962113688984797842e-03,-6.944492893892933658e-03,1.762079509186418452e-05
4.000000000000000000e+01,-6.820536982846218781e-03,-6.806831535571298414e-03,1.370544727492036680e-05
4.100000000000000000e+01,-6.684548504707247575e-03,-6.674850827561355782e-03,9.697677145891793471e-06
4.200000000000000000e+01,-6.553806615562691659e-03,-6.548196169566674121e-03,5.610445996017537906e-06
4.300000000000000000e+01,-6.427997977335212290e-03,-6.426542378589965299e-03,1.455598745246991510e-06
4.400000000000000000e+01,-6.306834769506938082e-03,-6.309590665246941205e-03,2.755895740003122540e-06
4.500000000000000000e+01,-6.190052267259986418e-03,-6.197065978631778778e-03,7.013711371792359650e-06
4.600000000000000000e+01,-6.077406762695070769e-03,-6.088714668033298229e-03,1.130790533822745997e-05
4.700000000000000000e+01,-5.968673829270865379e-03,-5.984302417972517212e-03,1.562858870165183267e-05
4.800000000000000000e+01,-5.863646963771968618e-03,-5.883612419763766151e-03,1.996545599179753300e-05
4.900000000000000000e+01,-5.762136706810720363e-03,-5.786443748391000702e-03,2.430704158028033912e-05
5.000000000000000000e+01,-5.663970485608321725e-03,-5.692609918126978474e-03,2.863943251865674888e-05
5.100000000000000000e+01,-5.568993760369813500e-03,-5.601937594206562836e-03,3.294383383674933524e-05
5.200000000000000000e+01,-5.477073948282868733e-03,-5.514265441111961159e-03,3.719149282909242626e-05
5.300000000000000000e+01,-5.388111304676688508e-03,-5.429443090758990544e-03,4.133178608230203555e-05
5.400000000000000000e+01,-5.302070765009266745e-03,-5.347330216184650008e-03,4.525945117538326262e-05
5.500000000000000000e+01,-5.219095143631497305e-03,-5.267795698285910461e-03,4.870055465441315568e-05
5.600000000000000000e+01,-5.140101051634527601e-03,-5.190716874819836096e-03,5.061582318530849500e-05
5.700000000000000000e+01,-5.075952641920986746e-03,-5.115978862287306854e-03,4.002622036632010744e-05
5.800000000000000000e+01,-4.962159284409304108e-03,-5.043473942533034833e-03,8.131465812373072505e-05
5.900000000000000000e+01,-4.896961496225909344e-03,-4.973101006926714147e-03,7.613951070080480360e-05
6.000000000000000000e+01,-4.826295473582930227e-03,-4.904765051878102675e-03,7.846957829517244715e-05
