# rs, eps_c approx, eps_C PW92, absolute difference
1.900000000000000000e+01,-1.286052182861438520e-02,-1.196602998570098046e-02,8.944918429134047361e-04
2.000000000000000000e+01,-1.246932226033448804e-02,-1.152998932265904795e-02,9.393329376754400856e-04
2.100000000000000000e+01,-1.210582627055494659e-02,-1.112713159978959490e-02,9.786946707653516875e-04
2.200000000000000000e+01,-1.176742905613771192e-02,-1.075366828709077571e-02,1.013760769046936211e-03
2.300000000000000000e+01,-1.145166337986390503e-02,-1.040637900646028229e-02,1.045284373403622749e-03
2.400000000000000000e+01,-1.115653785288126497e-02,-1.008250730704609091e-02,1.074030545835174058e-03
2.500000000000000000e+01,-1.088113919848226335e-02,-9.779678820178785981e-03,1.101460378303477372e-03
2.600000000000000000e+01,-1.063345349078657735e-02,-9.495836334143916216e-03,1.137617156642661137e-03
2.700000000000000000e+01,-1.034394371948386612e-02,-9.229187810353515001e-03,1.114755909130351122e-03
2.800000000000000000e+01,-1.012462920651925093e-02,-8.978164403929570631e-03,1.146464802589680296e-03
2.900000000000000000e+01,-9.906346556355543134e-03,-8.741386294491998790e-03,1.164960261863544344e-03
3.000000000000000000e+01,-9.697772398394175625e-03,-8.517634669728055621e-03,1.180137728666120003e-03
3.100000000000000000e+01,-9.499069531256957438e-03,-8.305828596975059139e-03,1.193240934281898299e-03
3.200000000000000000e+01,-9.309716062600725817e-03,-8.105005808519902266e-03,1.204710254080823550e-03
3.300000000000000000e+01,-9.129095518145982982e-03,-7.914306643456501048e-03,1.214788874689481935e-03
3.400000000000000000e+01,-8.956606174998960404e-03,-7.732960552838278288e-03,1.223645622160682116e-03
3.500000000000000000e+01,-8.791686941918437290e-03,-7.560274699708189466e-03,1.231412242210247823e-03
3.600000000000000000e+01,-8.633822275325627946e-03,-7.395624281484870083e-03,1.238197993840757863e-03
3.700000000000000000e+01,-8.482540831444699767e-03,-7.238444276449476286e-03,1.244096554995223480e-03
3.800000000000000000e+01,-8.337412201060257627e-03,-7.088222374004170441e-03,1.249189827056087186e-03
3.900000000000000000e+01,-8.198043199480335372e-03,-6.944492893892933658e-03,1.253550305587401714e-03
4.000000000000000000e+01,-8.064074244562497926e-03,-6.806831535571298414e-03,1.257242708991199512e-03
4.100000000000000000e+01,-7.935176012630586195e-03,-6.674850827561355782e-03,1.260325185069230414e-03
4.200000000000000000e+01,-7.811046428420120868e-03,-6.548196169566674121e-03,1.262850258853446747e-03
4.300000000000000000e+01,-7.691407992521594357e-03,-6.426542378589965299e-03,1.264865613931629058e-03
4.400000000000000000e+01,-7.576005431267209683e-03,-6.309590665246941205e-03,1.266414766020268479e-03
4.500000000000000000e+01,-7.464603651617306330e-03,-6.197065978631778778e-03,1.267537672985527553e-03
4.600000000000000000e+01,-7.356985991043218757e-03,-6.088714668033298229e-03,1.268271323009920529e-03
4.700000000000000000e+01,-7.252952769648945280e-03,-5.984302417972517212e-03,1.268650351676428069e-03
4.800000000000000000e+01,-7.152320184847614851e-03,-5.883612419763766151e-03,1.268707765083848700e-03
4.900000000000000000e+01,-7.054919654711635374e-03,-5.786443748391000702e-03,1.268475906320634672e-03
5.000000000000000000e+01,-6.960597858129578472e-03,-5.692609918126978474e-03,1.267987940002599997e-03
5.100000000000000000e+01,-6.869218056903755865e-03,-5.601937594206562836e-03,1.267280462697193029e-03
5.200000000000000000e+01,-6.780664177259281521e-03,-5.514265441111961159e-03,1.266398736147320361e-03
5.300000000000000000e+01,-6.694851833742906239e-03,-5.429443090758990544e-03,1.265408742983915695e-03
5.400000000000000000e+01,-6.611760303999970542e-03,-5.347330216184650008e-03,1.264430087815320534e-03
5.500000000000000000e+01,-6.531545864763076831e-03,-5.267795698285910461e-03,1.263750166477166370e-03
5.600000000000000000e+01,-6.455137962743548626e-03,-5.190716874819836096e-03,1.264421087923712529e-03
5.700000000000000000e+01,-6.393417771435753148e-03,-5.115978862287306854e-03,1.277438909148446294e-03
5.800000000000000000e+01,-6.281891868748570862e-03,-5.043473942533034833e-03,1.238417926215536029e-03
5.900000000000000000e+01,-6.218820713437251888e-03,-4.973101006926714147e-03,1.245719706510537740e-03
6.000000000000000000e+01,-6.150153103814833683e-03,-4.904765051878102675e-03,1.245388051936731008e-03
6.100000000000000000e+01,-6.082094348188756168e-03,-4.838376720211059329e-03,1.243717627977696839e-03
6.200000000000000000e+01,-6.015368768038836626e-03,-4.773851883573673391e-03,1.241516884465163235e-03
6.300000000000000000e+01,-5.950132247528317625e-03,-4.711111261641768612e-03,1.239020985886549013e-03
6.400000000000000000e+01,-5.886406874996463583e-03,-4.650080074367317004e-03,1.236326800629146579e-03
6.500000000000000000e+01,-5.824171459112276357e-03,-4.590687723953407184e-03,1.233483735158869173e-03
6.600000000000000000e+01,-5.763388601766632549e-03,-4.532867503619361811e-03,1.230521098147270738e-03
6.700000000000000000e+01,-5.704014685759041872e-03,-4.476556330540849490e-03,1.227458355218192382e-03
6.800000000000000000e+01,-5.646004089768816986e-03,-4.421694500646831602e-03,1.224309589121985384e-03
6.900000000000000000e+01,-5.589311128657899891e-03,-4.368225463200842151e-03,1.221085665457057740e-03
7.000000000000000000e+01,-5.533890992222102734e-03,-4.316095613319767196e-03,1.217795378902335537e-03
7.100000000000000000e+01,-5.479700204923774673e-03,-4.265254100775889810e-03,1.214446104147884863e-03
7.200000000000000000e+01,-5.426696841870770963e-03,-4.215652653605557985e-03,1.211044188265212977e-03
7.300000000000000000e+01,-5.374840615020330323e-03,-4.167245415193728333e-03,1.207595199826601989e-03
7.400000000000000000e+01,-5.324092888177378753e-03,-4.119988793644139766e-03,1.204104094533238987e-03
7.500000000000000000e+01,-5.274416652357115029e-03,-4.073841322359579055e-03,1.200575329997535974e-03
7.600000000000000000e+01,-5.225776479193092877e-03,-4.028763530868561225e-03,1.197012948324531652e-03
7.700000000000000000e+01,-5.178138462598031594e-03,-3.984717825022791003e-03,1.193420637575240591e-03
7.800000000000000000e+01,-5.131470154704687384e-03,-3.941668375781214040e-03,1.189801778923473344e-03
7.900000000000000000e+01,-5.085740499697910706e-03,-3.899581015862842344e-03,1.186159483835068362e-03
8.000000000000000000e+01,-5.040919767715010963e-03,-3.858423143628374533e-03,1.182496624086636430e-03
8.100000000000000000e+01,-4.996979490118940576e-03,-3.818163633598980859e-03,1.178815856519959716e-03
8.200000000000000000e+01,-4.953892396910924804e-03,-3.778772753086415397e-03,1.175119643824509407e-03
8.300000000000000000e+01,-4.911632356708205485e-03,-3.740222084445152338e-03,1.171410272263053148e-03
8.400000000000000000e+01,-4.870174319500803969e-03,-3.702484452510863226e-03,1.167689866989940744e-03
8.500000000000000000e+01,-4.829494262263120223e-03,-3.665533856822247600e-03,1.163960405440872623e-03
8.600000000000000000e+01,-4.789569137410551285e-03,-3.629345408261482747e-03,1.160223729149068538e-03
8.700000000000000000e+01,-4.750376824037301667e-03,-3.593895269776121743e-03,1.156481554261179923e-03
8.800000000000000000e+01,-4.711896081838844869e-03,-3.559160600883795860e-03,1.152735480955049008e-03
8.900000000000000000e+01,-4.674106507602783511e-03,-3.525119505671316621e-03,1.148987001931466891e-03
9.000000000000000000e+01,-4.636988494142988554e-03,-3.491750984040337558e-03,1.145237510102650996e-03
9.100000000000000000e+01,-4.600523191547793711e-03,-3.459034885960316115e-03,1.141488305587477596e-03
9.200000000000000000e+01,-4.564692470612745356e-03,-3.426951868513498662e-03,1.137740602099246694e-03
9.300000000000000000e+01,-4.529478888332109238e-03,-3.395483355536486458e-03,1.133995532795622780e-03
9.400000000000000000e+01,-4.494865655326737985e-03,-3.364611499673226397e-03,1.130254155653511589e-03
9.500000000000000000e+01,-4.460836605092099831e-03,-3.334319146675460057e-03,1.126517458416639774e-03
9.600000000000000000e+01,-4.427376164955468783e-03,-3.304589801793811170e-03,1.122786363161657613e-03
9.700000000000000000e+01,-4.394469328637503301e-03,-3.275407598116091088e-03,1.119061730521412213e-03
9.800000000000000000e+01,-4.362101630319917961e-03,-3.246757266727205282e-03,1.115344363592712679e-03
9.900000000000000000e+01,-4.330259120126201886e-03,-3.218624108562233646e-03,1.111635011563968239e-03
1.000000000000000000e+02,-4.298928340928806491e-03,-3.190993967845347744e-03,1.107934373083458747e-03
1.010000000000000000e+02,-4.268096306401338198e-03,-3.163853207010785575e-03,1.104243099390552624e-03
1.020000000000000000e+02,-4.237750480239709308e-03,-3.137188683007475186e-03,1.100561797232234122e-03
1.030000000000000000e+02,-4.207878756480924742e-03,-3.110987724900727072e-03,1.096891031580197670e-03
1.040000000000000000e+02,-4.178469440853628536e-03,-3.085238112687592026e-03,1.093231328166036510e-03
1.050000000000000000e+02,-4.149511233097433541e-03,-3.059928057248834966e-03,1.089583175848598574e-03
1.060000000000000000e+02,-4.120993210193820561e-03,-3.035046181369780317e-03,1.085947028824040244e-03
