# rs, eps_c approx, eps_C PW92, absolute difference
5.000000000000000000e+01,1.371101721605433484e-02,-5.692609918126978474e-03,1.940362713418131158e-02
5.100000000000000000e+01,-4.434943576046404372e-03,-5.601937594206562836e-03,1.166994018160158464e-03
5.200000000000000000e+01,-1.728580741083168837e-02,-5.514265441111961159e-03,1.177154196971972808e-02
5.300000000000000000e+01,-9.422492455055414551e-03,-5.429443090758990544e-03,3.993049364296424007e-03
5.400000000000000000e+01,-2.741590917649031327e-03,-5.347330216184650008e-03,2.605739298535618680e-03
5.500000000000000000e+01,-9.149466085781399541e-03,-5.267795698285910461e-03,3.881670387495489080e-03
5.600000000000000000e+01,-2.136650097857038452e-02,-5.190716874819836096e-03,1.617578410375054843e-02
5.700000000000000000e+01,-8.130345080188642812e-03,-5.115978862287306854e-03,3.014366217901335958e-03
5.800000000000000000e+01,-2.241359979786181934e-03,-5.043473942533034833e-03,2.802113962746852899e-03
5.900000000000000000e+01,-1.206006632314125023e-04,-4.973101006926714147e-03,4.852500343695301428e-03
6.000000000000000000e+01,5.520288700949787944e-04,-4.904765051878102675e-03,5.456793921973081794e-03
6.100000000000000000e+01,-5.088418470851750752e-03,-4.838376720211059329e-03,2.500417506406914236e-04
6.200000000000000000e+01,-2.740361543118638790e-03,-4.773851883573673391e-03,2.033490340455034601e-03
6.300000000000000000e+01,4.027487724974877781e-02,-4.711111261641768612e-03,4.498598851139054555e-02
6.400000000000000000e+01,-2.070956411685863884e-03,-4.650080074367317004e-03,2.579123662681453120e-03
6.500000000000000000e+01,-3.666931046161515592e-03,-4.590687723953407184e-03,9.237566777918915922e-04
6.600000000000000000e+01,-2.629929971538425264e-03,-4.532867503619361811e-03,1.902937532080936547e-03
6.700000000000000000e+01,-3.517499697550845530e-03,-4.476556330540849490e-03,9.590566329900039599e-04
6.800000000000000000e+01,1.597387489368469167e-03,-4.421694500646831602e-03,6.019081990015300553e-03
6.900000000000000000e+01,1.333786213343754294e-02,-4.368225463200842151e-03,1.770608759663838683e-02
7.000000000000000000e+01,-2.300762713086857390e-03,-4.316095613319767196e-03,2.015332900232909806e-03
7.100000000000000000e+01,-5.724473132609722570e-03,-4.265254100775889810e-03,1.459219031833832760e-03
7.200000000000000000e+01,-3.911041523245666063e-03,-4.215652653605557985e-03,3.046111303598919226e-04
7.300000000000000000e+01,-3.305569544159906760e-03,-4.167245415193728333e-03,8.616758710338215735e-04
7.400000000000000000e+01,-4.078249034494447166e-03,-4.119988793644139766e-03,4.173975914969259987e-05
7.500000000000000000e+01,-4.926288745623709281e-04,-4.073841322359579055e-03,3.581212447797208018e-03
7.600000000000000000e+01,-6.729114321344735125e-03,-4.028763530868561225e-03,2.700350790476173900e-03
7.700000000000000000e+01,-4.415354854171623863e-03,-3.984717825022791003e-03,4.306370291488328603e-04
7.800000000000000000e+01,-4.373141305399479454e-04,-3.941668375781214040e-03,3.504354245241265986e-03
7.900000000000000000e+01,2.620447094688857156e-03,-3.899581015862842344e-03,6.520028110551699500e-03
8.000000000000000000e+01,-3.236545243600466581e-03,-3.858423143628374533e-03,6.218779000279079511e-04
8.100000000000000000e+01,-1.538085121196082310e-02,-3.818163633598980859e-03,1.156268757836184310e-02
8.200000000000000000e+01,1.477181111846978014e-02,-3.778772753086415397e-03,1.855058387155619423e-02
8.300000000000000000e+01,-6.545123467211758778e-03,-3.740222084445152338e-03,2.804901382766606440e-03
8.400000000000000000e+01,-3.059451396522546926e-03,-3.702484452510863226e-03,6.430330559883162996e-04
8.500000000000000000e+01,-2.835138603580886294e-03,-3.665533856822247600e-03,8.303952532413613058e-04
8.600000000000000000e+01,-5.731795601644246608e-04,-3.629345408261482747e-03,3.056165848097058303e-03
8.700000000000000000e+01,-6.222105639510266267e-03,-3.593895269776121743e-03,2.628210369734144524e-03
8.800000000000000000e+01,-2.140037914077287402e-03,-3.559160600883795860e-03,1.419122686806508458e-03
8.900000000000000000e+01,1.199926761745572358e-04,-3.525119505671316621e-03,3.645112181845873694e-03
9.000000000000000000e+01,-1.451373195858874851e-02,-3.491750984040337558e-03,1.102198097454841139e-02
9.100000000000000000e+01,-2.287068085256863809e-03,-3.459034885960316115e-03,1.171966800703452306e-03
9.200000000000000000e+01,-9.412688706295711371e-04,-3.426951868513498662e-03,2.485682997883927742e-03
9.300000000000000000e+01,-2.237640975259859791e-03,-3.395483355536486458e-03,1.157842380276626667e-03
9.400000000000000000e+01,-2.783399418916286845e-03,-3.364611499673226397e-03,5.812120807569395517e-04
9.500000000000000000e+01,-1.902566235643169106e-03,-3.334319146675460057e-03,1.431752911032290951e-03
9.600000000000000000e+01,-2.105152199784094402e-01,-3.304589801793811170e-03,2.072106301766156178e-01
9.700000000000000000e+01,-2.204193926206349588e-03,-3.275407598116091088e-03,1.071213671909741500e-03
9.800000000000000000e+01,-3.497356080314720228e-03,-3.246757266727205282e-03,2.505988135875149465e-04
9.900000000000000000e+01,-2.765133250036911228e-03,-3.218624108562233646e-03,4.534908585253224177e-04
1.000000000000000000e+02,8.219415701618869655e-04,-3.190993967845347744e-03,4.012935538007234709e-03
1.010000000000000000e+02,-9.139693710228997958e-03,-3.163853207010785575e-03,5.975840503218212384e-03
1.020000000000000000e+02,1.907909665109960851e-02,-3.137188683007475186e-03,2.221628533410708456e-02
1.030000000000000000e+02,-2.678428182575723696e-03,-3.110987724900727072e-03,4.325595423250033766e-04
1.040000000000000000e+02,-7.494296494198593840e-04,-3.085238112687592026e-03,2.335808463267732751e-03
1.050000000000000000e+02,2.986963579298178989e-02,-3.059928057248834966e-03,3.292956385023062399e-02
1.060000000000000000e+02,-1.544911292921840587e-03,-3.035046181369780317e-03,1.490134888447939730e-03
1.070000000000000000e+02,4.720478157321551793e-03,-3.010581501758589559e-03,7.731059659080141352e-03
1.080000000000000000e+02,2.326677557108378612e-06,-2.986523412006343581e-03,2.988850089563452068e-03
1.090000000000000000e+02,1.203571372407992749e-03,-2.962861666428882792e-03,4.166433038836875324e-03
1.100000000000000000e+02,-6.751016435377270135e-04,-2.939586364736601273e-03,2.264484721198874260e-03
1.110000000000000000e+02,-9.666755418891500445e-04,-2.916687937484677834e-03,1.950012395595527789e-03
1.120000000000000000e+02,-1.267276721042325527e-01,-2.894157132258571349e-03,1.238335149719739792e-01
1.130000000000000000e+02,-1.527033084979288052e-03,-2.871985000547296659e-03,1.344951915568008607e-03
1.140000000000000000e+02,-1.958026368081281898e-03,-2.850162885270081468e-03,8.921365171887995701e-04
1.150000000000000000e+02,-1.942914014009513831e-03,-2.828682408912851828e-03,8.857683949033379970e-04
1.160000000000000000e+02,-3.330568747140908933e-03,-2.807535462246455414e-03,5.230332848944535193e-04
1.170000000000000000e+02,-7.840532749706127357e-04,-2.786714193587597806e-03,2.002660918616985287e-03
1.180000000000000000e+02,-2.273792225371539660e-02,-2.766210998574600462e-03,1.997171125514079701e-02
1.190000000000000000e+02,-1.487950491125930976e-03,-2.746018510430471137e-03,1.258068019304540161e-03
1.200000000000000000e+02,-4.799861090828511263e-03,-2.726129590683845465e-03,2.073731500144665799e-03
