# rs, eps_c approx, eps_C PW92, absolute difference
1.300000000000000000e+01,-1.619486948181255576e-02,-1.560745502364823539e-02,5.874144581643203633e-04
1.400000000000000000e+01,-1.539753855508332187e-02,-1.483730261866405588e-02,5.602359364192659869e-04
1.500000000000000000e+01,-1.475893068809117602e-02,-1.414646455271536402e-02,6.124661353758120014e-04
1.600000000000000000e+01,-1.414598986921333443e-02,-1.352277601301139602e-02,6.232138562019384070e-04
1.700000000000000000e+01,-1.361528552689175720e-02,-1.295650096148673672e-02,6.587845654050204780e-04
1.800000000000000000e+01,-1.304748267020672085e-02,-1.243974447493568711e-02,6.077381952710337459e-04
1.900000000000000000e+01,-1.257829940936437164e-02,-1.196602998570098046e-02,6.122694236633911824e-04
2.000000000000000000e+01,-1.214031744940994792e-02,-1.152998932265904795e-02,6.103281267508999658e-04
2.100000000000000000e+01,-1.173311054895955635e-02,-1.112713159978959490e-02,6.059789491699614505e-04
2.200000000000000000e+01,-1.135380401346975689e-02,-1.075366828709077571e-02,6.001357263789811741e-04
2.300000000000000000e+01,-1.099969067598306760e-02,-1.040637900646028229e-02,5.933116695227853149e-04
2.400000000000000000e+01,-1.066856540470219848e-02,-1.008250730704609091e-02,5.860580976561075711e-04
2.500000000000000000e+01,-1.035932397606403529e-02,-9.779678820178785981e-03,5.796451558852493136e-04
2.600000000000000000e+01,-1.007977975746740008e-02,-9.495836334143916216e-03,5.839434233234838678e-04
2.700000000000000000e+01,-9.760246483529615852e-03,-9.229187810353515001e-03,5.310586731761008511e-04
2.800000000000000000e+01,-9.512605273782975823e-03,-8.978164403929570631e-03,5.344408698534051927e-04
2.900000000000000000e+01,-9.267564126372789673e-03,-8.741386294491998790e-03,5.261778318807908833e-04
3.000000000000000000e+01,-9.033688721583284231e-03,-8.517634669728055621e-03,5.160540518552286099e-04
3.100000000000000000e+01,-8.811039663838705904e-03,-8.305828596975059139e-03,5.052110668636467655e-04
3.200000000000000000e+01,-8.599002069133021911e-03,-8.105005808519902266e-03,4.939962606131196449e-04
3.300000000000000000e+01,-8.396874702312571298e-03,-7.914306643456501048e-03,4.825680588560702505e-04
3.400000000000000000e+01,-8.203978419441662617e-03,-7.732960552838278288e-03,4.710178666033843289e-04
3.500000000000000000e+01,-8.019681265639377540e-03,-7.560274699708189466e-03,4.594065659311880739e-04
3.600000000000000000e+01,-7.843402705930273625e-03,-7.395624281484870083e-03,4.477784244454035417e-04
3.700000000000000000e+01,-7.674611676432786973e-03,-7.238444276449476286e-03,4.361673999833106871e-04
3.800000000000000000e+01,-7.512822790750412795e-03,-7.088222374004170441e-03,4.246004167462423540e-04
3.900000000000000000e+01,-7.357592164204270445e-03,-6.944492893892933658e-03,4.130992703113367873e-04
4.000000000000000000e+01,-7.208513380299751486e-03,-6.806831535571298414e-03,4.016818447284530719e-04
4.100000000000000000e+01,-7.065213782054455792e-03,-6.674850827561355782e-03,3.903629544931000103e-04
4.200000000000000000e+01,-6.927351138187397284e-03,-6.548196169566674121e-03,3.791549686207231623e-04
4.300000000000000000e+01,-6.794610682391599363e-03,-6.426542378589965299e-03,3.680683038016340641e-04
4.400000000000000000e+01,-6.666702506140730067e-03,-6.309590665246941205e-03,3.571118408937888622e-04
4.500000000000000000e+01,-6.543359283723931830e-03,-6.197065978631778778e-03,3.462933050921530517e-04
4.600000000000000000e+01,-6.424334316179058924e-03,-6.088714668033298229e-03,3.356196481457606948e-04
4.700000000000000000e+01,-6.309399898493764022e-03,-5.984302417972517212e-03,3.250974805212468108e-04
4.800000000000000000e+01,-6.198346047901794921e-03,-5.883612419763766151e-03,3.147336281380287704e-04
4.900000000000000000e+01,-6.090979697228315719e-03,-5.786443748391000702e-03,3.045359488373150167e-04
5.000000000000000000e+01,-5.987124599519323860e-03,-5.692609918126978474e-03,2.945146813923453857e-04
5.100000000000000000e+01,-5.886622527394427817e-03,-5.601937594206562836e-03,2.846849331878649816e-04
5.200000000000000000e+01,-5.789337242992635864e-03,-5.514265441111961159e-03,2.750718018806747045e-04
5.300000000000000000e+01,-5.695165419672435989e-03,-5.429443090758990544e-03,2.657223289134454450e-04
5.400000000000000000e+01,-5.604068520608820186e-03,-5.347330216184650008e-03,2.567383044241701787e-04
5.500000000000000000e+01,-5.516186031621801711e-03,-5.267795698285910461e-03,2.483903333358912502e-04
5.600000000000000000e+01,-5.432431411904795580e-03,-5.190716874819836096e-03,2.417145370849594840e-04
5.700000000000000000e+01,-5.363665872203481413e-03,-5.115978862287306854e-03,2.476870099161745595e-04
5.800000000000000000e+01,-5.245396084897718456e-03,-5.043473942533034833e-03,2.019221423646836225e-04
5.900000000000000000e+01,-5.175860152634956766e-03,-4.973101006926714147e-03,2.027591457082426191e-04
6.000000000000000000e+01,-5.100992184399069304e-03,-4.904765051878102675e-03,1.962271325209666295e-04
6.100000000000000000e+01,-5.026987934424314089e-03,-4.838376720211059329e-03,1.886112142132547603e-04
6.200000000000000000e+01,-4.954560656664491226e-03,-4.773851883573673391e-03,1.807087730908178355e-04
6.300000000000000000e+01,-4.883855642175721767e-03,-4.711111261641768612e-03,1.727443805339531555e-04
6.400000000000000000e+01,-4.814884919121501308e-03,-4.650080074367317004e-03,1.648048447541843042e-04
6.500000000000000000e+01,-4.747617748043084923e-03,-4.590687723953407184e-03,1.569300240896777388e-04
6.600000000000000000e+01,-4.682007665325775558e-03,-4.532867503619361811e-03,1.491401617064137472e-04
6.700000000000000000e+01,-4.618002441456126386e-03,-4.476556330540849490e-03,1.414461109152768958e-04
6.800000000000000000e+01,-4.555548268086469232e-03,-4.421694500646831602e-03,1.338537674396376304e-04
6.900000000000000000e+01,-4.494591672214703210e-03,-4.368225463200842151e-03,1.263662090138610583e-04
7.000000000000000000e+01,-4.435080430566947646e-03,-4.316095613319767196e-03,1.189848172471804494e-04
7.100000000000000000e+01,-4.376964006608960456e-03,-4.265254100775889810e-03,1.117099058330706454e-04
7.200000000000000000e+01,-4.320193745325826180e-03,-4.215652653605557985e-03,1.045410917202681950e-04
7.300000000000000000e+01,-4.264722939630949741e-03,-4.167245415193728333e-03,9.747752443722140780e-05
7.400000000000000000e+01,-4.210506826850980190e-03,-4.119988793644139766e-03,9.051803320684042448e-05
7.500000000000000000e+01,-4.157502546754086002e-03,-4.073841322359579055e-03,8.366122439450694726e-05
7.600000000000000000e+01,-4.105669078697919867e-03,-4.028763530868561225e-03,7.690554782935864198e-05
7.700000000000000000e+01,-4.054967168012147197e-03,-3.984717825022791003e-03,7.024934298935619353e-05
7.800000000000000000e+01,-4.005359247556052049e-03,-3.941668375781214040e-03,6.369087177483800932e-05
7.900000000000000000e+01,-3.956809357978216014e-03,-3.899581015862842344e-03,5.722834211537367044e-05
8.000000000000000000e+01,-3.909283068780312551e-03,-3.858423143628374533e-03,5.085992515193801800e-05
8.100000000000000000e+01,-3.862747401412959872e-03,-3.818163633598980859e-03,4.458376781397901251e-05
8.200000000000000000e+01,-3.817170755102887707e-03,-3.778772753086415397e-03,3.839800201647231015e-05
8.300000000000000000e+01,-3.772522835763382487e-03,-3.740222084445152338e-03,3.230075131823014964e-05
8.400000000000000000e+01,-3.728774588137266123e-03,-3.702484452510863226e-03,2.629013562640289750e-05
8.500000000000000000e+01,-3.685898131178720182e-03,-3.665533856822247600e-03,2.036427435647258227e-05
8.600000000000000000e+01,-3.643866696593390554e-03,-3.629345408261482747e-03,1.452128833190780705e-05
8.700000000000000000e+01,-3.602654570401275097e-03,-3.593895269776121743e-03,8.759300625153353809e-06
8.800000000000000000e+01,-3.562237037350634086e-03,-3.559160600883795860e-03,3.076436466838226164e-06
8.900000000000000000e+01,-3.522590327980470396e-03,-3.525119505671316621e-03,2.529177690846224485e-06
9.000000000000000000e+01,-3.483691568118092632e-03,-3.491750984040337558e-03,8.059415922244926589e-06
9.100000000000000000e+01,-3.445518730579798759e-03,-3.459034885960316115e-03,1.351615538051735566e-05
9.200000000000000000e+01,-3.408050588826329417e-03,-3.426951868513498662e-03,1.890127968716924511e-05
9.300000000000000000e+01,-3.371266672313329507e-03,-3.395483355536486458e-03,2.421668322315695052e-05
9.400000000000000000e+01,-3.335147223250477244e-03,-3.364611499673226397e-03,2.946427642274915271e-05
9.500000000000000000e+01,-3.299673154461162106e-03,-3.334319146675460057e-03,3.464599221429795137e-05
9.600000000000000000e+01,-3.264826007995001549e-03,-3.304589801793811170e-03,3.976379379880962128e-05
9.700000000000000000e+01,-3.230587914094565707e-03,-3.275407598116091088e-03,4.481968402152538070e-05
9.800000000000000000e+01,-3.196941550055394047e-03,-3.246757266727205282e-03,4.981571667181123458e-05
9.900000000000000000e+01,-3.163870098420445021e-03,-3.218624108562233646e-03,5.475401014178862477e-05
1.000000000000000000e+02,-3.131357203830667166e-03,-3.190993967845347744e-03,5.963676401468057803e-05
1.010000000000000000e+02,-3.099386927677251838e-03,-3.163853207010785575e-03,6.446627933353373668e-05
1.020000000000000000e+02,-3.067943699466942325e-03,-3.137188683007475186e-03,6.924498354053286106e-05
1.030000000000000000e+02,-3.037012263476477139e-03,-3.110987724900727072e-03,7.397546142424993310e-05
1.040000000000000000e+02,-3.006577618811398251e-03,-3.085238112687592026e-03,7.866049387619377525e-05
1.050000000000000000e+02,-2.976624950302700877e-03,-3.059928057248834966e-03,8.330310694613408951e-05
1.060000000000000000e+02,-2.947139546714246452e-03,-3.035046181369780317e-03,8.790663465553386416e-05
1.070000000000000000e+02,-2.918106701292695962e-03,-3.010581501758589559e-03,9.247480046589359737e-05
1.080000000000000000e+02,-2.889511587523420962e-03,-2.986523412006343581e-03,9.701182448292261853e-05
1.090000000000000000e+02,-2.861339099640712418e-03,-2.962861666428882792e-03,1.015225667881703743e-04
1.100000000000000000e+02,-2.833573642191059699e-03,-2.939586364736601273e-03,1.060127225455415739e-04
1.110000000000000000e+02,-2.806198844482160181e-03,-2.916687937484677834e-03,1.104890930025176528e-04
1.120000000000000000e+02,-2.779197161606819250e-03,-2.894157132258571349e-03,1.149599706517520983e-04
1.130000000000000000e+02,-2.752549299341156865e-03,-2.871985000547296659e-03,1.194357012061397945e-04
1.140000000000000000e+02,-2.726233356419529089e-03,-2.850162885270081468e-03,1.239295288505523791e-04
1.150000000000000000e+02,-2.700223495388870843e-03,-2.828682408912851828e-03,1.284589135239809846e-04
1.160000000000000000e+02,-2.674487790220329408e-03,-2.807535462246455414e-03,1.330476720261260064e-04
1.170000000000000000e+02,-2.648984554868829763e-03,-2.786714193587597806e-03,1.377296387187680431e-04
1.180000000000000000e+02,-2.623655674260271659e-03,-2.766210998574600462e-03,1.425553243143288032e-04
1.190000000000000000e+02,-2.598413504553218154e-03,-2.746018510430471137e-03,1.476050058772529830e-04
1.200000000000000000e+02,-2.573112419072820078e-03,-2.726129590683845465e-03,1.530171716110253870e-04
