rs, PW92, RPA, ALDA, MCP07, TC21
0.100000000000000      , -0.120879320105426      , -0.143975526585503      , -0.111106243434637      , -0.128610180401777      , -0.126659307778578
0.200000000000000      , -0.101123053278843      , -0.123443040448198      , -9.083718964516452E-002 , -0.107943236311359      , -0.106091812241913
0.300000000000000      , -9.001201209146371E-002 , -0.111705889756440      , -7.943163356832793E-002 , -9.620064164471563E-002 , -9.440037559699589E-002
0.400000000000000      , -8.237806035335792E-002 , -0.103542569105768      , -7.158698817962365E-002 , -8.807211541741666E-002 , -8.630670499495915E-002
0.500000000000000      , -7.661902922337620E-002 , -9.732326990153359E-002 , -6.566264598109682E-002 , -8.190254149454664E-002 , -8.016651764098817E-002
0.600000000000000      , -7.202840008943499E-002 , -9.232495080624244E-002 , -6.093577378904306E-002 , -7.695902097151118E-002 , -7.525268630773206E-002
0.700000000000000      , -6.823290083574171E-002 , -8.816345383251556E-002 , -5.702459427656702E-002 , -7.285292099959548E-002 , -7.118051955629888E-002
0.800000000000000      , -6.501178344190267E-002 , -8.461037802970475E-002 , -5.370331993681175E-002 , -6.935362771795757E-002 , -6.772229647635755E-002
0.900000000000000      , -6.222394001034451E-002 , -8.151898961510992E-002 , -5.082759316130585E-002 , -6.631326276742816E-002 , -6.473209382849417E-002
1.00000000000000      , -5.977386418440409E-002 , -7.878944373619594E-002 , -4.829961992521070E-002 , -6.363138266782364E-002 , -6.211045983096646E-002
2.00000000000000      , -4.475959003078595E-002 , -6.179598579861832E-002 , -3.278954345629422E-002 , -4.706747920958353E-002 , -4.636423420752486E-002
3.00000000000000      , -3.694127364930262E-002 , -5.275550866340772E-002 , -2.456607867887037E-002 , -3.833255441025070E-002 , -3.834204940523232E-002
4.00000000000000      , -3.186637870969929E-002 , -4.680525222452294E-002 , -1.913743692751400E-002 , -3.262571070341976E-002 , -3.310629189507026E-002
5.00000000000000      , -2.821626106897376E-002 , -4.246711073862588E-002 , -1.515186120556989E-002 , -2.849506062799206E-002 , -2.929848471500601E-002
6.00000000000000      , -2.542714539639101E-002 , -3.911548130509102E-002 , -1.204158900856865E-002 , -2.532721158803440E-002 , -2.636969161080789E-002
7.00000000000000      , -2.320816096757215E-002 , -3.641418841139520E-002 , -9.502561580542745E-003 , -2.279264914730096E-002 , -2.402506774695948E-002
8.00000000000000      , -2.139069597857464E-002 , -3.417179368224413E-002 , -7.359114166711860E-003 , -2.070270525965857E-002 , -2.209449656024230E-002
9.00000000000000      , -1.986889134720093E-002 , -3.228847910877423E-002 , -5.538641857749777E-003 , -1.896482529106703E-002 , -2.049570082885924E-002
10.0000000000000      , -1.857229774384831E-002 , -3.065617285275753E-002 , -3.926212841464063E-003 , -1.746759155705643E-002 , -1.912333518001270E-002
11.0000000000000      , -1.745189502701905E-002 , -2.923622167355307E-002 , -2.481601857741305E-003 , -1.616454606040443E-002 , -1.793675562158906E-002
12.0000000000000      , -1.647235007511409E-002 , -2.797758494796230E-002 , -1.183034300343513E-003 , -1.502711326656120E-002 , -1.690521944801903E-002
13.0000000000000      , -1.560745502364823E-002 , -2.685500554185443E-002 ,  4.743655730884020E-006 , -1.401972879551063E-002 , -1.599690708042952E-002
14.0000000000000      , -1.483730261866405E-002 , -2.584558719587324E-002 ,  1.102356654831481E-003 , -1.312012874567728E-002 , -1.519048550180588E-002
