# rs, eps_c approx, eps_C PW92, absolute difference
5.300000000000000000e+01,8.550619487977592637e-02,-5.429443090758990544e-03,9.093563797053491604e-02
5.400000000000000000e+01,2.696437053803615869e-02,-5.347330216184650008e-03,3.231170075422080956e-02
5.500000000000000000e+01,8.819153969298530044e-03,-5.267795698285910461e-03,1.408694966758444050e-02
5.600000000000000000e+01,1.899805625858301539e-02,-5.190716874819836096e-03,2.418877313340285148e-02
5.700000000000000000e+01,2.701809089902257321e-02,-5.115978862287306854e-03,3.213406976130987747e-02
5.800000000000000000e+01,5.253739144965642593e-02,-5.043473942533034833e-03,5.758086539218946337e-02
5.900000000000000000e+01,1.382123220143269098e-02,-4.973101006926714147e-03,1.879433320835940599e-02
6.000000000000000000e+01,1.145329030840601045e-02,-4.904765051878102675e-03,1.635805536028411139e-02
6.100000000000000000e+01,2.144853992128119974e-02,-4.838376720211059329e-03,2.628691664149225907e-02
6.200000000000000000e+01,-2.718469480289579382e-02,-4.773851883573673391e-03,2.241084291932211869e-02
6.300000000000000000e+01,-2.677250785080578788e-01,-4.711111261641768612e-03,2.630139672464161249e-01
6.400000000000000000e+01,4.719481829969196518e-02,-4.650080074367317004e-03,5.184489837405928392e-02
6.500000000000000000e+01,-5.294483763749826405e-03,-4.590687723953407184e-03,7.037960397964192205e-04
6.600000000000000000e+01,1.271808068896102678e-02,-4.532867503619361811e-03,1.725094819258038772e-02
6.700000000000000000e+01,5.426942979347650076e-02,-4.476556330540849490e-03,5.874598612401735198e-02
6.800000000000000000e+01,1.778889541869011631e-02,-4.421694500646831602e-03,2.221058991933694965e-02
6.900000000000000000e+01,4.506010164317333921e-02,-4.368225463200842151e-03,4.942832710637418137e-02
7.000000000000000000e+01,-4.355829449747545407e-02,-4.316095613319767196e-03,3.924219888415568513e-02
7.100000000000000000e+01,-5.373219574729691805e-01,-4.265254100775889810e-03,5.330567033721932413e-01
7.200000000000000000e+01,1.651534098385729413e-02,-4.215652653605557985e-03,2.073099363746285298e-02
7.300000000000000000e+01,-1.055687241781998013e-02,-4.167245415193728333e-03,6.389627002626251800e-03
7.400000000000000000e+01,1.882955425033253777e-02,-4.119988793644139766e-03,2.294954304397667927e-02
7.500000000000000000e+01,4.074753797608725303e-02,-4.073841322359579055e-03,4.482137929844683122e-02
7.600000000000000000e+01,-7.108146397295371510e-02,-4.028763530868561225e-03,6.705270044208515301e-02
7.700000000000000000e+01,1.445120205465388885e-03,-3.984717825022791003e-03,5.429838030488179888e-03
7.800000000000000000e+01,8.438211535081334425e-03,-3.941668375781214040e-03,1.237987991086254846e-02
7.900000000000000000e+01,2.827147644814416785e-02,-3.899581015862842344e-03,3.217105746400700933e-02
8.000000000000000000e+01,8.529327980155458275e-03,-3.858423143628374533e-03,1.238775112378383281e-02
8.100000000000000000e+01,1.675922047809913495e-02,-3.818163633598980859e-03,2.057738411169811668e-02
8.200000000000000000e+01,7.937957487581182026e-02,-3.778772753086415397e-03,8.315834762889823262e-02
8.300000000000000000e+01,-1.116157235157814835e-02,-3.740222084445152338e-03,7.421350267132996448e-03
8.400000000000000000e+01,5.718476374574640517e-03,-3.702484452510863226e-03,9.420960827085503309e-03
8.500000000000000000e+01,-6.042445067710676063e-03,-3.665533856822247600e-03,2.376911210888428463e-03
8.600000000000000000e+01,2.223831826811420095e-02,-3.629345408261482747e-03,2.586766367637568370e-02
8.700000000000000000e+01,2.449613993690131705e-02,-3.593895269776121743e-03,2.809003520667743836e-02
8.800000000000000000e+01,-2.104668654122584040e-02,-3.559160600883795860e-03,1.748752594034204411e-02
8.900000000000000000e+01,-6.758483725020886235e-02,-3.525119505671316621e-03,6.405971774453754486e-02
9.000000000000000000e+01,7.949156150240267726e-02,-3.491750984040337558e-03,8.298331248644301439e-02
9.100000000000000000e+01,4.482487745992701916e-03,-3.459034885960316115e-03,7.941522631953017164e-03
