# rs, eps_c approx, eps_C PW92, absolute difference
2.600000000000000000e+01,-9.498541059961448235e-03,-9.495836334143916216e-03,2.704725817532019350e-06
2.700000000000000000e+01,-9.197589277239603608e-03,-9.229187810353515001e-03,3.159853311391139230e-05
2.800000000000000000e+01,-8.968135243716739841e-03,-8.978164403929570631e-03,1.002916021283078996e-05
2.900000000000000000e+01,-8.740854308786004737e-03,-8.741386294491998790e-03,5.319857059940535926e-07
3.000000000000000000e+01,-8.524289607349484071e-03,-8.517634669728055621e-03,6.654937621428450023e-06
3.100000000000000000e+01,-8.318487240772665103e-03,-8.305828596975059139e-03,1.265864379760596459e-05
3.200000000000000000e+01,-8.122824205752852966e-03,-8.105005808519902266e-03,1.781839723295070010e-05
3.300000000000000000e+01,-7.936596195487423747e-03,-7.914306643456501048e-03,2.228955203092269910e-05
3.400000000000000000e+01,-7.759124964341558052e-03,-7.732960552838278288e-03,2.616441150327976362e-05
3.500000000000000000e+01,-7.589782555571565961e-03,-7.560274699708189466e-03,2.950785586337649480e-05
3.600000000000000000e+01,-7.427994829146392433e-03,-7.395624281484870083e-03,3.237054766152235030e-05
3.700000000000000000e+01,-7.273238944646409285e-03,-7.238444276449476286e-03,3.479466819693299851e-05
3.800000000000000000e+01,-7.125039108214265351e-03,-7.088222374004170441e-03,3.681673421009491048e-05
3.900000000000000000e+01,-6.982962025424613479e-03,-6.944492893892933658e-03,3.846913153167982186e-05
4.000000000000000000e+01,-6.846612567760335458e-03,-6.806831535571298414e-03,3.978103218903704386e-05
4.100000000000000000e+01,-6.715629821853782815e-03,-6.674850827561355782e-03,4.077899429242703294e-05
4.200000000000000000e+01,-6.589683560602271895e-03,-6.548196169566674121e-03,4.148739103559777319e-05
4.300000000000000000e+01,-6.468471125545239078e-03,-6.426542378589965299e-03,4.192874695527377960e-05
4.400000000000000000e+01,-6.351714693758343799e-03,-6.309590665246941205e-03,4.212402851140259474e-05
4.500000000000000000e+01,-6.239158902070685367e-03,-6.197065978631778778e-03,4.209292343890658900e-05
4.600000000000000000e+01,-6.130568810429339391e-03,-6.088714668033298229e-03,4.185414239604116210e-05
4.700000000000000000e+01,-6.025728204764130291e-03,-5.984302417972517212e-03,4.142578679161307981e-05
4.800000000000000000e+01,-5.924438273821480867e-03,-5.883612419763766151e-03,4.082585405771471665e-05
4.900000000000000000e+01,-5.826516761081465545e-03,-5.786443748391000702e-03,4.007301269046484316e-05
5.000000000000000000e+01,-5.731797835555722982e-03,-5.692609918126978474e-03,3.918791742874450784e-05
5.100000000000000000e+01,-5.640133262770151423e-03,-5.601937594206562836e-03,3.819566856358858759e-05
5.200000000000000000e+01,-5.551396349877064061e-03,-5.514265441111961159e-03,3.713090876510290184e-05
5.300000000000000000e+01,-5.465492844254606943e-03,-5.429443090758990544e-03,3.604975349561639897e-05
5.400000000000000000e+01,-5.382392788960068883e-03,-5.347330216184650008e-03,3.506257277541887513e-05
5.500000000000000000e+01,-5.302243730516218584e-03,-5.267795698285910461e-03,3.444803223030812322e-05
5.600000000000000000e+01,-5.225966640635048774e-03,-5.190716874819836096e-03,3.524976581521267749e-05
5.700000000000000000e+01,-5.164429659174965374e-03,-5.115978862287306854e-03,4.845079688765852044e-05
5.800000000000000000e+01,-5.053145758225134794e-03,-5.043473942533034833e-03,9.671815692099960948e-06
5.900000000000000000e+01,-4.990358653941409997e-03,-4.973101006926714147e-03,1.725764701469584966e-05
6.000000000000000000e+01,-4.922007303774863715e-03,-4.904765051878102675e-03,1.724225189676104053e-05
6.100000000000000000e+01,-4.854291440256740947e-03,-4.838376720211059329e-03,1.591472004568161847e-05
6.200000000000000000e+01,-4.787927281763228182e-03,-4.773851883573673391e-03,1.407539818955479138e-05
6.300000000000000000e+01,-4.723061868564375557e-03,-4.711111261641768612e-03,1.195060692260694474e-05
6.400000000000000000e+01,-4.659707475976312095e-03,-4.650080074367317004e-03,9.627401608995091176e-06
6.500000000000000000e+01,-4.597831690526918771e-03,-4.590687723953407184e-03,7.143966573511587037e-06
6.600000000000000000e+01,-4.537383822325520913e-03,-4.532867503619361811e-03,4.516318706159101748e-06
6.700000000000000000e+01,-4.478303876898506383e-03,-4.476556330540849490e-03,1.747546357656892813e-06
6.800000000000000000e+01,-4.420525126928157023e-03,-4.421694500646831602e-03,1.169373718674579510e-06
6.900000000000000000e+01,-4.363973220366543747e-03,-4.368225463200842151e-03,4.252242834298404495e-06
7.000000000000000000e+01,-4.308561833741742127e-03,-4.316095613319767196e-03,7.533779578025069645e-06
7.100000000000000000e+01,-4.254182193454325057e-03,-4.265254100775889810e-03,1.107190732156475288e-05
7.200000000000000000e+01,-4.200677225624857222e-03,-4.215652653605557985e-03,1.497542798070076314e-05
7.300000000000000000e+01,-4.147765395712133506e-03,-4.167245415193728333e-03,1.948001948159482771e-05
7.400000000000000000e+01,-4.094730240103187750e-03,-4.119988793644139766e-03,2.525855354095201538e-05
7.500000000000000000e+01,-4.037929927387524411e-03,-4.073841322359579055e-03,3.591139497205464437e-05
7.600000000000000000e+01,-4.050754237810981137e-03,-4.028763530868561225e-03,2.199070694241991170e-05
