# r (bohr), g(r)
0.300000,0.248499
0.724264,0.315160
0.943880,0.365275
1.119616,0.414473
1.270820,0.468913
1.405668,0.506950
1.528572,0.539073
1.642254,0.572731
1.748528,0.613807
1.848684,0.643698
1.943670,0.664528
2.034220,0.695116
2.120900,0.717297
2.204160,0.742619
2.284400,0.759860
2.361900,0.780169
2.436940,0.798992
2.509720,0.814860
2.580460,0.830862
2.649320,0.847613
2.716420,0.859505
2.781900,0.879085
2.845880,0.885849
2.908440,0.894452
2.969700,0.907195
3.029700,0.915005
3.088560,0.919199
3.146300,0.930071
3.203000,0.943345
3.258720,0.945285
3.313500,0.952281
3.367380,0.959722
3.420420,0.961068
3.472660,0.966164
3.524100,0.967214
3.574820,0.970566
3.624820,0.982776
3.674160,0.983800
3.722820,0.988504
3.770860,0.991285
3.818300,0.993368
3.865160,0.997458
3.911460,0.996363
3.957200,0.999618
4.002440,0.999751
4.047160,0.999555
4.091400,1.002290
4.135160,1.003020
4.178460,1.005310
4.221320,1.004610
4.263740,1.007200
4.305760,1.003330
4.347360,1.009670
4.388580,1.005680
4.429400,1.007530
4.469860,1.006560
4.509940,1.009310
4.549680,1.003060
4.589080,1.007810
4.628140,1.007790
4.666860,1.012600
4.705280,1.012900
4.743380,1.005310
4.781180,1.008480
4.818680,1.011240
4.855880,1.007150
4.892820,1.005870
4.929460,1.003100
4.965860,1.003190
5.001960,1.003740
5.037820,1.004090
5.073420,0.999110
5.108780,1.004060
5.143900,1.003030
5.178780,0.995764
5.213420,1.006720
5.247820,1.002860
5.282020,1.003870
5.315980,0.999845
5.349740,0.999356
5.383280,0.998663
5.416620,0.999323
5.449740,0.997159
5.482680,1.000790
5.515400,1.000460
5.547940,0.999391
5.580300,0.995800
5.612460,0.999407
5.644440,0.995815
5.676240,0.999057
5.707860,1.001130
5.739320,0.999098
5.770600,0.998555
5.801700,1.000910
5.832640,0.995074
5.863420,0.997131
5.894040,1.000990
5.924500,0.997061
5.954820,0.994193
5.984960,0.998638
6.014960,0.994571
6.044820,0.999257
6.074520,0.996721
6.104080,0.995280
6.133500,0.994746
6.162780,0.997013
6.191920,0.997532
6.220920,0.996846
6.249780,0.996621
6.278520,0.995466
6.307120,0.996646
6.335600,0.999311
6.363940,0.999613
6.392160,0.996832
6.420260,0.999767
6.448240,0.995259
6.476100,1.003160
6.503840,0.998272
6.531440,1.000050
6.558940,0.998554
6.586340,0.997661
6.613600,0.996965
6.640760,0.999014
6.667820,0.995591
6.694760,0.997410
6.721600,1.003280
6.748320,0.999838
6.774940,0.996844
6.801460,1.002870
6.827880,0.998539
6.854180,0.997391
6.880400,1.002400
6.906500,0.998924
6.932520,0.999381
6.958440,1.003470
6.984260,0.999277
7.009980,0.997292
7.035620,0.997547
7.061140,0.997251
7.086600,0.999883
7.111960,0.996903
7.137220,1.000700
7.162400,1.001410
7.187480,1.002740
7.212480,1.000260
7.237400,0.997729
7.262220,1.004390
7.286960,0.996884
7.311620,1.001830
7.336200,1.000640
7.360700,1.000170
7.385120,0.998601
7.409440,1.005160
7.433700,1.000310
7.457880,0.997995
7.481960,1.000800
7.505980,1.000090
7.529940,1.002820
7.553800,0.998972
7.577580,1.000100
7.601300,1.001300
7.624940,1.003650
7.648520,0.998766
7.672020,0.999358
7.695440,1.003870
7.718800,0.998690
7.742080,0.999498
7.765300,1.000850
7.788440,1.003280
7.811520,1.000370
7.834540,1.000700
7.857480,0.998825
7.880340,0.998657
7.903160,1.004070
7.925900,1.003910
7.948580,0.998628
7.971200,0.997855
7.993740,1.000300
8.016220,0.999570
8.038640,1.002050
8.061000,0.999202
8.083300,1.000650
8.105540,0.999857
8.127720,1.000510
8.149840,0.999003
8.171900,1.000670
8.193900,0.999413
8.215840,1.001660
8.237720,1.004890
8.259540,1.004500
8.281300,1.001730
8.303000,1.004450
8.324660,1.000680
8.346240,1.002090
8.367780,1.000550
8.389280,1.001210
8.410700,0.999745
8.432080,1.000530
8.453400,0.999906
8.474660,1.002050
8.495880,0.997954
8.517040,1.001880
8.538140,1.002040
8.559200,1.000090
8.580200,1.001870
8.601160,1.000240
8.622060,0.998582
8.642920,1.001460
8.663720,1.000520
8.684460,0.998987
8.705160,0.998797
8.725820,1.003240
8.746420,1.002460
8.766980,1.000310
8.787480,0.999509
8.807940,1.000350
8.828360,0.999771
8.848720,1.000980
8.869040,0.997904
8.889320,0.998826
8.909540,1.001220
8.929720,1.001090
8.949860,0.998233
