# r (bohr), g(r)
481.857300,1.003270
482.613300,1.003030
483.367500,0.998956
484.120800,0.999749
484.873200,1.000760
485.624700,1.001560
486.374400,0.999177
487.123200,1.000200
487.871100,1.000970
488.618100,0.997921
489.363300,1.004990
490.107600,0.999844
490.851000,0.999461
491.592600,0.999988
492.333300,1.001080
493.073100,1.005420
493.812000,1.002010
494.550000,1.000650
495.286200,1.003680
496.021500,1.002380
496.755900,1.001850
497.489400,1.000900
498.221100,1.001930
498.951900,1.001170
499.682700,0.998588
500.410800,0.999366
501.138900,1.001680
501.866100,1.002240
502.591500,0.998844
503.316000,1.001480
504.039600,1.002950
504.762300,1.003010
505.484100,1.001080
506.205000,1.001450
506.924100,1.000490
507.643200,1.003170
508.360500,1.002810
509.076900,1.003150
509.792400,1.003450
510.507000,1.003220
511.220700,1.001810
511.932600,1.001090
512.644500,1.002790
513.354600,1.002330
514.064700,1.002940
514.773000,1.000480
515.480400,1.002540
516.186900,1.004940
516.893400,1.004990
517.598100,1.000970
518.301000,1.002980
519.003900,1.003330
519.705900,1.003200
520.407000,1.004120
521.107200,1.004460
521.805600,0.999589
522.504000,1.001910
523.201500,1.000550
523.897200,1.004960
524.592900,1.002680
525.286800,1.000510
525.980700,1.000470
526.672800,1.003270
527.364900,1.001280
528.055200,1.001210
528.745500,1.001580
529.434000,1.002010
530.121600,0.999285
530.809200,1.001260
531.495000,0.999253
532.180800,1.000420
532.865700,0.999259
533.548800,1.001870
534.231900,0.999292
534.913200,1.002030
535.594500,1.004310
536.274900,1.001230
536.953500,1.001920
537.632100,1.002470
538.309800,0.998403
538.986600,1.000530
539.662500,0.999924
540.337500,1.004230
541.011600,1.001020
541.684800,0.998847
542.357100,1.002120
543.028500,1.000040
543.699900,0.998952
544.369500,0.999808
545.039100,1.000420
545.706900,1.000660
546.374700,0.996952
547.041600,1.000970
547.707600,0.999186
548.372700,0.999659
549.036900,0.999613
549.700200,1.001810
550.362600,0.999067
551.025000,1.002540
551.685600,1.000650
552.346200,0.998242
553.005900,0.997983
553.664700,0.999015
554.322600,0.998510
554.979600,0.998003
555.635700,0.998757
556.291800,0.996277
556.946100,0.999180
557.600400,0.996378
558.253800,0.997521
558.906300,0.998013
559.557900,0.997831
560.209500,0.998078
560.859300,1.000900
561.509100,0.996824
562.158000,0.997516
562.806000,0.997789
563.453100,0.997511
564.099300,0.998056
564.745500,0.999776
565.390800,0.999680
566.035200,0.998816
566.678700,0.996818
567.321300,0.996461
567.963000,0.999606
568.604700,0.998303
569.245500,0.998239
569.885400,0.997818
570.524400,0.996942
571.163400,0.997256
571.800600,0.999822
572.437800,0.995178
573.074100,0.998902
573.710400,1.000380
574.344900,1.001330
574.979400,0.998659
575.613000,0.999369
576.245700,0.999520
576.878400,0.998324
577.509300,0.996557
578.140200,0.995497
578.770200,0.999387
579.400200,0.996469
580.028400,0.999665
580.656600,0.996956
581.283900,0.998717
581.911200,0.997533
582.536700,0.997099
583.162200,0.998979
583.786800,0.997112
584.411400,0.997626
585.034200,0.998817
585.657000,0.998178
586.278900,0.996918
586.900800,0.998907
587.521800,1.000420
588.141900,0.997475
588.761100,0.997486
589.379400,0.998705
589.997700,0.997745
590.615100,0.999845
591.232500,0.998887
591.848100,1.000580
592.463700,0.998563
593.078400,1.001520
593.693100,0.997527
594.306900,0.997782
594.919800,1.001150
595.531800,0.996560
596.143800,1.000080
596.754900,0.998185
597.365100,1.000080
597.975300,0.997067
598.584600,0.999640
599.193000,1.001280
599.801400,0.999892
600.408900,0.997656
601.015500,0.998183
601.621200,0.998209
602.226900,0.999680
602.831700,0.999537
603.436500,0.999965
604.040400,0.999418
604.643400,0.997639
605.245500,0.998432
605.847600,0.997736
606.448800,1.000200
607.050000,1.000210
607.650300,0.999070
608.249700,1.001600
608.848200,0.996139
609.446700,0.999989
610.044300,0.997960
610.641900,1.001210
611.238600,0.997868
611.834400,0.999907
612.430200,1.000770
613.025100,1.000250
613.619100,1.003080
614.213100,0.999134
614.806200,0.998367
615.398400,1.001930
615.990600,1.001060
616.581900,0.999419
617.173200,0.997709
617.763600,1.001300
618.353100,1.000790
618.942600,0.998184
619.531200,0.998112
620.118900,0.998050
620.706600,0.997217
621.293400,1.001700
621.879300,1.000550
622.465200,0.999718
623.051100,1.000740
623.635200,1.002480
624.220200,0.998397
624.803400,0.999002
625.386600,0.999647
625.968900,0.998700
626.551200,1.002200
627.132600,1.001190
627.714000,1.001980
628.293600,1.000840
628.874100,1.001530
629.453700,1.000440
630.032400,0.998798
630.610200,0.998961
631.188000,1.001380
631.764900,0.999963
632.341800,0.999742
632.917800,1.001830
633.493800,0.998899
634.068900,1.000360
634.643100,1.001640
635.217300,1.000050
635.791500,1.003330
636.363900,1.001240
636.936300,1.003180
637.508700,1.001870
638.080200,1.004150
638.650800,0.999891
639.221400,1.002420
639.792000,0.998922
640.360800,1.001330
640.930500,0.999973
641.498400,0.999850
642.066300,0.999613
642.634200,1.000670
643.201200,1.000120
643.767300,1.000490
644.333400,1.002190
644.898600,1.002290
645.463800,0.999089
646.028100,1.000460
646.592400,1.000710
647.155800,1.004240
647.718300,1.001700
648.280800,1.001930
648.843300,1.002220
649.404900,0.999541
649.965600,1.000000
650.526300,1.001120
651.086100,1.000920
651.645900,1.001210
652.204800,1.002750
652.763700,0.999681
653.321700,1.001260
653.879700,1.000730
654.436800,1.000870
654.993900,1.001050
655.550100,1.002490
656.105400,1.000440
656.660700,1.003050
657.216000,1.001260
657.770400,1.002000
658.323900,1.001780
658.877400,1.005720
659.430000,1.005160
659.982600,1.001840
660.535200,0.998937
661.086900,1.001820
661.637700,0.998603
662.188500,1.003730
662.738400,1.000300
663.288300,1.000760
663.837300,1.002250
664.386300,1.000370
664.935300,1.004830
665.482500,1.004830
666.030600,1.003050
666.577800,1.003100
667.124100,1.001790
667.670400,1.003050
668.215800,1.001210
668.761200,1.003460
669.305700,1.002080
