# q/(2k_F),k_F critical
2.127027027027027228e-01,0.000000000000000000e+00
2.152052052052052245e-01,0.000000000000000000e+00
2.177077077077077261e-01,0.000000000000000000e+00
2.202102102102102277e-01,0.000000000000000000e+00
2.227127127127127293e-01,0.000000000000000000e+00
2.252152152152152309e-01,0.000000000000000000e+00
2.277177177177177325e-01,0.000000000000000000e+00
2.302202202202202341e-01,0.000000000000000000e+00
2.327227227227227357e-01,0.000000000000000000e+00
2.352252252252252374e-01,0.000000000000000000e+00
2.377277277277277390e-01,0.000000000000000000e+00
2.402302302302302406e-01,0.000000000000000000e+00
2.427327327327327422e-01,0.000000000000000000e+00
2.452352352352352438e-01,0.000000000000000000e+00
2.477377377377377454e-01,0.000000000000000000e+00
2.502402402402402193e-01,0.000000000000000000e+00
2.527427427427427209e-01,0.000000000000000000e+00
2.552452452452452225e-01,0.000000000000000000e+00
2.577477477477477241e-01,0.000000000000000000e+00
2.602502502502502812e-01,0.000000000000000000e+00
2.627527527527527829e-01,0.000000000000000000e+00
2.652552552552552845e-01,0.000000000000000000e+00
2.677577577577577861e-01,0.000000000000000000e+00
2.702602602602602877e-01,0.000000000000000000e+00
2.727627627627627893e-01,0.000000000000000000e+00
2.752652652652652909e-01,0.000000000000000000e+00
2.777677677677677925e-01,0.000000000000000000e+00
2.802702702702702942e-01,0.000000000000000000e+00
2.827727727727727958e-01,0.000000000000000000e+00
2.852752752752752974e-01,0.000000000000000000e+00
2.877777777777777990e-01,0.000000000000000000e+00
2.902802802802803006e-01,0.000000000000000000e+00
2.927827827827828022e-01,0.000000000000000000e+00
2.952852852852853038e-01,0.000000000000000000e+00
2.977877877877878054e-01,0.000000000000000000e+00
3.002902902902903071e-01,0.000000000000000000e+00
3.027927927927928087e-01,0.000000000000000000e+00
3.052952952952953103e-01,0.000000000000000000e+00
3.077977977977978119e-01,0.000000000000000000e+00
3.103003003003003135e-01,0.000000000000000000e+00
3.128028028028028151e-01,0.000000000000000000e+00
3.153053053053053167e-01,0.000000000000000000e+00
3.178078078078078184e-01,0.000000000000000000e+00
3.203103103103103200e-01,0.000000000000000000e+00
3.228128128128128216e-01,0.000000000000000000e+00
3.253153153153153232e-01,0.000000000000000000e+00
3.278178178178178248e-01,0.000000000000000000e+00
3.303203203203203264e-01,0.000000000000000000e+00
3.328228228228228280e-01,0.000000000000000000e+00
3.353253253253253297e-01,0.000000000000000000e+00
3.378278278278278313e-01,0.000000000000000000e+00
3.403303303303303329e-01,0.000000000000000000e+00
3.428328328328328345e-01,0.000000000000000000e+00
3.453353353353353361e-01,0.000000000000000000e+00
3.478378378378378377e-01,0.000000000000000000e+00
3.503403403403403393e-01,0.000000000000000000e+00
3.528428428428428409e-01,0.000000000000000000e+00
3.553453453453453426e-01,0.000000000000000000e+00
3.578478478478478442e-01,0.000000000000000000e+00
3.603503503503503458e-01,0.000000000000000000e+00
3.628528528528528474e-01,0.000000000000000000e+00
3.653553553553553490e-01,0.000000000000000000e+00
3.678578578578578506e-01,0.000000000000000000e+00
3.703603603603603522e-01,0.000000000000000000e+00
3.728628628628628539e-01,0.000000000000000000e+00
3.753653653653653555e-01,0.000000000000000000e+00
3.778678678678678571e-01,0.000000000000000000e+00
3.803703703703703587e-01,0.000000000000000000e+00
3.828728728728728603e-01,0.000000000000000000e+00
3.853753753753753619e-01,0.000000000000000000e+00
3.878778778778778635e-01,0.000000000000000000e+00
3.903803803803803651e-01,0.000000000000000000e+00
3.928828828828828668e-01,0.000000000000000000e+00
3.953853853853853684e-01,0.000000000000000000e+00
3.978878878878878700e-01,0.000000000000000000e+00
4.003903903903903716e-01,0.000000000000000000e+00
4.028928928928928732e-01,0.000000000000000000e+00
4.053953953953953748e-01,0.000000000000000000e+00
4.078978978978978764e-01,0.000000000000000000e+00
4.104004004004003781e-01,0.000000000000000000e+00
4.129029029029029352e-01,0.000000000000000000e+00
4.154054054054054368e-01,0.000000000000000000e+00
4.179079079079079384e-01,0.000000000000000000e+00
4.204104104104104400e-01,0.000000000000000000e+00
4.229129129129129416e-01,0.000000000000000000e+00
4.254154154154154432e-01,0.000000000000000000e+00
4.279179179179179449e-01,0.000000000000000000e+00
4.304204204204204465e-01,0.000000000000000000e+00
4.329229229229229481e-01,0.000000000000000000e+00
4.354254254254254497e-01,0.000000000000000000e+00
4.379279279279279513e-01,0.000000000000000000e+00
4.404304304304304529e-01,0.000000000000000000e+00
4.429329329329329545e-01,0.000000000000000000e+00
4.454354354354354562e-01,0.000000000000000000e+00
4.479379379379379578e-01,0.000000000000000000e+00
4.504404404404404594e-01,0.000000000000000000e+00
4.529429429429429610e-01,0.000000000000000000e+00
4.554454454454454626e-01,0.000000000000000000e+00
4.579479479479479642e-01,0.000000000000000000e+00
4.604504504504504658e-01,0.000000000000000000e+00
4.629529529529529674e-01,0.000000000000000000e+00
4.654554554554554691e-01,0.000000000000000000e+00
4.679579579579579707e-01,0.000000000000000000e+00
4.704604604604604723e-01,0.000000000000000000e+00
4.729629629629629739e-01,0.000000000000000000e+00
4.754654654654654755e-01,0.000000000000000000e+00
4.779679679679679771e-01,0.000000000000000000e+00
4.804704704704704787e-01,0.000000000000000000e+00
4.829729729729729804e-01,0.000000000000000000e+00
4.854754754754754820e-01,0.000000000000000000e+00
4.879779779779779836e-01,0.000000000000000000e+00
4.904804804804804852e-01,0.000000000000000000e+00
4.929829829829829868e-01,0.000000000000000000e+00
4.954854854854854884e-01,0.000000000000000000e+00
4.979879879879879900e-01,0.000000000000000000e+00
5.004904904904904361e-01,0.000000000000000000e+00
5.029929929929929378e-01,0.000000000000000000e+00
5.054954954954954394e-01,0.000000000000000000e+00
5.079979979979979410e-01,0.000000000000000000e+00
5.105005005005005536e-01,0.000000000000000000e+00
5.130030030030030552e-01,0.000000000000000000e+00
5.155055055055055568e-01,0.000000000000000000e+00
5.180080080080080585e-01,0.000000000000000000e+00
5.205105105105105601e-01,0.000000000000000000e+00
5.230130130130130617e-01,0.000000000000000000e+00
5.255155155155155633e-01,0.000000000000000000e+00
5.280180180180180649e-01,0.000000000000000000e+00
5.305205205205205665e-01,0.000000000000000000e+00
5.330230230230230681e-01,0.000000000000000000e+00
5.355255255255255697e-01,0.000000000000000000e+00
5.380280280280280714e-01,0.000000000000000000e+00
5.405305305305305730e-01,0.000000000000000000e+00
5.430330330330330746e-01,0.000000000000000000e+00
5.455355355355355762e-01,0.000000000000000000e+00
5.480380380380380778e-01,0.000000000000000000e+00
5.505405405405405794e-01,0.000000000000000000e+00
5.530430430430430810e-01,0.000000000000000000e+00
5.555455455455455827e-01,0.000000000000000000e+00
5.580480480480480843e-01,0.000000000000000000e+00
5.605505505505505859e-01,0.000000000000000000e+00
5.630530530530530875e-01,0.000000000000000000e+00
5.655555555555555891e-01,0.000000000000000000e+00
5.680580580580580907e-01,0.000000000000000000e+00
5.705605605605605923e-01,0.000000000000000000e+00
5.730630630630630939e-01,0.000000000000000000e+00
5.755655655655655956e-01,0.000000000000000000e+00
5.780680680680680972e-01,0.000000000000000000e+00
5.805705705705705988e-01,0.000000000000000000e+00
5.830730730730731004e-01,0.000000000000000000e+00
5.855755755755756020e-01,0.000000000000000000e+00
5.880780780780781036e-01,0.000000000000000000e+00
5.905805805805806052e-01,0.000000000000000000e+00
5.930830830830831069e-01,0.000000000000000000e+00
5.955855855855856085e-01,0.000000000000000000e+00
5.980880880880881101e-01,0.000000000000000000e+00
6.005905905905906117e-01,0.000000000000000000e+00
6.030930930930931133e-01,0.000000000000000000e+00
6.055955955955956149e-01,0.000000000000000000e+00
6.080980980980981165e-01,0.000000000000000000e+00
6.106006006006006182e-01,0.000000000000000000e+00
6.131031031031031198e-01,0.000000000000000000e+00
6.156056056056056214e-01,0.000000000000000000e+00
6.181081081081081230e-01,0.000000000000000000e+00
6.206106106106106246e-01,0.000000000000000000e+00
6.231131131131131262e-01,0.000000000000000000e+00
6.256156156156156278e-01,0.000000000000000000e+00
6.281181181181181294e-01,0.000000000000000000e+00
6.306206206206206311e-01,0.000000000000000000e+00
6.331231231231231327e-01,0.000000000000000000e+00
6.356256256256256343e-01,0.000000000000000000e+00
6.381281281281281359e-01,0.000000000000000000e+00
6.406306306306306375e-01,0.000000000000000000e+00
6.431331331331331391e-01,0.000000000000000000e+00
6.456356356356356407e-01,0.000000000000000000e+00
6.481381381381381424e-01,0.000000000000000000e+00
6.506406406406406440e-01,0.000000000000000000e+00
6.531431431431431456e-01,0.000000000000000000e+00
6.556456456456456472e-01,0.000000000000000000e+00
6.581481481481481488e-01,0.000000000000000000e+00
6.606506506506506504e-01,0.000000000000000000e+00
6.631531531531531520e-01,0.000000000000000000e+00
6.656556556556556536e-01,0.000000000000000000e+00
6.681581581581581553e-01,0.000000000000000000e+00
6.706606606606606569e-01,0.000000000000000000e+00
6.731631631631631585e-01,0.000000000000000000e+00
6.756656656656656601e-01,0.000000000000000000e+00
6.781681681681681617e-01,0.000000000000000000e+00
6.806706706706706633e-01,0.000000000000000000e+00
6.831731731731731649e-01,0.000000000000000000e+00
6.856756756756756666e-01,0.000000000000000000e+00
6.881781781781781682e-01,0.000000000000000000e+00
6.906806806806806698e-01,0.000000000000000000e+00
6.931831831831831714e-01,0.000000000000000000e+00
6.956856856856856730e-01,0.000000000000000000e+00
6.981881881881881746e-01,0.000000000000000000e+00
7.006906906906906762e-01,0.000000000000000000e+00
7.031931931931931778e-01,0.000000000000000000e+00
7.056956956956956795e-01,0.000000000000000000e+00
7.081981981981981811e-01,0.000000000000000000e+00
7.107007007007006827e-01,0.000000000000000000e+00
7.132032032032031843e-01,0.000000000000000000e+00
7.157057057057056859e-01,0.000000000000000000e+00
7.182082082082081875e-01,0.000000000000000000e+00
7.207107107107106891e-01,0.000000000000000000e+00
7.232132132132131908e-01,0.000000000000000000e+00
7.257157157157156924e-01,0.000000000000000000e+00
7.282182182182181940e-01,2.628095554875013447e-04
7.307207207207206956e-01,3.909688451267567724e-04
7.332232232232231972e-01,5.444567436392442781e-04
7.357257257257256988e-01,7.231875254430999728e-04
7.382282282282282004e-01,9.270389177307793204e-04
7.407307307307307020e-01,1.155851858247884060e-03
7.432332332332332037e-01,1.409430474579420611e-03
7.457357357357357053e-01,1.687542257681386854e-03
7.482382382382382069e-01,1.989918451144499605e-03
7.507407407407407085e-01,2.316254649277909444e-03
7.532432432432432101e-01,2.666211594554138056e-03
7.557457457457457117e-01,3.039416132214717119e-03
7.582482482482482133e-01,3.435462426810283534e-03
7.607507507507507150e-01,3.853913222396429007e-03
7.632532532532532166e-01,4.294301390857461348e-03
7.657557557557557182e-01,4.756131503513236561e-03
7.682582582582582198e-01,5.238881542424370097e-03
7.707607607607607214e-01,5.742004821245027917e-03
7.732632632632632230e-01,6.264931778018870308e-03
7.757657657657657246e-01,6.807072082296345902e-03
7.782682682682682263e-01,7.367816486138302479e-03
7.807707707707707279e-01,7.946539024365531154e-03
7.832732732732732295e-01,8.542598970336169259e-03
7.857757757757757311e-01,9.155342861572275670e-03
7.882782782782782327e-01,9.784106618518651974e-03
7.907807807807807343e-01,1.042821736062188309e-02
7.932832832832832359e-01,1.108699536210767424e-02
7.957857857857857375e-01,1.175975605432439362e-02
7.982882882882882392e-01,1.244581165555757457e-02
8.007907907907907408e-01,1.314447270771212407e-02
8.032932932932932424e-01,1.385505021835423123e-02
8.057957957957957440e-01,1.457685649890166912e-02
8.082982982982982456e-01,1.530920702726895101e-02
8.108008008008007472e-01,1.605142165858662595e-02
8.133033033033033599e-01,1.680282574278840410e-02
8.158058058058058615e-01,1.756275124219817269e-02
8.183083083083083631e-01,1.833053803538165979e-02
8.208108108108108647e-01,1.910553410341090524e-02
8.233133133133133663e-01,1.988709711311260550e-02
8.258158158158158679e-01,2.067459478959717684e-02
8.283183183183183695e-01,2.146740528878777338e-02
8.308208208208208712e-01,2.226491803561057858e-02
8.333233233233233728e-01,2.306653437592062067e-02
8.358258258258258744e-01,2.387166720397273373e-02
8.383283283283283760e-01,2.467974189374412194e-02
8.408308308308308776e-01,2.549019648519888770e-02
