rs, PW92, RPA, ALDA, MCP07, rMCP07/TC21, CP07, RA
0.100000000000000      , -0.120879320105426      , -0.143975526585503      , -0.111106243434637      , -0.128610180401777      , -0.126659307778578      , -0.109621079940923      , -0.119295114605585
0.200000000000000      , -0.101123053278843      , -0.123443040448198      , -9.083718964516452E-002 , -0.107943236311359      , -0.106091812241913      , -9.812939461251761E-002 , -9.963432835879917E-002
0.300000000000000      , -9.001201209146371E-002 , -0.111705889756440      , -7.943163356832793E-002 , -9.620064164471563E-002 , -9.440037559699589E-002 , -9.215656983634249E-002 , -8.858807635801477E-002
0.400000000000000      , -8.237806035335792E-002 , -0.103542569105768      , -7.158698817962365E-002 , -8.807211541741666E-002 , -8.630670499495915E-002 , -8.711280457668104E-002 , -8.100591067134254E-002
0.500000000000000      , -7.661902922337620E-002 , -9.732326990153359E-002 , -6.566264598109682E-002 , -8.190254149454664E-002 , -8.016651764098817E-002 , -8.252005352238397E-002 , -7.529190265679460E-002
0.600000000000000      , -7.202840008943499E-002 , -9.232495080624244E-002 , -6.093577378904306E-002 , -7.695902097151118E-002 , -7.525268630773206E-002 , -7.832929597959902E-002 , -7.074238309066209E-002
0.700000000000000      , -6.823290083574171E-002 , -8.816345383251556E-002 , -5.702459427656702E-002 , -7.285292099959548E-002 , -7.118051955629888E-002 , -7.451894061731630E-002 , -6.698553864550492E-002
0.800000000000000      , -6.501178344190267E-002 , -8.461037802970475E-002 , -5.370331993681175E-002 , -6.935362771795757E-002 , -6.772229647635755E-002 , -7.105904334586488E-002 , -6.380141987938888E-002
0.900000000000000      , -6.222394001034451E-002 , -8.151898961510992E-002 , -5.082759316130585E-002 , -6.631326276742816E-002 , -6.473209382849417E-002 , -6.791548068375609E-002 , -6.104938374220860E-002
1.00000000000000      , -5.977386418440409E-002 , -7.878944373619594E-002 , -4.829961992521070E-002 , -6.363138266782364E-002 , -6.211045983096646E-002 , -6.505444047639901E-002 , -5.863414967889025E-002
2.00000000000000      , -4.475959003078595E-002 , -6.179598579861832E-002 , -3.278954345629422E-002 , -4.706747920958353E-002 , -4.636423420752486E-002 , -4.657838581202097E-002 , -4.393028990740908E-002
3.00000000000000      , -3.694127364930262E-002 , -5.275550866340772E-002 , -2.456607867887037E-002 , -3.833255441025070E-002 , -3.834204940523232E-002 , -3.732933624234483E-002 , -3.635554699905987E-002
4.00000000000000      , -3.186637870969929E-002 , -4.680525222452294E-002 , -1.913743692751400E-002 , -3.262571070341976E-002 , -3.310629189507026E-002 , -3.178176062248424E-002 , -3.146478169819787E-002
