# q,<w**1.0>/wp(0)**1.0
1.870000000000000107e+00,3.682270524539656420e-01
1.880000000000000115e+00,3.607628232808057778e-01
1.890000000000000124e+00,3.523008912384431035e-01
1.900000000000000133e+00,3.430433912359407422e-01
1.910000000000000142e+00,3.335094929615611270e-01
1.920000000000000151e+00,3.241257631527930672e-01
1.929999999999999938e+00,3.151508321611258823e-01
1.939999999999999947e+00,3.067173252228920788e-01
1.949999999999999956e+00,2.988803382708203338e-01
1.959999999999999964e+00,2.916506313509530934e-01
1.969999999999999973e+00,2.850146793267716028e-01
1.979999999999999982e+00,2.789463786310986126e-01
1.989999999999999991e+00,2.734137787711312662e-01
2.000000000000000000e+00,2.683829523056674993e-01
2.009999999999999787e+00,2.638201649484713252e-01
2.020000000000000018e+00,2.596930667706918161e-01
2.029999999999999805e+00,2.559713070313311412e-01
2.040000000000000036e+00,2.526267995777189412e-01
2.049999999999999822e+00,2.496337836869170212e-01
2.059999999999999609e+00,2.469687744008852159e-01
2.069999999999999840e+00,2.446104583147149514e-01
2.079999999999999627e+00,2.425395404390184584e-01
2.089999999999999858e+00,2.407386009286492101e-01
2.099999999999999645e+00,2.391919199532242801e-01
2.109999999999999876e+00,2.378853533768452155e-01
2.119999999999999662e+00,2.368061651213829166e-01
2.129999999999999893e+00,2.359429132865711598e-01
2.139999999999999680e+00,2.352853304647734844e-01
2.149999999999999911e+00,2.348242016562658852e-01
2.159999999999999698e+00,2.345512810315633079e-01
2.169999999999999929e+00,2.344592039777742554e-01
2.179999999999999716e+00,2.345413952325008378e-01
2.189999999999999947e+00,2.347920149164292036e-01
2.199999999999999734e+00,2.352058848013337533e-01
2.209999999999999964e+00,2.357784443903064298e-01
2.219999999999999751e+00,2.365056850660622878e-01
2.229999999999999982e+00,2.373841232994049755e-01
2.239999999999999769e+00,2.384107495524430964e-01
2.250000000000000000e+00,2.395830063643734908e-01
2.259999999999999787e+00,2.408987415559112610e-01
2.270000000000000018e+00,2.423561984372383238e-01
2.279999999999999805e+00,2.439539811101963662e-01
2.290000000000000036e+00,2.456910465733075644e-01
2.299999999999999822e+00,2.475666710999195885e-01
2.310000000000000053e+00,2.495804533958649318e-01
2.319999999999999840e+00,2.517322930660825797e-01
2.329999999999999627e+00,2.540223848190419909e-01
2.339999999999999858e+00,2.564512097198055063e-01
2.349999999999999645e+00,2.590195417492567875e-01
2.359999999999999876e+00,2.617284297785185121e-01
2.369999999999999662e+00,2.645792180649220726e-01
2.379999999999999893e+00,2.675735419359751566e-01
2.389999999999999680e+00,2.707133407158751615e-01
2.399999999999999911e+00,2.740008696765940388e-01
2.409999999999999698e+00,2.774387316842492068e-01
2.419999999999999929e+00,2.810298861962370887e-01
2.429999999999999716e+00,2.847777056048854116e-01
2.439999999999999947e+00,2.886860161795806179e-01
2.449999999999999734e+00,2.927591523615760138e-01
2.459999999999999964e+00,2.970020718628500478e-01
2.469999999999999751e+00,3.014204450246029676e-01
2.479999999999999982e+00,3.060208291130733227e-01
2.489999999999999769e+00,3.108108847000543573e-01
2.500000000000000000e+00,3.157997002677155329e-01
2.509999999999999787e+00,3.209982410056296809e-01
2.520000000000000018e+00,3.264200174623998474e-01
2.529999999999999805e+00,3.320821435622960394e-01
2.540000000000000036e+00,3.380069764940461519e-01
2.549999999999999822e+00,3.442248606786632581e-01
2.560000000000000053e+00,3.507789391478166596e-01
2.569999999999999840e+00,3.577340749541282894e-01
2.579999999999999627e+00,3.651949561052175719e-01
2.589999999999999858e+00,3.733467429227388390e-01
2.599999999999999645e+00,3.825611180916708154e-01
2.609999999999999876e+00,3.937423160992485349e-01
2.619999999999999662e+00,4.100041552884783336e-01
2.629999999999999893e+00,4.619484351492285645e-01
2.639999999999999680e+00,7.422040643393793546e-01
2.649999999999999911e+00,7.478166813319971906e-01
2.659999999999999698e+00,7.534505264345959796e-01
2.669999999999999929e+00,7.591055900967483838e-01
2.679999999999999716e+00,7.647818836066661019e-01
2.689999999999999947e+00,7.704794118849630502e-01
2.699999999999999734e+00,7.761981801074860909e-01
2.709999999999999964e+00,7.819381921991859219e-01
2.719999999999999751e+00,7.876994519282778384e-01
2.729999999999999982e+00,7.934819651150644138e-01
2.739999999999999769e+00,7.992857352482701794e-01
2.750000000000000000e+00,8.051107658088716423e-01
2.759999999999999787e+00,8.109570611688667885e-01
2.770000000000000018e+00,8.168246278644208935e-01
2.779999999999999805e+00,8.227134658457537775e-01
2.790000000000000036e+00,8.286235785421770528e-01
2.799999999999999822e+00,8.345549761912519626e-01
2.810000000000000053e+00,8.405076501442797499e-01
2.819999999999999840e+00,8.464816123940976933e-01
2.829999999999999627e+00,8.524768805529832072e-01
2.839999999999999858e+00,8.584934356157269963e-01
2.849999999999999645e+00,8.645312931778407206e-01
2.859999999999999876e+00,8.705904531008562541e-01
2.869999999999999662e+00,8.766708307738458883e-01
2.879999999999999893e+00,8.827726278610513733e-01
2.889999999999999680e+00,8.888957713581705500e-01
2.899999999999999911e+00,8.950401215380803244e-01
2.909999999999999698e+00,9.012058445551822672e-01
2.919999999999999929e+00,9.073928759481747486e-01
2.929999999999999716e+00,9.136012232011581080e-01
2.939999999999999947e+00,9.198308953402216659e-01
2.949999999999999734e+00,9.260818953956537758e-01
2.959999999999999964e+00,9.323542276799849926e-01
2.969999999999999751e+00,9.386478897733390170e-01
2.979999999999999982e+00,9.449628841959751835e-01
2.989999999999999769e+00,9.512992170177508866e-01
3.000000000000000000e+00,9.576568783675998286e-01
3.009999999999999787e+00,9.640358891342847292e-01
3.020000000000000018e+00,9.704362404875149783e-01
3.029999999999999805e+00,9.768579386482026949e-01
3.040000000000000036e+00,9.833009806530620400e-01
3.049999999999999822e+00,9.897653699458470733e-01
3.060000000000000053e+00,9.962511090671187786e-01
3.069999999999999840e+00,1.002758198453172378e+00
3.080000000000000071e+00,1.009286639111443451e+00
3.089999999999999858e+00,1.015836433865877408e+00
3.099999999999999645e+00,1.022407583209663517e+00
3.109999999999999876e+00,1.029000088169307769e+00
3.119999999999999662e+00,1.035613950399804750e+00
3.129999999999999893e+00,1.042249170896122790e+00
3.139999999999999680e+00,1.048905750662294079e+00
3.149999999999999911e+00,1.055583690606874070e+00
3.159999999999999698e+00,1.062282990815460515e+00
3.169999999999999929e+00,1.069003654288162020e+00
3.179999999999999716e+00,1.075745679663928867e+00
3.189999999999999947e+00,1.082509068651719586e+00
3.199999999999999734e+00,1.089293821609168544e+00
3.209999999999999964e+00,1.096099939090595221e+00
3.219999999999999751e+00,1.102927421769112959e+00
3.229999999999999982e+00,1.109776269948757665e+00
3.239999999999999769e+00,1.116646495616346213e+00
3.250000000000000000e+00,1.123538076169155575e+00
3.259999999999999787e+00,1.130451023828101365e+00
3.270000000000000018e+00,1.137385338419011793e+00
3.279999999999999805e+00,1.144341020259753927e+00
3.290000000000000036e+00,1.151318069325216520e+00
3.299999999999999822e+00,1.158316485868123413e+00
3.310000000000000053e+00,1.165336269834659211e+00
3.319999999999999840e+00,1.172377421497181604e+00
3.330000000000000071e+00,1.179439940637803996e+00
3.339999999999999858e+00,1.186523839062225028e+00
3.349999999999999645e+00,1.193629092979795248e+00
3.359999999999999876e+00,1.200755714198757707e+00
3.369999999999999662e+00,1.207903702137461011e+00
3.379999999999999893e+00,1.215073057261894407e+00
3.389999999999999680e+00,1.222263790834974273e+00
3.399999999999999911e+00,1.229475878695223345e+00
3.409999999999999698e+00,1.236709332126265659e+00
3.419999999999999929e+00,1.243964151363128101e+00
3.429999999999999716e+00,1.251240335558170491e+00
3.439999999999999947e+00,1.258537897043718656e+00
3.449999999999999734e+00,1.265856810169569302e+00
3.459999999999999964e+00,1.273197087026609386e+00
3.469999999999999751e+00,1.280558727218181758e+00
3.479999999999999982e+00,1.287941742726977035e+00
3.489999999999999769e+00,1.295346107850250394e+00
3.500000000000000000e+00,1.302771834261141404e+00
3.509999999999999787e+00,1.310218934648675893e+00
3.520000000000000018e+00,1.317687382410353214e+00
3.529999999999999805e+00,1.325177189731283844e+00
3.540000000000000036e+00,1.332688369153785191e+00
3.549999999999999822e+00,1.340220893730700524e+00
3.560000000000000053e+00,1.347774775602564423e+00
3.569999999999999840e+00,1.355350027895804610e+00
3.580000000000000071e+00,1.362946622834580568e+00
3.589999999999999858e+00,1.370564572946914916e+00
3.599999999999999645e+00,1.378203891268308778e+00
3.609999999999999876e+00,1.385864549582979333e+00
3.619999999999999662e+00,1.393546574538885752e+00
3.629999999999999893e+00,1.401249937911930976e+00
3.639999999999999680e+00,1.408974666356461958e+00
3.649999999999999911e+00,1.416720731357223428e+00
3.659999999999999698e+00,1.424488159934881759e+00
3.669999999999999929e+00,1.432276923033613203e+00
3.679999999999999716e+00,1.440087048318891894e+00
3.689999999999999947e+00,1.447918506218651702e+00
3.699999999999999734e+00,1.455771324717973325e+00
3.709999999999999964e+00,1.463645473783487860e+00
3.719999999999999751e+00,1.471540981704059892e+00
3.729999999999999982e+00,1.479457818419361415e+00
3.739999999999999769e+00,1.487396012257926836e+00
3.750000000000000000e+00,1.495355532988762670e+00
3.759999999999999787e+00,1.503336409072068003e+00
3.770000000000000018e+00,1.511338625004419844e+00
3.779999999999999805e+00,1.519362164783500946e+00
3.790000000000000036e+00,1.527407057567319537e+00
3.799999999999999822e+00,1.535473287376816431e+00
3.810000000000000053e+00,1.543560837877280933e+00
3.819999999999999840e+00,1.551669738832010426e+00
3.830000000000000071e+00,1.559799974031689462e+00
3.839999999999999858e+00,1.567951526965723597e+00
3.849999999999999645e+00,1.576124427814307616e+00
3.859999999999999876e+00,1.584318660170685122e+00
3.869999999999999662e+00,1.592534222928100096e+00
3.879999999999999893e+00,1.600771099645190709e+00
3.889999999999999680e+00,1.609029320748607939e+00
3.899999999999999911e+00,1.617308869622941847e+00
3.909999999999999698e+00,1.625609745394343442e+00
3.919999999999999929e+00,1.633931930969625634e+00
3.929999999999999716e+00,1.642275457697742969e+00
3.939999999999999947e+00,1.650640308687324032e+00
3.949999999999999734e+00,1.659026482808032776e+00
3.959999999999999964e+00,1.667433979325085192e+00
3.969999999999999751e+00,1.675862797439146012e+00
3.979999999999999982e+00,1.684312936017657414e+00
3.989999999999999769e+00,1.692784394370494994e+00
4.000000000000000000e+00,1.701277154669446956e+00
