# q,<w**1.0>/wp(0)**1.0
5.300000000000000266e-01,2.987170154178031209e-02
5.400000000000000355e-01,3.100934560205172164e-02
5.500000000000000444e-01,3.216820915089760313e-02
5.600000000000000533e-01,3.334829135568133374e-02
5.700000000000000622e-01,3.454959163111289561e-02
5.800000000000000711e-01,3.577210962940333833e-02
5.899999999999999689e-01,3.701584523209201782e-02
5.999999999999999778e-01,3.828079853610794753e-02
6.099999999999999867e-01,3.956696945444614089e-02
6.199999999999999956e-01,4.087435924929011533e-02
6.300000000000000044e-01,4.220296821652438912e-02
6.400000000000000133e-01,4.355279761944560318e-02
6.500000000000000222e-01,4.492384759646508158e-02
6.600000000000000311e-01,4.631611967756081583e-02
6.700000000000000400e-01,4.772961509283873971e-02
6.800000000000000488e-01,4.916433517193401215e-02
6.900000000000000577e-01,5.062028132837324834e-02
7.000000000000000666e-01,5.209745504418110407e-02
7.100000000000000755e-01,5.359585785405899389e-02
7.199999999999999734e-01,5.511549133305390646e-02
7.299999999999999822e-01,5.665635708113334057e-02
7.399999999999999911e-01,5.821845728618742222e-02
7.500000000000000000e-01,5.980179243027916591e-02
7.600000000000000089e-01,6.140636467608466542e-02
7.700000000000000178e-01,6.303217560891208326e-02
7.800000000000000266e-01,6.467922678578957862e-02
7.900000000000000355e-01,6.634752038223479254e-02
8.000000000000000444e-01,6.803705658610965934e-02
8.100000000000000533e-01,6.974783746275664553e-02
8.200000000000000622e-01,7.147986438743128557e-02
8.300000000000000711e-01,7.323313940113308773e-02
8.400000000000000799e-01,7.500766233474684408e-02
8.499999999999999778e-01,7.680343508400819252e-02
8.599999999999999867e-01,7.862045877569735775e-02
8.699999999999999956e-01,8.045873526627080052e-02
8.800000000000000044e-01,8.231826397882228974e-02
8.900000000000000133e-01,8.419904661223891196e-02
9.000000000000000222e-01,8.610108487549859857e-02
9.100000000000000311e-01,8.802437788065353708e-02
9.200000000000000400e-01,8.996892718122329047e-02
9.300000000000000488e-01,9.193473434727078564e-02
9.400000000000000577e-01,9.392179818246014500e-02
9.500000000000000666e-01,9.593012105444610749e-02
9.600000000000000755e-01,9.795970157574732107e-02
9.699999999999999734e-01,1.000105410868928624e-01
9.799999999999999822e-01,1.020826409619193242e-01
9.899999999999999911e-01,1.041759995241686165e-01
1.000000000000000000e+00,1.062906190643495841e-01
1.010000000000000009e+00,1.084264977302943217e-01
1.020000000000000018e+00,1.105836367090329703e-01
1.030000000000000027e+00,1.127620372419861905e-01
1.040000000000000036e+00,1.149616972089004402e-01
1.050000000000000044e+00,1.171826188965444521e-01
1.060000000000000053e+00,1.194248000300799223e-01
1.070000000000000062e+00,1.216882429056794224e-01
1.080000000000000071e+00,1.239729450950486367e-01
1.090000000000000080e+00,1.262789076759802120e-01
1.100000000000000089e+00,1.286061318007745979e-01
1.110000000000000098e+00,1.309546148055361348e-01
1.120000000000000107e+00,1.333243590788504296e-01
1.130000000000000115e+00,1.357153618190801436e-01
1.140000000000000124e+00,1.381276254599464459e-01
1.150000000000000133e+00,1.405611470650936501e-01
1.160000000000000142e+00,1.430159291204424477e-01
1.169999999999999929e+00,1.454919685664371742e-01
1.179999999999999938e+00,1.479892679471464245e-01
1.189999999999999947e+00,1.505078240725312710e-01
1.199999999999999956e+00,1.530476395630010478e-01
1.209999999999999964e+00,1.556087111005704238e-01
1.219999999999999973e+00,1.581910413854218933e-01
1.229999999999999982e+00,1.607946269767070724e-01
1.239999999999999991e+00,1.634194706620664406e-01
1.250000000000000000e+00,1.660655688750650727e-01
1.260000000000000009e+00,1.687329244988840238e-01
1.270000000000000018e+00,1.714215338513908615e-01
1.280000000000000027e+00,1.741313999081313124e-01
1.290000000000000036e+00,1.768625206099016800e-01
1.300000000000000044e+00,1.796148938173929011e-01
1.310000000000000053e+00,1.823885226318192054e-01
1.320000000000000062e+00,1.851834031160269622e-01
1.330000000000000071e+00,1.879995384822128190e-01
1.340000000000000080e+00,1.908369246757977422e-01
1.350000000000000089e+00,1.936955650268383511e-01
1.360000000000000098e+00,1.965754553705016949e-01
1.370000000000000107e+00,1.994765991512786052e-01
1.380000000000000115e+00,2.023989921059075325e-01
1.390000000000000124e+00,2.053426378019041210e-01
1.400000000000000133e+00,2.083075339020828143e-01
1.410000000000000142e+00,2.112936779596123194e-01
1.419999999999999929e+00,2.143010737513885988e-01
1.429999999999999938e+00,2.173297167285759279e-01
1.439999999999999947e+00,2.203796107967216367e-01
1.449999999999999956e+00,2.234507513014407365e-01
1.459999999999999964e+00,2.265431422958703866e-01
1.469999999999999973e+00,2.296567812856904200e-01
