# q,S(q)
8.300000000000000711e-01,9.908428383083711655e-02
8.400000000000000799e-01,1.018059779882524996e-01
8.499999999999999778e-01,1.045784252018836513e-01
8.599999999999999867e-01,1.074024997481064225e-01
8.699999999999999956e-01,1.102791028769878334e-01
8.800000000000000044e-01,1.132091670758461344e-01
8.900000000000000133e-01,1.161936494335644998e-01
9.000000000000000222e-01,1.192335403055908294e-01
9.100000000000000311e-01,1.223298612046753164e-01
9.200000000000000400e-01,1.254836621439280042e-01
9.300000000000000488e-01,1.286960299778353023e-01
9.400000000000000577e-01,1.319680861540462879e-01
9.500000000000000666e-01,1.353009839129022118e-01
9.600000000000000755e-01,1.386959173710669291e-01
9.699999999999999734e-01,1.421541177248606125e-01
9.799999999999999822e-01,1.456768559623070614e-01
9.899999999999999911e-01,1.492654443322923019e-01
1.000000000000000000e+00,1.529212379191805249e-01
1.010000000000000009e+00,1.566456362390296619e-01
1.020000000000000018e+00,1.604400850042368709e-01
1.030000000000000027e+00,1.643060778080055739e-01
1.040000000000000036e+00,1.682451564297280655e-01
1.050000000000000044e+00,1.722589193502425675e-01
1.060000000000000053e+00,1.763490139661878786e-01
1.070000000000000062e+00,1.805171434988632473e-01
1.080000000000000071e+00,1.847650747260845550e-01
1.090000000000000080e+00,1.890946297767401030e-01
1.100000000000000089e+00,1.935076937218444537e-01
1.110000000000000098e+00,1.980062231555117236e-01
1.120000000000000107e+00,2.025922354632029854e-01
1.130000000000000115e+00,2.072678274140107024e-01
1.140000000000000124e+00,2.120351622045822948e-01
1.150000000000000133e+00,2.168964869177728849e-01
1.160000000000000142e+00,2.218541299752556650e-01
1.169999999999999929e+00,2.269104981703559121e-01
1.179999999999999938e+00,2.320680932896514725e-01
1.189999999999999947e+00,2.373295077540955034e-01
1.199999999999999956e+00,2.426974333168513409e-01
1.209999999999999964e+00,2.481746560173774263e-01
1.219999999999999973e+00,2.537640753593932708e-01
1.229999999999999982e+00,2.594686998335803407e-01
1.239999999999999991e+00,2.652916547235584788e-01
1.250000000000000000e+00,2.712361879517217189e-01
1.260000000000000009e+00,2.773056759964318552e-01
1.270000000000000018e+00,2.835036305944603208e-01
1.280000000000000027e+00,2.898337026393220661e-01
1.290000000000000036e+00,2.962997012829626242e-01
1.300000000000000044e+00,3.029055843969242767e-01
1.310000000000000053e+00,3.096554787604409165e-01
1.320000000000000062e+00,3.165536827852023505e-01
1.330000000000000071e+00,3.236046888660658594e-01
1.340000000000000080e+00,3.308131748872499833e-01
1.350000000000000089e+00,3.381840251300360367e-01
1.360000000000000098e+00,3.457223511235423818e-01
1.370000000000000107e+00,3.534334827715212013e-01
1.380000000000000115e+00,3.613230075430578503e-01
1.390000000000000124e+00,3.693967593220102708e-01
1.400000000000000133e+00,3.776608618608101042e-01
1.410000000000000142e+00,3.861217176177335064e-01
1.419999999999999929e+00,3.947860524374977587e-01
1.429999999999999938e+00,4.036609210088754063e-01
1.439999999999999947e+00,4.127537361695883811e-01
1.449999999999999956e+00,4.220722786366250534e-01
1.459999999999999964e+00,4.316247460510199141e-01
1.469999999999999973e+00,4.414197651064143968e-01
1.479999999999999982e+00,4.514664283613598061e-01
1.489999999999999991e+00,4.617743279971908144e-01
1.500000000000000000e+00,4.723535896944510148e-01
1.510000000000000009e+00,4.832149231725301197e-01
1.520000000000000018e+00,4.943696554069510474e-01
1.530000000000000027e+00,5.058297885724333254e-01
1.540000000000000036e+00,5.176080462557640649e-01
1.550000000000000044e+00,5.297179560078428828e-01
1.560000000000000053e+00,5.421738903237777185e-01
1.570000000000000062e+00,5.549911476994285886e-01
1.580000000000000071e+00,5.681860440651578248e-01
1.590000000000000080e+00,5.817760164749147256e-01
1.600000000000000089e+00,5.957796893110928194e-01
1.610000000000000098e+00,6.102170359825618284e-01
1.620000000000000107e+00,6.251094672773606087e-01
1.630000000000000115e+00,6.404800237380585681e-01
1.640000000000000124e+00,6.563534958612143866e-01
1.650000000000000133e+00,6.727566559746382957e-01
1.660000000000000142e+00,6.897184487082407278e-01
1.670000000000000151e+00,7.072702544521333179e-01
1.679999999999999938e+00,7.254461412965943490e-01
1.689999999999999947e+00,7.442832335603287719e-01
1.699999999999999956e+00,7.638220602972205509e-01
1.709999999999999964e+00,7.841069982742699951e-01
1.719999999999999973e+00,8.051867808593072828e-01
1.729999999999999982e+00,8.271150934212988526e-01
1.739999999999999991e+00,8.499512739530215022e-01
1.750000000000000000e+00,8.737611314788218397e-01
1.760000000000000009e+00,8.986179679912431606e-01
1.770000000000000018e+00,9.246037040676837737e-01
1.780000000000000027e+00,9.518103237784459880e-01
1.790000000000000036e+00,9.803416235250604904e-01
1.800000000000000044e+00,1.010315245944980678e+00
1.810000000000000053e+00,1.041865329550525576e+00
1.820000000000000062e+00,1.075145676148565155e+00
1.830000000000000071e+00,1.110333778581963360e+00
1.840000000000000080e+00,1.147635840606693325e+00
1.850000000000000089e+00,1.187293299782286482e+00
1.860000000000000098e+00,1.229591095587510896e+00
1.870000000000000107e+00,1.274868579225667320e+00
1.880000000000000115e+00,1.323533731720762940e+00
1.890000000000000124e+00,1.376082343884826198e+00
1.900000000000000133e+00,1.433123645466415796e+00
1.910000000000000142e+00,1.495415435321150399e+00
1.920000000000000151e+00,1.563911971700146397e+00
1.929999999999999938e+00,1.639829288296573262e+00
1.939999999999999947e+00,1.724731768160198131e+00
1.949999999999999956e+00,1.820636345526532418e+00
1.959999999999999964e+00,1.930099405093940623e+00
1.969999999999999973e+00,2.056129365560226407e+00
1.979999999999999982e+00,2.201343143509152167e+00
1.989999999999999991e+00,2.364526200580361337e+00
2.000000000000000000e+00,2.531850052057003975e+00
2.009999999999999787e+00,2.710371132959743079e+00
2.020000000000000018e+00,2.924992319798068952e+00
2.029999999999999805e+00,3.184198564596925518e+00
2.040000000000000036e+00,3.503570771973409936e+00
2.049999999999999822e+00,3.909132510947196160e+00
2.059999999999999609e+00,4.447438899008552937e+00
2.069999999999999840e+00,5.213101358555197073e+00
2.079999999999999627e+00,6.446710791707029209e+00
2.089999999999999858e+00,9.149568654102303356e+00
2.099999999999999645e+00,9.017673188623790637e+00
2.109999999999999876e+00,4.439862159666435382e+00
2.119999999999999662e+00,3.697936783716384124e+00
2.129999999999999893e+00,3.526741448644421073e+00
2.139999999999999680e+00,3.673815956619534528e+00
2.149999999999999911e+00,4.284981915370275729e+00
2.159999999999999698e+00,6.523861227060221424e+00
2.169999999999999929e+00,1.581856128124395866e+01
2.179999999999999716e+00,9.236952932184282261e+00
2.189999999999999947e+00,7.363496428374467939e+00
2.199999999999999734e+00,6.327874372593845109e+00
2.209999999999999964e+00,5.637071712145884206e+00
2.219999999999999751e+00,5.130851844670550221e+00
2.229999999999999982e+00,4.738065268437788191e+00
2.239999999999999769e+00,4.421273564570082470e+00
2.250000000000000000e+00,4.158515590139170826e+00
2.259999999999999787e+00,3.935890896696949248e+00
2.270000000000000018e+00,3.744090155849795654e+00
2.279999999999999805e+00,3.576600604209811962e+00
2.290000000000000036e+00,3.428704209932064373e+00
2.299999999999999822e+00,3.296884246591885947e+00
2.310000000000000053e+00,3.178456440170917219e+00
2.319999999999999840e+00,3.071329874839142438e+00
2.329999999999999627e+00,2.973847663760220694e+00
2.339999999999999858e+00,2.884676683015518606e+00
2.349999999999999645e+00,2.802730232318332959e+00
2.359999999999999876e+00,2.727111934288025008e+00
2.369999999999999662e+00,2.657074771009346303e+00
2.379999999999999893e+00,2.591990225168048223e+00
2.389999999999999680e+00,2.531325148042177897e+00
2.399999999999999911e+00,2.474623618053171548e+00
2.409999999999999698e+00,2.421493653522278855e+00
2.419999999999999929e+00,2.371594441940025888e+00
2.429999999999999716e+00,2.324631047468259659e+00
2.439999999999999947e+00,2.280342526648937440e+00
2.449999999999999734e+00,2.238501124896569383e+00
2.459999999999999964e+00,2.198904762469924723e+00
2.469999999999999751e+00,2.161373736882790553e+00
2.479999999999999982e+00,2.125747845006521253e+00
2.489999999999999769e+00,2.091883786646334897e+00
2.500000000000000000e+00,2.059652881948547343e+00
2.509999999999999787e+00,2.028938975696022329e+00
2.520000000000000018e+00,1.999637180154729688e+00
2.529999999999999805e+00,1.971652319693502298e+00
2.540000000000000036e+00,1.944898049798919004e+00
2.549999999999999822e+00,1.919295470345192767e+00
2.560000000000000053e+00,1.894772624779077042e+00
2.569999999999999840e+00,1.871263543638905125e+00
2.579999999999999627e+00,1.848707776802175129e+00
2.589999999999999858e+00,1.827049623225256658e+00
2.599999999999999645e+00,1.806237831828083840e+00
2.609999999999999876e+00,1.786225095770765270e+00
2.619999999999999662e+00,1.766967596265037521e+00
2.629999999999999893e+00,1.748424804153958734e+00
2.639999999999999680e+00,1.730559097252337919e+00
2.649999999999999911e+00,1.713335493150881295e+00
2.659999999999999698e+00,1.696721447459033527e+00
2.669999999999999929e+00,1.680686624798947149e+00
2.679999999999999716e+00,1.665202705662103266e+00
2.689999999999999947e+00,1.650243225977130024e+00
2.699999999999999734e+00,1.635783423510955625e+00
2.709999999999999964e+00,1.621800093308217949e+00
2.719999999999999751e+00,1.608271477183411458e+00
2.729999999999999982e+00,1.595177130898198348e+00
2.739999999999999769e+00,1.582497842701101609e+00
2.750000000000000000e+00,1.570215517377894443e+00
2.759999999999999787e+00,1.558313148870002829e+00
