# GK weight,point, GL weight
0.0143047756438398,-0.9946781606773391,0.0000000000000000
0.0396318951602623,-0.9681602395076255,0.0812743883615748
0.0665181559402730,-0.9149635072496772,0.0000000000000000
0.0907906816887273,-0.8360311073266350,0.1806481606948576
0.1117891346844175,-0.7344867651839330,0.0000000000000000
0.1300014068553409,-0.6133714327005896,0.2606106964029352
0.1452395883843674,-0.4754624791124588,0.0000000000000000
0.1564135277884837,-0.3242534234038085,0.3123470770400029
0.1628628274401146,-0.1642235636149864,0.0000000000000000
0.1648960128283476,0.0000000000000006,0.3302393550012609
0.1628628274401154,0.1642235636149872,0.0000000000000000
0.1564135277884849,0.3242534234038095,0.3123470770400021
0.1452395883843652,0.4754624791124601,0.0000000000000000
0.1300014068553405,0.6133714327005908,0.2606106964029347
0.1117891346844184,0.7344867651839340,0.0000000000000000
0.0907906816887270,0.8360311073266359,0.1806481606948580
0.0665181559402742,0.9149635072496780,0.0000000000000000
0.0396318951602615,0.9681602395076261,0.0812743883615742
0.0143047756438391,0.9946781606773402,0.0000000000000000
