# Abscissa,Weight,Error weight
-1.000000000000000000,0.000625390869293310,0.002506265664160401
-0.996917333733127964,0.006015567729891248,0.000000000000000000
-0.987688340595137659,0.012338039071781055,0.023978647239640962
-0.972369920397676557,0.018309015912613951,0.000000000000000000
-0.951056516295153531,0.024285489294668391,0.048754129106911639
-0.923879532511286738,0.030045648401977244,0.000000000000000000
-0.891006524188367788,0.035663699847548226,0.071202738820962647
-0.852640164354092178,0.041031332611013195,0.000000000000000000
-0.809016994374947340,0.046169001474675619,0.092397630395614661
-0.760405965600030931,0.051003867126980573,0.000000000000000000
-0.707106781186547462,0.055539135182776311,0.111023644398257432
-0.649448048330183547,0.059719460326394629,0.000000000000000000
-0.587785252292473026,0.063542421266311169,0.127117553390157872
-0.522498564715948799,0.066964061236512148,0.000000000000000000
-0.453990499739546749,0.069981450724706545,0.139927866192656458
-0.382683432365089726,0.072559502799711725,0.000000000000000000
-0.309016994374947340,0.074697528093006713,0.149419032473679797
-0.233445363855905336,0.076368105151947724,0.000000000000000000
-0.156434465040230591,0.077574460287944777,0.155120236180562809
-0.078459095727844888,0.078296134137604279,0.000000000000000000
0.000000000000000061,0.078541376905282581,0.157104512274790942
0.078459095727844999,0.078296134137604279,0.000000000000000000
0.156434465040230924,0.077574460287944777,0.155120236180562809
0.233445363855905447,0.076368105151947752,0.000000000000000000
0.309016994374947451,0.074697528093006713,0.149419032473679797
0.382683432365089837,0.072559502799711725,0.000000000000000000
0.453990499739546804,0.069981450724706531,0.139927866192656458
0.522498564715948910,0.066964061236512148,0.000000000000000000
0.587785252292473248,0.063542421266311169,0.127117553390157845
0.649448048330183769,0.059719460326394615,0.000000000000000000
0.707106781186547573,0.055539135182776304,0.111023644398257404
0.760405965600031042,0.051003867126980566,0.000000000000000000
0.809016994374947451,0.046169001474675612,0.092397630395614647
0.852640164354092289,0.041031332611013188,0.000000000000000000
0.891006524188367899,0.035663699847548212,0.071202738820962605
0.923879532511286738,0.030045648401977237,0.000000000000000000
0.951056516295153531,0.024285489294668380,0.048754129106911639
0.972369920397676557,0.018309015912613941,0.000000000000000000
0.987688340595137770,0.012338039071781048,0.023978647239640938
0.996917333733127964,0.006015567729891242,0.000000000000000000
1.000000000000000000,0.000625390869293310,0.002506265664160401
