# weight,point
0.0074708315792490,-0.9970874818194772
0.0173186207903109,-0.9846859096651526
0.0270090191849793,-0.9625039250929496
0.0364322739123854,-0.9307569978966480
0.0454937075272014,-0.8897600299482710
0.0541030824249173,-0.8399203201462673
0.0621747865610284,-0.7817331484166249
0.0696285832354102,-0.7157767845868532
0.0763903865987766,-0.6427067229242606
0.0823929917615887,-0.5632491614071492
0.0875767406084786,-0.4781937820449025
0.0918901138936416,-0.3883859016082329
0.0952902429123191,-0.2947180699817017
0.0977433353863291,-0.1981211993355704
0.0992250112266724,-0.0995553121523415
0.0997205447934263,0.0000000000000000
0.0992250112266720,0.0995553121523414
0.0977433353863289,0.1981211993355705
0.0952902429123194,0.2947180699817016
0.0918901138936415,0.3883859016082329
0.0875767406084773,0.4781937820449025
0.0823929917615889,0.5632491614071492
0.0763903865987771,0.6427067229242601
0.0696285832354106,0.7157767845868530
0.0621747865610286,0.7817331484166249
0.0541030824249163,0.8399203201462677
0.0454937075272009,0.8897600299482714
0.0364322739123857,0.9307569978966479
0.0270090191849792,0.9625039250929497
0.0173186207903103,0.9846859096651526
0.0074708315792489,0.9970874818194769
