# k (1/bohr), S(k)
0.052107,0.050645
0.060167,0.064491
0.085090,0.117500
0.099777,0.162076
0.104213,0.170662
0.120335,0.231861
0.131133,0.269413
0.134539,0.288637
0.147380,0.313231
0.156320,0.352518
0.170180,0.411824
0.177978,0.414030
0.180503,0.431705
0.190266,0.459694
0.197272,0.470202
0.199552,0.490931
0.208426,0.525430
0.214841,0.543717
0.216938,0.560771
0.225126,0.566090
0.231077,0.580553
0.240670,0.646395
0.246246,0.647160
0.248078,0.632237
0.255269,0.654419
0.260533,0.672064
0.262264,0.664071
0.269078,0.696579
0.274076,0.703568
0.275722,0.712744
0.282211,0.718833
0.286981,0.733447
0.294760,0.773102
0.299330,0.771017
0.300837,0.787165
0.306795,0.785963
0.311189,0.800473
0.312640,0.809467
0.322613,0.829114
0.324012,0.820820
0.329551,0.837649
0.333645,0.840157
0.340359,0.845926
0.344325,0.859231
0.345636,0.872256
0.350834,0.863198
0.354683,0.889173
0.355956,0.883577
0.361005,0.892782
0.364746,0.896217
0.365985,0.894427
0.370897,0.907075
0.374540,0.928546
0.380532,0.933458
0.384084,0.946413
0.385260,0.924089
0.389930,0.945017
0.393396,0.934116
0.394545,0.947672
0.399106,0.952865
0.402494,0.944244
0.403616,0.952631
0.408076,0.968736
0.411389,0.954586
0.416853,1.010330
0.420098,0.966691
0.421173,0.981278
0.425449,0.982736
0.428627,0.969901
0.429683,0.986076
0.433874,0.974379
0.436993,0.981513
0.438026,0.991621
0.442139,1.001360
0.445199,0.979894
0.450252,0.992986
0.453257,0.990246
0.454255,0.986415
0.458222,0.980572
0.461175,1.004680
0.462155,0.985741
0.468960,0.992402
0.469924,0.988939
0.473760,0.998032
0.476616,0.998335
0.481340,0.972720
0.484152,0.998924
0.485086,0.990375
0.488804,1.001670
0.491573,0.989321
0.492492,0.995589
0.496154,0.987286
0.498883,0.994833
0.499789,0.990492
0.503398,0.985645
0.506088,0.997675
0.510539,1.001330
0.513190,1.007290
0.514071,0.995304
0.517581,1.001060
0.520197,0.999257
0.521066,0.996698
0.524529,1.003950
0.527110,1.002070
0.527968,0.994893
0.531385,0.999192
0.533934,1.002570
0.538155,1.009980
0.540671,0.991221
0.541508,0.993036
0.544840,0.991095
0.547326,0.992065
0.548153,0.993510
0.551445,1.002520
0.553901,0.994883
0.554717,0.997874
0.557971,0.996629
0.560399,0.993295
0.564421,0.992819
0.566821,0.997032
0.567619,1.004620
0.570799,0.995119
0.573172,1.004660
0.573961,0.995161
0.579454,1.004910
0.580235,0.990992
0.583346,1.003770
0.585669,0.989331
0.589519,1.008320
0.591817,1.007260
0.592581,0.997206
0.595629,0.994169
0.597903,0.999007
0.598659,0.992212
0.601675,1.001630
0.603927,1.003560
0.604676,1.000890
0.607662,0.994421
0.609892,0.992629
0.613591,0.998758
0.615799,0.996388
0.616534,1.003170
0.619463,0.993769
0.621650,0.998416
0.622378,1.006500
0.625279,0.998376
0.627446,0.996699
0.628167,0.991409
0.631042,1.002510
0.633190,0.992640
0.638881,0.997899
0.639590,0.990956
0.642414,1.002780
0.644524,0.994572
0.645225,0.988697
0.648024,0.998982
0.650116,0.998133
0.650811,0.994354
0.653586,1.003350
0.655660,1.000460
0.659103,1.003080
0.661159,0.990874
0.661843,0.991827
0.664573,0.998799
0.666611,0.999729
0.667290,1.004830
0.672020,0.997755
0.672694,0.998966
0.675379,1.008830
0.677386,0.994974
0.680717,0.985554
0.682709,0.997801
0.683371,0.999941
0.686015,0.987328
0.687991,0.998686
0.688649,0.998732
0.691272,0.999388
0.693234,0.995447
0.693886,1.016390
0.696490,0.989585
0.698436,0.997733
0.701667,1.012150
0.703600,0.995699
0.704242,0.989228
0.706809,1.000110
0.708726,0.999811
0.709365,1.001790
0.711911,0.994690
0.713816,1.001400
0.714450,0.990535
0.716979,1.005400
0.718870,0.997331
0.722010,0.996480
0.723889,1.001280
0.724513,1.001620
0.727008,0.998325
0.728873,1.000070
0.729492,1.006710
0.731970,0.982738
0.733823,1.006450
0.734439,0.999218
0.736899,0.995656
0.738739,0.996150
0.741795,0.995221
0.743622,1.003410
0.744231,0.998704
0.746660,1.002560
0.748475,0.997993
0.749080,0.996822
0.753296,0.996265
0.753897,0.996693
0.756294,1.002600
0.758088,0.996462
0.761066,0.995140
0.762848,0.986859
0.763440,0.998069
0.765807,1.001060
0.767579,1.000420
0.768168,1.025290
0.770520,0.998839
0.772280,0.995278
0.772866,0.997833
0.775205,1.002040
0.776954,1.002790
0.779860,1.000290
0.781599,1.000500
0.782177,1.006970
0.784489,0.999646
0.786218,1.003660
0.786793,0.987544
0.789090,0.987676
0.790809,0.994033
0.791380,0.999110
0.793664,0.999801
0.795373,0.999190
0.798212,1.002940
0.799911,1.002800
0.800477,1.003200
0.802735,0.998670
0.804424,1.002730
0.804986,0.992658
0.807233,1.005550
0.808913,0.996004
0.809471,0.998200
0.811704,1.000820
0.813375,0.999163
0.816152,0.992372
0.817814,1.001600
0.818366,0.998043
0.820576,0.997310
0.822229,1.000550
0.822779,1.005290
0.826620,0.999144
0.827166,1.000250
0.829353,0.996607
0.830987,1.002730
0.833706,0.993882
0.835333,0.994387
0.835874,0.989993
0.838036,0.996168
0.839655,0.995271
0.840194,1.005450
0.842345,1.011860
0.843955,0.994126
0.844491,0.997064
0.846633,0.993358
0.848234,0.999613
0.850897,0.996932
0.852491,0.998419
0.853023,0.998103
0.855141,1.008600
