# q,S(q)
1.000000000000000056e-01,3.757542685295480085e-03
1.100000000000000006e-01,4.546244055793384302e-03
1.199999999999999956e-01,5.409912284301690924e-03
1.300000000000000044e-01,6.348508824378143109e-03
1.399999999999999856e-01,7.361992229786537383e-03
1.499999999999999667e-01,8.450318197603796239e-03
1.599999999999999756e-01,9.613439431378649480e-03
1.699999999999999845e-01,1.085130568341438617e-02
1.799999999999999656e-01,1.216386360753411722e-02
1.899999999999999467e-01,1.355105705949751806e-02
1.999999999999999556e-01,1.501282660409287810e-02
2.099999999999999645e-01,1.654911013754777060e-02
2.199999999999999456e-01,1.815984181291570992e-02
2.299999999999999545e-01,1.984495302936246236e-02
2.399999999999999356e-01,2.160437175950982724e-02
2.499999999999999167e-01,2.343802262464087655e-02
2.599999999999998979e-01,2.534582656651983637e-02
2.699999999999999067e-01,2.732770174208013977e-02
2.799999999999999156e-01,2.938356170473139725e-02
2.899999999999999245e-01,3.151331707831792062e-02
2.999999999999999334e-01,3.371687444115742394e-02
3.099999999999999423e-01,3.599413647077143175e-02
3.199999999999998956e-01,3.834500183762887260e-02
3.299999999999998490e-01,4.076936508971822776e-02
3.399999999999998579e-01,4.326711611240906946e-02
3.499999999999998668e-01,4.583814168463164890e-02
3.599999999999998757e-01,4.848232239349741651e-02
3.699999999999998845e-01,5.119953551574787237e-02
3.799999999999998934e-01,5.398965368630021661e-02
3.899999999999999023e-01,5.685254308341107510e-02
3.999999999999998002e-01,5.978806639887235957e-02
4.099999999999998090e-01,6.279608064351287211e-02
4.199999999999998179e-01,6.587643750070064363e-02
4.299999999999998268e-01,6.902898249516335738e-02
4.399999999999998357e-01,7.225355752225398609e-02
4.499999999999998446e-01,7.554999669090604886e-02
4.599999999999998535e-01,7.891812878829158884e-02
4.699999999999998623e-01,8.235777564957069696e-02
4.799999999999997602e-01,8.586875518889407199e-02
4.899999999999997691e-01,8.945087556438520437e-02
4.999999999999997780e-01,9.310394164626126234e-02
5.099999999999997868e-01,9.682774787945637451e-02
5.199999999999997957e-01,1.006220843314632185e-01
5.299999999999998046e-01,1.044867329031217013e-01
5.399999999999998135e-01,1.084214690914994117e-01
5.499999999999998224e-01,1.124260575297921505e-01
5.599999999999997202e-01,1.165002580746539451e-01
5.699999999999997291e-01,1.206438214256093794e-01
5.799999999999997380e-01,1.248564899222539409e-01
5.899999999999997469e-01,1.291379973322676622e-01
5.999999999999997558e-01,1.334880685899902664e-01
6.099999999999997646e-01,1.379064195543477089e-01
6.199999999999997735e-01,1.423927553806146606e-01
6.299999999999996714e-01,1.469467758127896984e-01
6.399999999999996803e-01,1.515681666454596899e-01
6.499999999999996891e-01,1.562566049103603638e-01
6.599999999999996980e-01,1.610117557049714210e-01
6.699999999999997069e-01,1.658332781799836952e-01
6.799999999999997158e-01,1.707208141738145446e-01
6.899999999999997247e-01,1.756740008608977111e-01
6.999999999999996225e-01,1.806924589212111631e-01
7.099999999999996314e-01,1.857757969620307537e-01
7.199999999999996403e-01,1.909236150369848783e-01
7.299999999999996492e-01,1.961355009304391606e-01
7.399999999999996581e-01,2.014110238005741849e-01
7.499999999999996669e-01,2.067497474823925263e-01
7.599999999999996758e-01,2.121512143150862395e-01
7.699999999999996847e-01,2.176149588220725739e-01
7.799999999999996936e-01,2.231404993711026963e-01
7.899999999999995914e-01,2.287273419997467028e-01
7.999999999999996003e-01,2.343749710485598658e-01
8.099999999999996092e-01,2.400828622210939567e-01
8.199999999999996181e-01,2.458504733694132360e-01
8.299999999999996270e-01,2.516772460889835084e-01
8.399999999999996358e-01,2.575626055595258701e-01
8.499999999999996447e-01,2.635059599377035378e-01
