# q,S(q)
1.000000000000000056e-01,4.748024154151007925e-03
1.100000000000000006e-01,5.743399430222491039e-03
1.199999999999999956e-01,6.832906069759638740e-03
1.300000000000000044e-01,8.016368315687501592e-03
1.399999999999999856e-01,9.293596617843659369e-03
1.499999999999999667e-01,1.066438807953582792e-02
1.599999999999999756e-01,1.212852636749097573e-02
1.699999999999999845e-01,1.368578176779989414e-02
1.799999999999999656e-01,1.533591165960396067e-02
1.899999999999999467e-01,1.707866026927457731e-02
1.999999999999999556e-01,1.891375866893909088e-02
2.099999999999999645e-01,2.084092557074946131e-02
2.199999999999999456e-01,2.285986610288556764e-02
2.299999999999999545e-01,2.497027318042283409e-02
2.399999999999999356e-01,2.717182651855508391e-02
2.499999999999999167e-01,2.946419390164136884e-02
2.599999999999998979e-01,3.184702935163753051e-02
2.699999999999999067e-01,3.431997539124479607e-02
2.799999999999999156e-01,3.688266063162010111e-02
2.899999999999999245e-01,3.953470200206909285e-02
2.999999999999999334e-01,4.227570347638191783e-02
3.099999999999999423e-01,4.510525638170666263e-02
3.199999999999998956e-01,4.802293891711120061e-02
3.299999999999998490e-01,5.102831800743110047e-02
3.399999999999998579e-01,5.412094599463349032e-02
3.499999999999998668e-01,5.730036453298432975e-02
3.599999999999998757e-01,6.056610040799295658e-02
3.699999999999998845e-01,6.391766928126502156e-02
3.799999999999998934e-01,6.735457348887477491e-02
3.899999999999999023e-01,7.087630254211223224e-02
3.999999999999998002e-01,7.448233308461442437e-02
4.099999999999998090e-01,7.817212885519703169e-02
4.199999999999998179e-01,8.194514064030902767e-02
4.299999999999998268e-01,8.580080621992035306e-02
4.399999999999998357e-01,8.973854944011024071e-02
4.499999999999998446e-01,9.375778366425363552e-02
4.599999999999998535e-01,9.785790650662047618e-02
4.699999999999998623e-01,1.020383021992245509e-01
4.799999999999997602e-01,1.062983446786025243e-01
4.899999999999997691e-01,1.106373904906749056e-01
4.999999999999997780e-01,1.150547858428292297e-01
5.099999999999997868e-01,1.195498624394419757e-01
5.199999999999997957e-01,1.241219396717637147e-01
5.299999999999998046e-01,1.287703196573585507e-01
5.399999999999998135e-01,1.334942943987255104e-01
5.499999999999998224e-01,1.382931409687065127e-01
5.599999999999997202e-01,1.431661225296951834e-01
5.699999999999997291e-01,1.481124883490835265e-01
5.799999999999997380e-01,1.531314736534735710e-01
5.899999999999997469e-01,1.582222995676083599e-01
5.999999999999997558e-01,1.633841714281451807e-01
6.099999999999997646e-01,1.686162850788214818e-01
6.199999999999997735e-01,1.739178172546437251e-01
6.299999999999996714e-01,1.792879318062227112e-01
6.399999999999996803e-01,1.847257762281399041e-01
6.499999999999996891e-01,1.902304888245413828e-01
6.599999999999996980e-01,1.958011858440427966e-01
6.699999999999997069e-01,2.014369762961901178e-01
6.799999999999997158e-01,2.071369464859911247e-01
6.899999999999997247e-01,2.129001757576166332e-01
6.999999999999996225e-01,2.187257201702335618e-01
7.099999999999996314e-01,2.246126290312979445e-01
7.199999999999996403e-01,2.305599277192295071e-01
7.299999999999996492e-01,2.365666328022691389e-01
7.399999999999996581e-01,2.426317458039770336e-01
7.499999999999996669e-01,2.487542453486973615e-01
7.599999999999996758e-01,2.549331016958106266e-01
7.699999999999996847e-01,2.611672670531563489e-01
7.799999999999996936e-01,2.674556778094595577e-01
7.899999999999995914e-01,2.737972545324957041e-01
7.999999999999996003e-01,2.801909045541062238e-01
8.099999999999996092e-01,2.866355112618219625e-01
8.199999999999996181e-01,2.931299496784010028e-01
8.299999999999996270e-01,2.996730763128001573e-01
8.399999999999996358e-01,3.062637312677777834e-01
8.499999999999996447e-01,3.129007384217628029e-01
8.599999999999995426e-01,3.195829022467225888e-01
8.699999999999995515e-01,3.263090196418003686e-01
8.799999999999995604e-01,3.330778629617668352e-01
8.899999999999995692e-01,3.398881906700169098e-01
8.999999999999995781e-01,3.467387430624534472e-01
9.099999999999995870e-01,3.536282460072654454e-01
9.199999999999995959e-01,3.605554033730949404e-01
9.299999999999996048e-01,3.675189177513489280e-01
9.399999999999996136e-01,3.745174571666676222e-01
9.499999999999995115e-01,3.815496707338462690e-01
9.599999999999995204e-01,3.886142199846813750e-01
9.699999999999995293e-01,3.957097186449706205e-01
9.799999999999995381e-01,4.028347701666643021e-01
9.899999999999995470e-01,4.099879764914559632e-01
9.999999999999995559e-01,4.171679033046613028e-01
1.009999999999999565e+00,4.243731186252888143e-01
1.019999999999999574e+00,4.316021546243429818e-01
1.029999999999999583e+00,4.388535453443823675e-01
1.039999999999999591e+00,4.461257896945416968e-01
1.049999999999999600e+00,4.534173893212392614e-01
1.059999999999999609e+00,4.607268110088665880e-01
1.069999999999999618e+00,4.680525185755787243e-01
1.079999999999999627e+00,4.753929604900533068e-01
1.089999999999999636e+00,4.827465545777014921e-01
1.099999999999999645e+00,4.901117170295382630e-01
1.109999999999999654e+00,4.974868488211050543e-01
1.119999999999999662e+00,5.048703202100569554e-01
1.129999999999999671e+00,5.122605011175973555e-01
1.139999999999999680e+00,5.196557464329960574e-01
1.149999999999999467e+00,5.270543807049361540e-01
1.159999999999999476e+00,5.344547291563477298e-01
1.169999999999999485e+00,5.418550974409340748e-01
1.179999999999999494e+00,5.492537771359781162e-01
1.189999999999999503e+00,5.566490458547485032e-01
1.199999999999999512e+00,5.640391735293714959e-01
1.209999999999999520e+00,5.714223997745502270e-01
1.219999999999999529e+00,5.787969683976503799e-01
1.229999999999999538e+00,5.861611052573872938e-01
1.239999999999999547e+00,5.935130239804549124e-01
1.249999999999999556e+00,6.008509268427790762e-01
1.259999999999999565e+00,6.081730050009852562e-01
1.269999999999999574e+00,6.154774390964052877e-01
1.279999999999999583e+00,6.227623996570736953e-01
1.289999999999999591e+00,6.300260478275498954e-01
1.299999999999999378e+00,6.372665357189032376e-01
1.309999999999999387e+00,6.444820072700424562e-01
1.319999999999999396e+00,6.516705987315872806e-01
1.329999999999999405e+00,6.588304393686503779e-01
1.339999999999999414e+00,6.659596456925610530e-01
1.349999999999999423e+00,6.730563482142750686e-01
1.359999999999999432e+00,6.801186531403464741e-01
1.369999999999999440e+00,6.871446691706665222e-01
1.379999999999999449e+00,6.941325018272317404e-01
1.389999999999999458e+00,7.010802542971169560e-01
1.399999999999999467e+00,7.079860212859980795e-01
1.409999999999999476e+00,7.148479179299046526e-01
1.419999999999999485e+00,7.216640387924569966e-01
1.429999999999999494e+00,7.284324867184285290e-01
1.439999999999999503e+00,7.351513595147108893e-01
1.449999999999999512e+00,7.418187801142619442e-01
1.459999999999999520e+00,7.484328540089558723e-01
1.469999999999999307e+00,7.549916917592801591e-01
1.479999999999999316e+00,7.614934327692386429e-01
1.489999999999999325e+00,7.679362016013160375e-01
1.499999999999999334e+00,7.743181310487371460e-01
1.509999999999999343e+00,7.806373867063629568e-01
1.519999999999999352e+00,7.868921219844804416e-01
