# r (bohr), g(r)
0.750000,0.021038
1.810660,0.058675
2.359700,0.109914
2.799040,0.161363
3.177050,0.221613
3.514170,0.280482
3.821430,0.339815
4.105635,0.392899
4.371320,0.449997
4.621710,0.501612
4.859175,0.558638
5.085550,0.604136
5.302250,0.653082
5.510400,0.690292
5.711000,0.730436
5.904750,0.762696
6.092350,0.796625
6.274300,0.822736
6.451150,0.848972
6.623300,0.878656
6.791050,0.902816
6.954750,0.921746
7.114700,0.939561
7.271100,0.950946
7.424250,0.961444
7.574250,0.973907
7.721400,0.986451
7.865750,0.991790
8.007500,1.003880
8.146800,1.002320
8.283750,1.010990
8.418450,1.013000
8.551050,1.019860
8.681650,1.018810
8.810250,1.021970
8.937050,1.019910
9.062050,1.022650
9.185400,1.019990
9.307050,1.020290
9.427150,1.023520
9.545750,1.022920
9.662900,1.016750
9.778650,1.019110
9.893000,1.013850
10.006100,1.014930
10.117900,1.011460
10.228500,1.011840
10.337900,1.011620
10.446150,1.003780
10.553300,1.006240
10.659350,1.009370
10.764400,1.004450
10.868400,1.004640
10.971450,1.004610
11.073500,1.008800
11.174650,0.997007
11.274850,0.998753
11.374200,0.998113
11.472700,0.998306
11.570350,0.997269
11.667150,0.987059
11.763200,1.000260
11.858450,0.990858
11.952950,0.991545
12.046700,0.992776
12.139700,0.996105
12.232050,0.996267
12.323650,0.991724
12.414650,0.995205
12.504900,0.990842
12.594550,0.993120
12.683550,0.991694
12.771950,0.995495
12.859750,0.996418
12.946950,0.994874
13.033550,0.996918
13.119550,0.991965
13.205050,0.997845
13.289950,0.995159
13.374350,0.997209
13.458200,0.997603
13.541550,0.994937
13.624350,0.998836
13.706700,0.996310
13.788500,0.995272
13.869850,0.995587
13.950750,1.000170
14.031150,0.995182
14.111100,1.002070
14.190600,0.995381
14.269650,1.002290
14.348300,0.995086
14.426500,0.998974
14.504250,0.998930
14.581600,1.000840
14.658550,0.999338
14.735100,1.001190
14.811250,1.003200
14.887050,0.996076
14.962400,1.001480
15.037400,1.001730
15.112050,1.004100
15.186300,1.002470
15.260200,0.999308
15.333750,1.003020
15.406950,0.998371
15.479800,1.004570
15.552300,0.997083
15.624450,1.003940
15.696300,1.001540
15.767800,1.000730
15.839000,1.002620
15.909850,1.002740
15.980400,1.001870
16.050650,1.001050
16.120600,1.001140
16.190250,1.006820
16.259600,1.004180
16.328600,1.002230
16.397350,1.003090
16.465850,1.008130
16.534000,1.001040
16.601900,0.999369
16.669550,1.001060
16.736900,1.002220
16.804000,1.003390
16.870800,1.001370
16.937350,1.002740
17.003650,1.003430
17.069700,1.005840
17.135450,1.003460
17.201000,1.003320
17.266250,1.002510
17.331300,1.000980
17.396100,1.001480
17.460650,1.000770
17.524950,1.000470
17.589050,1.003020
17.652850,1.000390
17.716500,1.001490
17.779900,1.000560
17.843050,0.999798
17.906000,1.003910
17.968700,1.004670
18.031200,1.000750
18.093500,0.999393
18.155550,0.998192
18.217400,0.999950
18.279050,1.003330
18.340500,1.003230
18.401750,0.995984
18.462800,0.998828
18.523600,0.995889
18.584250,1.001320
18.644700,0.998425
18.704900,1.004070
18.764950,0.999232
18.824850,1.000430
18.884500,0.998959
18.943950,0.999477
19.003250,0.996601
19.062350,0.997750
19.121300,0.995266
19.180050,0.997078
19.238600,0.994926
19.297000,0.999001
19.355200,0.997261
19.413250,0.997302
19.471100,0.997515
19.528800,0.997152
19.586350,0.999685
19.643700,0.997404
19.700850,0.998348
19.757900,0.998767
19.814750,1.001300
19.871450,1.002600
19.928000,0.997790
19.984350,0.997922
20.040550,1.002540
20.096600,0.998469
20.152500,0.997446
20.208250,0.997402
20.263850,1.000020
20.319300,0.999125
20.374600,0.996949
20.429750,0.998357
20.484750,0.998418
20.539600,1.000090
20.594300,0.996778
20.648850,0.999978
20.703250,0.999200
20.757500,0.998238
20.811650,0.998211
20.865600,0.996171
20.919450,0.999804
20.973200,1.003070
21.026750,0.999476
21.080200,1.001810
21.133500,1.000500
21.186650,0.999286
21.239700,1.000610
21.292600,1.003380
21.345350,1.001120
21.398000,0.999479
21.450500,1.001660
21.502900,1.002590
21.555150,0.998865
21.607300,1.003360
21.659300,0.999516
21.711150,1.001190
21.762900,1.002130
21.814550,0.998541
21.866050,0.999990
21.917450,1.002880
21.968700,1.001770
22.019850,0.997871
22.070900,0.998641
22.121800,1.004020
22.172600,1.003690
22.223300,1.000010
22.273850,0.999816
22.324300,0.999626
22.374650,1.000550
22.424850,1.001550
22.474950,1.002080
22.524950,1.001860
22.574850,1.003740
22.624650,1.002810
22.674300,1.000900
22.723850,0.998771
22.773350,1.000010
22.822650,0.999597
22.871900,1.000480
22.921050,1.002410
22.970100,0.998883
23.019000,0.998884
23.067800,1.000260
23.116550,0.997750
23.165150,1.001330
23.213650,1.001040
23.262100,1.000260
23.310400,1.004190
23.358600,0.999014
23.406700,1.003010
23.454750,0.997239
23.502650,0.998218
23.550450,1.001190
23.598200,0.997863
23.645800,0.998912
23.693350,0.998998
23.740800,1.001200
23.788100,1.000250
23.835350,1.001830
23.882500,0.996791
23.929550,0.998046
23.976550,1.002370
24.023400,1.000040
24.070200,1.000490
24.116900,1.003050
24.163500,0.996681
24.210000,1.000010
24.256450,0.999515
24.302750,1.000890
24.349000,1.000090
24.395150,0.998328
24.441250,1.001850
24.487250,1.005990
24.533150,0.996946
24.578950,0.999521
24.624650,0.998411
24.670300,0.999346
24.715900,0.999578
24.761350,0.998497
24.806750,0.997839
24.852050,1.000190
24.897300,0.998177
24.942400,1.000800
24.987500,0.998659
25.032450,1.001130
25.077350,1.000780
25.122200,0.997555
25.166950,0.999900
25.211600,0.997078
25.256200,0.998349
25.300700,0.999291
25.345100,0.998599
25.389450,0.999885
25.433750,0.998205
25.477900,0.999385
25.522050,1.001500
25.566100,0.998242
25.610050,1.000750
25.653950,0.996976
25.697750,1.000410
25.741500,0.995845
25.785150,1.000870
25.828750,1.001740
25.872250,1.002310
25.915700,1.000280
25.959100,0.998585
26.002400,1.000060
26.045600,0.996948
26.088800,1.000270
26.131850,1.001580
26.174900,0.994573
26.217850,1.002880
26.260700,0.995926
26.303500,1.002330
26.346250,1.000860
26.388900,1.000690
26.431500,1.001530
26.474050,0.996629
26.516500,0.997885
26.558900,0.999445
26.601200,1.003200
26.643450,0.998605
26.685650,1.002010
26.727800,1.000590
26.769850,1.000520
26.811850,0.997766
26.853750,0.999737
26.895600,0.997387
26.937400,0.997070
26.979150,0.999835
27.020800,0.999656
27.062400,0.997697
27.103950,1.001660
27.145450,1.001940
27.186850,0.998035
27.228200,1.004940
27.269500,1.001500
27.310700,0.999846
27.351850,1.000120
27.392950,1.000160
27.434000,1.001370
27.475000,0.994909
27.515900,1.000420
27.556750,1.004140
27.597550,1.000350
27.638300,0.998125
27.678950,0.997617
27.719550,0.998403
27.760150,0.994502
27.800600,1.000760
27.841050,0.999103
27.881450,1.000080
27.921750,1.001170
27.962000,1.000930
28.002200,1.000960
28.042350,0.998608
28.082450,1.000740
28.122500,0.997118
28.162450,1.001950
28.202400,1.000280
28.242250,1.000370
28.282050,1.001860
28.321800,1.001160
28.361500,1.004250
28.401150,1.000900
28.440700,0.998204
28.480250,0.999739
28.519700,0.998119
28.559150,0.998660
28.598500,1.002010
28.637800,1.002420
28.677050,1.001160
28.716300,1.000900
28.755450,0.998767
28.794500,1.001320
28.833550,0.999680
28.872550,1.000280
28.911500,0.998271
28.950400,0.999982
28.989200,0.998239
29.028000,1.001080
29.066750,0.997148
29.105400,1.000270
29.144050,1.002320
29.182600,1.001750
29.221150,1.003850
29.259600,0.996275
29.298050,1.000050
29.336400,0.998244
29.374750,0.998001
29.413000,0.999697
29.451200,0.996826
29.489400,1.000840
29.527500,1.003980
29.565600,1.002020
29.603650,0.998732
29.641600,1.003150
29.679550,1.002100
29.717400,1.000110
29.755250,1.000290
29.793050,0.999743
29.830750,1.000250
29.868450,1.000120
29.906100,1.000540
29.943700,0.999217
29.981250,1.002540
30.018750,1.000720
30.056200,1.003090
30.093600,1.002180
30.130950,1.002400
30.168250,1.000110
30.205550,1.000990
30.242750,0.999861
30.279950,0.999676
30.317050,1.000870
30.354150,1.000010
30.391200,0.999492
30.428200,0.998918
30.465150,1.000660
30.502050,1.001850
30.538900,0.997535
30.575700,1.002000
30.612500,0.999813
30.649200,0.999409
30.685900,0.997991
30.722550,1.001640
30.759150,1.002770
30.795700,0.996543
30.832200,1.001800
30.868650,1.000290
30.905100,1.000190
30.941450,1.000020
30.977800,1.003750
31.014100,0.999238
31.050350,0.999756
31.086550,0.999966
31.122750,0.999833
31.158850,1.000030
31.194950,0.998916
31.231000,1.000610
31.267000,1.000260
31.302950,0.999828
31.338850,1.000190
31.374750,0.999680
31.410600,0.999737
31.446400,1.002710
31.482150,1.002960
31.517850,0.998670
31.553500,0.999286
31.589150,0.999465
31.624750,1.000870
31.660300,0.999444
31.695800,0.998201
31.731300,0.999832
31.766700,1.002770
31.802100,0.998359
31.837450,1.000470
31.872800,0.999979
31.908050,0.999975
31.943300,0.999269
31.978500,0.997802
32.013650,1.001450
32.048800,1.001120
32.083850,1.002650
32.118900,1.000520
32.153900,1.003810
32.188900,0.999506
32.223800,0.997285
32.258700,0.997943
32.293550,0.997027
32.328400,0.999527
32.363150,0.998306
32.397900,0.999831
32.432600,0.997474
32.467300,1.000960
32.501900,1.000070
32.536500,0.999217
32.571050,0.998026
32.605600,1.001060
32.640100,0.999973
32.674550,0.998862
32.708950,0.999840
32.743300,1.001240
32.777650,0.998291
32.811950,0.998287
32.846250,0.998686
32.880450,0.998869
32.914650,1.000550
32.948800,1.000190
32.982950,1.001030
33.017050,0.998794
33.051100,0.997892
33.085100,0.998107
33.119100,0.999229
33.153050,0.997179
33.186950,1.002780
33.220850,0.997869
33.254700,0.999168
33.288500,1.001640
33.322300,1.001070
33.356050,1.000040
33.389750,1.000950
33.423400,0.999367
33.457050,1.000170
33.490650,1.001640
33.524250,1.000800
33.557800,0.999623
33.591300,1.000310
33.624750,1.000370
33.658200,1.001340
33.691600,0.999689
33.725000,1.001750
33.758350,1.002320
33.791650,0.998244
33.824900,0.999130
33.858150,0.998647
33.891350,1.002500
33.924550,0.999561
33.957700,0.998780
33.990800,0.996248
34.023900,1.002820
34.056950,0.997790
34.089950,1.001650
34.122950,0.996993
34.155900,1.001230
34.188800,0.999776
34.221700,1.000700
34.254550,0.999462
34.287400,1.004370
34.320200,1.001430
34.352950,1.000700
34.385700,0.999091
34.418400,0.998650
34.451050,1.001160
34.483700,0.998830
34.516300,0.999889
34.548850,1.001360
34.581400,0.998416
34.613950,1.002710
34.646400,0.999235
34.678900,1.001040
34.711300,0.997200
34.743700,1.001420
34.776050,1.000010
34.808400,0.999789
34.840700,1.000360
34.873000,1.000240
34.905200,0.999396
