# k (1/bohr), S(k)
0.006763,0.009854
0.007809,0.013926
0.011044,0.024977
0.012950,0.038441
0.013526,0.038031
0.015619,0.051378
0.017020,0.061636
0.017462,0.058152
0.019129,0.069001
0.020289,0.073013
0.022088,0.081210
0.023100,0.096987
0.023428,0.105196
0.024695,0.122265
0.025605,0.144584
0.025901,0.133365
0.027052,0.158405
0.027885,0.167184
0.028157,0.165973
0.029220,0.193881
0.029992,0.216010
0.031238,0.219974
0.031961,0.254783
0.032199,0.237203
0.033132,0.263558
0.033816,0.277607
0.034040,0.328254
0.034925,0.290752
0.035573,0.308035
0.035787,0.350306
0.036629,0.445655
0.037248,0.364795
0.038258,0.405659
0.038851,0.430230
0.039047,0.454736
0.039820,0.455286
0.040390,0.469438
0.040579,0.487768
0.041873,0.513954
0.042055,0.563970
0.042774,0.590755
0.043305,0.566917
0.044176,0.534771
0.044691,0.641047
0.044861,0.682983
0.045536,0.706655
0.046036,0.688366
0.046201,0.741063
0.046856,0.624598
0.047342,0.739477
0.047503,0.760272
0.048140,0.774295
0.048613,0.833637
0.049391,0.948476
0.049852,0.834361
0.050004,0.874626
0.050611,0.906127
0.051060,0.985922
0.051209,1.033400
0.051802,0.709192
0.052241,0.935796
0.052387,1.036400
0.052966,1.200530
0.053396,1.089320
0.054105,0.962643
0.054526,0.988583
0.054666,1.201610
0.055221,0.990367
0.055633,1.027890
0.055770,0.986435
0.056314,0.840164
0.056719,1.095100
0.056853,1.024290
0.057387,1.174930
0.057784,1.138450
0.058440,1.055730
0.058830,1.208000
0.058959,1.198190
0.059474,0.995051
0.059858,1.194360
0.059985,1.105670
0.060868,1.213370
0.060993,0.988151
0.061491,1.216930
0.061862,1.186610
0.062475,0.834631
0.062840,1.241710
0.062961,1.248530
0.063444,1.235030
0.063803,1.143950
0.063922,1.248120
0.064398,1.157100
0.064752,1.162860
0.064870,1.186610
0.065338,1.155860
0.065687,1.137390
0.066265,1.299910
0.066609,1.148460
0.066723,1.241790
0.067179,1.180990
0.067518,1.196940
0.067631,1.104110
0.068081,1.050280
0.068416,1.177170
0.068527,1.135230
0.068971,1.161250
0.069301,1.185560
0.069849,0.979367
0.070176,1.066430
0.070284,1.088790
0.070717,1.165850
0.071040,1.053770
0.071147,1.130420
0.071574,1.152820
0.071893,1.063410
0.071999,1.071680
0.072421,1.078320
0.072736,1.134610
0.073258,1.184610
0.073570,1.055840
0.073673,1.055870
0.074086,1.032670
0.074394,1.043000
0.074497,1.022640
0.075210,1.021490
0.075311,1.068070
0.075715,1.094480
0.076016,0.979338
0.076516,0.973369
0.076814,1.031480
0.076913,1.081130
0.077309,1.032320
0.077604,1.022870
0.077702,0.980885
0.078094,0.991386
0.078386,1.015590
0.078483,1.023730
0.078871,0.934229
0.079160,1.029220
0.079640,1.018180
0.079927,0.997993
0.080022,1.009230
0.080402,1.034760
0.080686,1.009600
0.080781,0.970257
0.081157,1.010310
0.081439,0.999749
0.081532,1.074450
0.081905,0.981920
0.082184,1.004650
0.082923,1.019250
0.083015,1.017780
0.083381,0.985655
0.083655,0.994878
0.083746,0.981697
0.084110,1.043710
0.084381,0.975055
0.084471,0.994118
0.084832,1.035980
0.085101,1.024120
0.085547,1.019610
0.085814,1.031670
0.085903,0.988948
0.086257,1.000870
0.086522,1.017460
0.086610,0.967264
0.087224,0.981842
0.087311,0.973696
0.087660,0.970206
0.087921,0.982031
0.088353,1.005480
0.088611,0.965952
0.088697,0.985850
0.089041,0.997131
0.089297,0.983648
0.089382,0.977840
0.089723,1.010900
0.089977,0.982591
0.090062,0.966760
0.090400,0.978460
0.090653,0.977890
0.091072,1.004100
0.091323,0.977293
0.091406,0.972693
0.091739,0.970805
0.091988,0.984494
0.092071,0.965915
0.092402,1.024060
0.092649,0.991932
0.092731,0.967395
0.093059,0.978458
0.093305,0.992627
0.093713,0.999710
0.093956,0.977636
0.094037,0.985732
0.094361,0.993117
0.094603,0.988699
0.094684,0.999888
0.095005,0.973280
0.095246,0.989738
0.095326,0.989958
0.095645,0.986015
0.095884,0.992055
0.096280,0.996866
0.096518,0.977866
0.096597,0.992325
0.096912,0.981302
0.097147,0.982478
0.097226,0.974628
0.097773,0.981407
0.097851,0.968098
0.098162,0.995378
0.098395,1.000290
0.098782,0.941830
0.099013,0.987680
0.099090,0.965368
0.099397,1.006490
0.099627,0.990886
0.099703,1.001610
0.100009,0.965737
0.100237,0.981990
0.100313,0.991000
0.100617,0.976917
0.100844,0.974440
0.101221,0.974970
0.101447,0.984554
0.101522,0.978749
0.101822,0.974188
0.102046,0.988208
0.102121,0.991674
0.102419,0.986726
0.102642,1.002010
0.102716,0.966028
0.103013,0.998839
0.103235,0.993517
0.103603,0.984365
0.103824,0.989196
0.103897,1.007450
0.104190,0.982925
0.104409,0.993476
0.104482,1.009350
0.104774,1.009580
0.104992,0.993317
0.105064,0.971991
0.105354,0.977696
0.105571,0.997846
0.105932,0.996796
0.106147,0.995034
0.106219,0.985215
0.106506,0.982665
0.106720,0.997976
0.106792,1.000290
0.107290,0.990673
0.107361,1.008260
0.107645,0.982835
0.107857,0.978019
0.108210,1.036720
0.108421,0.997416
0.108491,1.017910
0.108772,1.004530
0.108982,1.005880
0.109052,1.001320
0.109331,1.003450
0.109540,0.987912
0.109610,0.993271
0.109888,0.995262
0.110096,0.999121
0.110441,0.979013
0.110648,0.997952
0.110717,0.992084
0.110992,0.977534
