# k (1/bohr), S(k)
0.007890,0.008508
0.009111,0.011242
0.012885,0.024064
0.015109,0.033402
0.015781,0.035931
0.018222,0.053451
0.019857,0.056546
0.020373,0.061506
0.022317,0.063907
0.023671,0.077294
0.025770,0.096381
0.026950,0.100686
0.027333,0.104495
0.028811,0.119218
0.029872,0.125694
0.030218,0.132559
0.031561,0.161328
0.032532,0.173705
0.032850,0.179974
0.034090,0.193772
0.034991,0.206281
0.036444,0.211669
0.037288,0.263198
0.037565,0.239524
0.038655,0.270983
0.039452,0.280963
0.039714,0.302864
0.040745,0.309239
0.041502,0.335767
0.041752,0.326211
0.042734,0.378061
0.043456,0.397735
0.044634,0.422280
0.045326,0.425839
0.045555,0.485323
0.046457,0.479824
0.047122,0.512364
0.047342,0.501349
0.048852,0.512617
0.049064,0.566480
0.049903,0.519851
0.050523,0.599687
0.051539,0.573748
0.052140,0.651199
0.052338,0.649688
0.053126,0.614016
0.053708,0.734773
0.053901,0.708057
0.054666,0.812786
0.055232,0.764687
0.055420,0.634469
0.056164,0.771156
0.056715,0.764273
0.057623,0.815896
0.058160,0.971020
0.058338,0.937883
0.059046,0.878743
0.059570,0.929899
0.059744,0.887669
0.060435,1.002960
0.060948,0.944720
0.061118,1.042890
0.061793,1.024470
0.062295,0.944823
0.063122,0.932108
0.063614,0.956950
0.063776,1.001900
0.064424,1.082500
0.064906,0.980460
0.065065,1.012570
0.065700,1.122390
0.066172,1.037280
0.066329,1.032970
0.066951,1.126160
0.067415,1.115580
0.068180,1.137970
0.068635,1.183260
0.068786,1.159610
0.069387,1.238770
0.069834,1.220350
0.069983,1.174090
0.071013,1.272890
0.071159,1.183830
0.071740,1.080530
0.072172,1.251500
0.072887,0.999183
0.073313,1.167010
0.073455,1.228110
0.074018,1.215130
0.074437,1.120050
0.074576,1.201210
0.075131,1.220320
0.075544,1.296650
0.075681,1.193680
0.076227,1.193300
0.076635,1.169860
0.077309,1.250400
0.077711,1.130710
0.077844,1.171240
0.078375,1.191620
0.078771,1.170330
0.078903,1.184850
0.079427,1.237500
0.079818,1.067660
0.079948,1.154130
0.080466,1.096500
0.080852,1.128000
0.081491,1.206490
0.081872,1.078730
0.081999,1.117490
0.082503,1.166520
0.082879,1.114580
0.083005,1.015160
0.083503,1.109920
0.083875,1.093950
0.083999,1.072360
0.084491,1.052220
0.084859,1.014660
0.085468,1.108630
0.085832,1.075050
0.085952,1.051370
0.086434,1.079770
0.086793,1.048280
0.086913,1.027200
0.087744,1.067040
0.087863,1.093490
0.088334,1.048430
0.088686,1.064130
0.089269,1.074060
0.089617,1.001410
0.089732,1.001290
0.090194,1.027510
0.090538,1.042610
0.090653,1.043220
0.091109,1.049740
0.091450,1.028310
0.091564,1.028140
0.092016,1.053160
0.092354,1.018330
0.092914,0.983643
0.093248,1.007940
0.093359,1.041070
0.093803,1.033580
0.094134,0.993141
0.094244,1.042370
0.094684,0.943209
0.095012,0.968152
0.095121,0.960734
0.095556,1.013990
0.095881,1.002780
0.096743,0.977376
0.096851,0.996322
0.097278,0.978677
0.097598,1.009400
0.097704,0.951193
0.098128,0.957720
0.098445,0.989728
0.098550,0.992620
0.098970,1.015260
0.099284,0.984048
0.099805,0.950881
0.100117,1.018740
0.100220,0.953932
0.100634,0.970126
0.100942,0.996765
0.101045,1.033250
0.101762,1.013390
0.101863,0.993847
0.102270,0.983125
0.102574,1.010250
0.103079,0.962370
0.103380,0.983615
0.103480,0.976981
0.103881,0.980721
0.104180,0.996104
0.104280,1.007870
0.104677,0.979748
0.104974,0.979426
0.105072,0.970022
0.105467,0.975907
0.105762,0.993516
0.106251,0.972608
0.106543,0.981180
0.106641,0.981744
0.107029,0.968641
0.107320,0.985059
0.107416,0.994881
0.107802,0.979608
0.108091,0.987500
0.108186,0.973501
0.108569,0.972303
0.108856,0.968569
0.109331,0.983896
0.109616,0.975594
0.109710,0.988645
0.110088,0.978862
0.110370,1.001980
0.110464,0.945727
0.110839,0.977332
0.111120,0.995626
0.111213,0.977694
0.111586,0.995853
0.111864,0.997065
0.112327,0.981804
0.112604,1.000970
0.112696,1.000380
0.113064,0.998976
0.113339,1.006620
0.113430,0.961515
0.114069,0.983827
0.114160,1.002480
0.114523,1.000690
0.114794,0.989983
0.115245,0.979767
0.115515,0.956522
0.115605,0.985988
0.115963,0.988970
0.116232,0.996420
0.116321,0.973567
0.116677,0.983027
0.116944,0.988209
0.117032,0.986323
0.117386,1.004610
0.117651,0.983362
0.118091,0.961547
0.118355,0.993099
0.118442,0.978044
0.118792,0.977211
0.119054,0.995948
0.119141,0.982875
0.119489,1.031130
0.119749,0.983450
0.119836,0.984093
0.120181,0.980703
0.120440,0.974100
0.120870,0.999581
0.121127,0.991301
0.121213,0.969224
0.121555,1.011570
0.121811,0.983325
0.121896,0.982032
0.122236,0.975804
0.122491,0.994511
0.122575,1.008680
0.122913,1.005910
0.123166,0.986524
0.123587,1.009500
0.123838,0.994262
0.123922,0.977011
0.124257,0.979453
0.124507,0.990061
0.124590,1.001270
0.125172,0.986120
0.125255,0.996033
0.125586,0.994871
0.125833,0.993335
0.126245,1.004450
0.126491,0.986431
0.126573,1.002110
0.126901,0.995806
0.127146,1.004760
0.127227,0.997143
0.127553,0.985817
0.127797,0.999739
0.127878,0.994998
0.128202,0.987704
0.128445,0.996286
0.128848,0.998044
0.129089,0.993968
0.129170,0.992501
0.129491,1.000900
