# r (bohr), g(r)
12.000000,0.000336
28.970560,0.004121
37.755200,0.014241
44.784640,0.035386
50.832800,0.064458
56.226720,0.103425
61.142880,0.148745
65.690160,0.201383
69.941120,0.256897
73.947360,0.317136
77.746800,0.380637
81.368800,0.446064
84.836000,0.508486
88.166400,0.568244
91.376000,0.627588
94.476000,0.684693
97.477600,0.737702
100.388800,0.790480
103.218400,0.828406
105.972800,0.868769
108.656800,0.913768
111.276000,0.937397
113.835200,0.966956
116.337600,0.996740
118.788000,1.015540
121.188000,1.029180
123.542400,1.041280
125.852000,1.049720
128.120000,1.061470
130.348800,1.076860
132.540000,1.079550
134.695200,1.079480
136.816800,1.085080
138.906400,1.084270
140.964000,1.084010
142.992800,1.087900
144.992800,1.080020
146.966400,1.076560
148.912800,1.075260
150.834400,1.077810
152.732000,1.066110
154.606400,1.064600
156.458400,1.060100
158.288000,1.053230
160.097600,1.052890
161.886400,1.049270
163.656000,1.041260
165.406400,1.035370
167.138400,1.034170
168.852800,1.025700
170.549600,1.024150
172.230400,1.020320
173.894400,1.021150
175.543200,1.015950
177.176000,1.010750
178.794400,1.012470
180.397600,1.004500
181.987200,1.002200
183.563200,0.999831
185.125600,0.999694
186.674400,0.995369
188.211200,0.994210
189.735200,0.992158
191.247200,0.992074
192.747200,0.992881
194.235200,0.992263
195.712800,0.984609
197.178400,0.990788
198.634400,0.986093
200.078400,0.987556
201.512800,0.987756
202.936800,0.989015
204.351200,0.986897
205.756000,0.984531
207.151200,0.982556
208.536800,0.980868
209.912800,0.984204
211.280800,0.981496
212.639200,0.979954
213.989600,0.986912
215.331200,0.986684
216.664800,0.986437
217.989600,0.989000
219.307200,0.986672
220.616000,0.989277
221.917600,0.986404
223.212000,0.988888
224.498400,0.990098
225.777600,0.990398
227.049600,0.987882
228.314400,0.991454
229.572800,0.992889
230.824000,0.990458
232.068000,0.988540
233.305600,0.989397
234.536800,0.990308
235.761600,0.994656
236.980000,0.993546
238.192800,0.992285
239.398400,0.994506
240.598400,0.994825
241.792800,0.996468
242.980800,0.995245
244.163200,0.994182
245.340000,0.996491
246.511200,0.997699
247.676800,1.004550
248.836800,1.000310
249.991200,0.999183
251.140800,0.999565
252.284800,1.001120
253.424000,1.002570
254.557600,1.001340
255.686400,0.997218
256.810400,1.004500
257.929600,1.000900
259.044000,1.003940
260.153600,1.002990
261.257600,1.002150
262.357600,1.001640
263.453600,1.000310
264.544000,1.003520
265.630400,1.001160
266.712800,1.001950
267.790400,1.004040
268.864000,1.001920
269.932800,1.002230
270.997600,1.002060
272.058400,1.002400
273.115200,0.997792
274.167200,1.001160
275.216000,1.002530
276.260000,1.000840
277.300800,1.004870
278.337600,1.001470
279.370400,1.000950
280.399200,1.003250
281.424800,1.002060
282.445600,1.001760
283.464000,1.005030
284.478400,1.003050
285.488800,1.002090
286.496000,1.000780
287.499200,1.003090
288.499200,1.002500
289.496000,1.002770
290.488800,0.999992
291.478400,1.000990
292.464800,1.003720
293.448000,1.003110
294.428000,1.000030
295.404800,1.002250
296.377600,1.002460
297.348000,1.001480
298.315200,1.003060
299.278400,1.004220
300.239200,0.999655
301.197600,1.001210
302.152000,1.003480
303.103200,0.999370
304.052000,1.001600
304.997600,1.001350
305.940800,1.000480
306.880800,0.999048
307.817600,0.998811
308.752000,1.003100
309.683200,0.998517
310.612000,0.998479
311.537600,1.000510
312.460800,1.002670
313.381600,1.002230
314.299200,1.000140
315.213600,0.999927
316.126400,0.999017
317.036000,1.002550
317.943200,0.998746
318.848000,1.002720
319.749600,1.000020
320.648800,1.000700
321.545600,1.000930
322.440000,1.004540
323.332000,1.001750
324.221600,1.000190
325.108800,1.002560
325.993600,1.002390
326.876000,1.003530
327.756000,1.000840
328.633600,1.001700
329.508800,1.001170
330.381600,1.002480
331.252000,1.003490
332.120000,1.005170
332.986400,1.001660
333.849600,1.004620
334.711200,1.000760
335.571200,1.000570
336.428000,1.001560
337.283200,1.000690
338.136000,1.002370
338.986400,1.004920
339.835200,1.001570
340.681600,1.002920
341.525600,1.002580
342.368000,1.003200
343.208000,1.001570
344.046400,1.001190
344.882400,1.002440
345.716800,1.000760
346.548800,1.003300
347.378400,1.002960
348.206400,1.002840
349.032800,1.000380
349.856800,1.004750
350.679200,1.001710
351.499200,1.003920
352.317600,1.002920
353.134400,0.999317
353.948800,1.000630
354.761600,1.000450
355.572800,1.001220
