# k (1/bohr), S(k)
0.005918,0.009123
0.006833,0.011735
0.009664,0.020229
0.011332,0.029135
0.011835,0.028900
0.013666,0.039058
0.014893,0.050758
0.015279,0.051770
0.016738,0.063983
0.017753,0.068644
0.019327,0.077477
0.020213,0.087279
0.020500,0.086708
0.021608,0.107414
0.022404,0.114755
0.022663,0.116893
0.023671,0.160957
0.024399,0.146829
0.024637,0.151261
0.025567,0.169445
0.026243,0.177820
0.027333,0.173210
0.027966,0.218243
0.028174,0.202485
0.028991,0.227299
0.029589,0.244687
0.029785,0.263001
0.030559,0.277569
0.031127,0.294750
0.031314,0.327210
0.032051,0.367661
0.032592,0.308677
0.033476,0.369562
0.033995,0.384552
0.034166,0.406058
0.034843,0.403046
0.035342,0.407735
0.035506,0.439366
0.036639,0.520557
0.036798,0.466260
0.037427,0.533637
0.037892,0.506377
0.038654,0.594611
0.039105,0.615727
0.039254,0.529796
0.039844,0.575555
0.040281,0.634555
0.040426,0.667434
0.040999,0.639234
0.041424,0.738022
0.041565,0.783539
0.042123,0.749387
0.042536,0.805716
0.043217,0.787810
0.043620,0.866923
0.043754,0.962568
0.044284,0.843312
0.044678,0.906943
0.044808,0.911477
0.045326,0.937013
0.045711,0.915711
0.045838,1.012310
0.046345,1.103260
0.046721,0.955524
0.047342,1.131010
0.047710,1.108960
0.047832,1.031390
0.048318,0.967943
0.048679,1.130600
0.048799,1.132950
0.049275,1.060920
0.049629,1.257140
0.049746,1.138210
0.050214,1.221560
0.050561,1.164460
0.051135,1.042400
0.051476,1.266430
0.051589,1.165340
0.052040,1.422910
0.052375,1.210760
0.052487,1.175580
0.053260,1.247590
0.053369,1.043210
0.053805,1.225710
0.054129,1.265000
0.054666,1.055610
0.054985,1.370210
0.055091,1.262160
0.055513,1.275760
0.055828,1.254230
0.055932,1.309030
0.056348,1.166450
0.056658,1.181640
0.056761,1.211960
0.057171,1.145070
0.057476,1.204920
0.057982,1.246220
0.058283,1.109160
0.058383,1.348640
0.058782,1.182030
0.059079,1.256980
0.059177,1.258400
0.059571,1.216830
0.059864,1.201050
0.059961,1.177900
0.060349,1.103510
0.060639,1.132990
0.061118,1.112800
0.061404,1.260500
0.061499,1.130540
0.061877,1.078430
0.062160,1.059590
0.062253,1.057700
0.062627,1.133900
0.062906,1.118790
0.062999,1.095770
0.063369,1.057710
0.063644,1.134930
0.064101,1.163130
0.064374,1.087030
0.064464,1.078120
0.064826,1.072430
0.065095,1.092060
0.065185,1.085180
0.065808,1.016260
0.065897,1.117650
0.066250,1.050020
0.066514,1.074260
0.066951,1.072000
0.067212,1.075770
0.067299,0.987541
0.067645,1.021980
0.067904,0.998866
0.067990,1.048200
0.068332,1.055920
0.068588,0.991615
0.068673,0.979516
0.069012,0.993660
0.069265,0.981545
0.069685,0.988732
0.069936,1.024710
0.070019,1.008730
0.070352,1.031150
0.070601,1.009790
0.070683,0.968357
0.071013,1.007340
0.071259,1.040770
0.071341,0.928073
0.071667,0.990389
0.071911,1.019240
0.072557,0.986018
0.072638,0.977401
0.072959,0.974133
0.073198,0.990132
0.073278,1.018590
0.073596,0.997344
0.073833,0.983500
0.073912,0.980556
0.074228,0.985034
0.074463,1.019450
0.074854,1.000830
0.075088,0.956506
0.075165,0.955416
0.075475,0.981643
0.075707,0.955252
0.075784,0.983442
0.076321,0.963090
0.076397,0.984091
0.076702,0.965840
0.076930,0.993070
0.077309,1.079240
0.077535,0.978048
0.077610,0.983677
0.077911,0.929001
0.078135,0.974550
0.078210,0.978837
0.078507,0.943158
0.078730,0.965468
0.078804,1.017050
0.079100,0.956129
0.079321,0.991033
0.079688,0.996972
0.079908,0.964827
0.079981,0.952937
0.080272,0.974614
0.080490,0.988975
0.080562,0.927147
0.080851,0.939298
0.081068,0.976606
0.081140,0.957064
0.081427,0.982456
0.081642,0.964864
0.081999,1.028600
0.082212,0.986731
0.082283,0.973653
0.082566,0.962544
0.082778,0.960785
0.082848,1.022180
0.083129,0.981304
0.083340,1.013890
0.083410,0.978758
0.083689,1.003050
0.083898,0.977379
0.084245,0.945161
0.084453,0.979897
0.084522,0.987252
0.084798,0.961823
0.085004,0.981609
0.085073,0.978799
0.085552,0.960145
0.085620,0.959352
0.085892,0.997835
0.086096,0.964442
0.086434,0.946150
0.086636,0.991638
0.086704,0.974254
0.086972,0.994398
0.087174,0.989021
0.087240,0.935992
0.087508,0.949236
0.087708,0.995069
0.087774,0.964913
0.088040,0.959243
0.088238,0.991501
0.088568,1.015970
0.088766,0.968225
0.088832,0.956631
0.089094,0.953729
0.089290,0.950783
0.089356,0.988222
0.089617,0.954482
0.089812,0.999390
0.089877,0.977680
0.090136,0.983720
0.090330,0.988701
0.090653,0.961666
0.090846,0.983443
0.090910,1.006730
0.091166,0.970601
0.091358,1.001560
0.091422,0.986092
0.091677,0.967897
0.091868,0.984611
0.091931,1.011020
0.092185,0.971812
0.092375,0.986647
0.092690,0.979058
0.092879,0.981125
0.092942,0.995994
0.093192,0.962548
0.093380,0.987051
0.093443,1.010450
0.093879,0.979023
0.093941,0.972477
0.094189,0.969901
0.094375,0.972905
0.094684,0.949363
0.094868,1.003170
0.094930,1.004020
0.095175,0.981484
0.095359,0.998422
0.095420,1.011240
0.095665,0.996574
0.095848,0.980005
0.095909,0.989943
0.096152,0.990557
0.096334,0.999687
0.096636,0.989257
0.096817,1.001550
0.096877,0.994696
0.097118,0.972693
