# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
2.891583166332665766e-01,1.001599574830368988e+00,-4.321667039107428623e-03
2.931462925851703871e-01,1.001656781655685391e+00,-4.438377414181975469e-03
2.971342685370741976e-01,1.001715503848340738e+00,-4.556502685482899211e-03
3.011222444889780081e-01,1.001775773523139179e+00,-4.676035277594212634e-03
3.051102204408818186e-01,1.001837623388606602e+00,-4.796967505273586063e-03
3.090981963927855736e-01,1.001901086746784353e+00,-4.919291572707508269e-03
3.130861723446893841e-01,1.001966197506538148e+00,-5.042999573187487324e-03
3.170741482965931946e-01,1.002032990190745432e+00,-5.168083488426780323e-03
3.210621242484970050e-01,1.002101499939423102e+00,-5.294535187921496459e-03
3.250501002004008155e-01,1.002171762518238918e+00,-5.422346428296466632e-03
3.290380761523046260e-01,1.002243814332575145e+00,-5.551508852896520907e-03
3.330260521042084365e-01,1.002317692424654405e+00,-5.682013990659554904e-03
3.370140280561122470e-01,1.002393434487446999e+00,-5.813853255720159360e-03
3.410020040080160575e-01,1.002471078874810129e+00,-5.947017946602272016e-03
3.449899799599198680e-01,1.002550664601849384e+00,-6.081499245259185983e-03
3.489779559118236785e-01,1.002632231362652337e+00,-6.217288216540676517e-03
3.529659318637274890e-01,1.002715819529740093e+00,-6.354375807030840373e-03
3.569539078156312994e-01,1.002801470165876507e+00,-6.492752844290849111e-03
3.609418837675351099e-01,1.002889225039834020e+00,-6.632410036125423007e-03
3.649298597194389204e-01,1.002979126623210648e+00,-6.773337969255362537e-03
3.689178356713427309e-01,1.003071218103565254e+00,-6.915527108444353629e-03
3.729058116232465414e-01,1.003165543402209092e+00,-7.058967795719245895e-03
3.768937875751503519e-01,1.003262147168253904e+00,-7.203650248748749707e-03
3.808817635270541624e-01,1.003361074803265751e+00,-7.349564560319227918e-03
3.848697394789579729e-01,1.003462372457956331e+00,-7.496700696596655597e-03
3.888577154308617834e-01,1.003566087051776190e+00,-7.645048496302626374e-03
3.928456913827655939e-01,1.003672266277912062e+00,-7.794597669259150166e-03
3.968336673346693488e-01,1.003780958612813468e+00,-7.945337795042325610e-03
4.008216432865731593e-01,1.003892213330101590e+00,-8.097258321704270401e-03
4.048096192384769698e-01,1.004006080508536680e+00,-8.250348564325604706e-03
4.087975951903807803e-01,1.004122611044144353e+00,-8.404597703515915424e-03
4.127855711422845908e-01,1.004241856658245391e+00,-8.559994783764011614e-03
4.167735470941884013e-01,1.004363869910782414e+00,-8.716528711998771869e-03
4.207615230460922118e-01,1.004488704214161032e+00,-8.874188255952993043e-03
4.247494989979960223e-01,1.004616413838406830e+00,-9.032962042242046949e-03
4.287374749498998328e-01,1.004747053926726030e+00,-9.192838554695811903e-03
4.327254509018036432e-01,1.004880680508981383e+00,-9.353806132628001563e-03
4.367134268537074537e-01,1.005017350509652019e+00,-9.515852968674479162e-03
4.407014028056112642e-01,1.005157121761980132e+00,-9.678967106945365884e-03
4.446893787575150747e-01,1.005300053020689921e+00,-9.843136440935757250e-03
4.486773547094188852e-01,1.005446203974687647e+00,-1.000834871137491061e-02
4.526653306613226957e-01,1.005595635259191933e+00,-1.017459150401143521e-02
4.566533066132265062e-01,1.005748408469130162e+00,-1.034185224728787628e-02
4.606412825651303167e-01,1.005904586173461235e+00,-1.051011821004036416e-02
4.646292585170341272e-01,1.006064231926419250e+00,-1.067937649887939523e-02
4.686172344689379377e-01,1.006227410284254997e+00,-1.084961405580203361e-02
4.726052104208417481e-01,1.006394186816160552e+00,-1.102081765537463696e-02
4.765931863727455586e-01,1.006564628121300320e+00,-1.119297390214746106e-02
4.805811623246493136e-01,1.006738801841184472e+00,-1.136606922767266666e-02
4.845691382765531241e-01,1.006916776675676806e+00,-1.154008988765377330e-02
4.885571142284569346e-01,1.007098622397992527e+00,-1.171502195890134976e-02
4.925450901803607451e-01,1.007284409868754338e+00,-1.189085133608661082e-02
4.965330661322645556e-01,1.007474211052745927e+00,-1.206756372856233363e-02
5.005210420841683661e-01,1.007668099034378928e+00,-1.224514465698766513e-02
5.045090180360721765e-01,1.007866148034093357e+00,-1.242357944982167353e-02
5.084969939879759870e-01,1.008068433422471211e+00,-1.260285323957134780e-02
5.124849699398797975e-01,1.008275031740579752e+00,-1.278295095932928740e-02
5.164729458917836080e-01,1.008486020713833753e+00,-1.296385733864116249e-02
5.204609218436874185e-01,1.008701479270758927e+00,-1.314555689963924426e-02
5.244488977955912290e-01,1.008921487559245600e+00,-1.332803395284037039e-02
5.284368737474950395e-01,1.009146126965086321e+00,-1.351127259286401955e-02
5.324248496993988500e-01,1.009375480130632274e+00,-1.369525669406249438e-02
5.364128256513026605e-01,1.009609630971762151e+00,-1.387996990585933961e-02
5.404008016032064710e-01,1.009848664698212106e+00,-1.406539564807479312e-02
5.443887775551102814e-01,1.010092667830556179e+00,-1.425151710591754731e-02
5.483767535070140919e-01,1.010341728221844537e+00,-1.443831722506926443e-02
5.523647294589179024e-01,1.010595935075737417e+00,-1.462577870633488542e-02
5.563527054108217129e-01,1.010855378967597584e+00,-1.481388400028671101e-02
5.603406813627255234e-01,1.011120151863239558e+00,-1.500261530155964397e-02
5.643286573146293339e-01,1.011390347141900792e+00,-1.519195454322669857e-02
5.683166332665331444e-01,1.011666059615489388e+00,-1.538188339064461979e-02
5.723046092184369549e-01,1.011947385551376977e+00,-1.557238323540800946e-02
5.762925851703407654e-01,1.012234422692763758e+00,-1.576343518881907074e-02
5.802805611222445759e-01,1.012527270283088088e+00,-1.595502007542646400e-02
5.842685370741483863e-01,1.012826029086862034e+00,-1.614711842611327858e-02
5.882565130260521968e-01,1.013130801413117732e+00,-1.633971047097793755e-02
5.922444889779560073e-01,1.013441691139281620e+00,-1.653277613213748401e-02
5.962324649298598178e-01,1.013758803734560843e+00,-1.672629501614188510e-02
6.002204408817636283e-01,1.014082246285029409e+00,-1.692024640619354398e-02
6.042084168336674388e-01,1.014412127516829409e+00,-1.711460925400869540e-02
6.081963927855711383e-01,1.014748557823360375e+00,-1.730936217165091051e-02
6.121843687374749488e-01,1.015091649289109998e+00,-1.750448342273560470e-02
6.161723446893787592e-01,1.015441515717058651e+00,-1.769995091370897555e-02
6.201603206412825697e-01,1.015798272654259815e+00,-1.789574218452109899e-02
6.241482965931863802e-01,1.016162037419003683e+00,-1.809183439913603433e-02
6.281362725450901907e-01,1.016532929129528195e+00,-1.828820433583469227e-02
6.321242484969940012e-01,1.016911068730672163e+00,-1.848482837692480563e-02
6.361122244488978117e-01,1.017296579022737291e+00,-1.868168249827940192e-02
6.401002004008016222e-01,1.017689584691289673e+00,-1.887874225854497753e-02
6.440881763527054327e-01,1.018090212335876155e+00,-1.907598278787942664e-02
6.480761523046092432e-01,1.018498590500943379e+00,-1.927337877639113614e-02
6.520641282565130536e-01,1.018914849705546688e+00,-1.947090446208652945e-02
6.560521042084168641e-01,1.019339122476216275e+00,-1.966853361862775165e-02
6.600400801603206746e-01,1.019771543377442802e+00,-1.986623954239027240e-02
6.640280561122244851e-01,1.020212249044802455e+00,-2.006399503927483105e-02
6.680160320641282956e-01,1.020661378217784243e+00,-2.026177241100119222e-02
6.720040080160321061e-01,1.021119071774492904e+00,-2.045954344105973405e-02
6.759919839679359166e-01,1.021585472764787506e+00,-2.065727937990963561e-02
6.799799599198397271e-01,1.022060726445616075e+00,-2.085495092991235255e-02
6.839679358717435376e-01,1.022544980317646957e+00,-2.105252822971213564e-02
6.879559118236473481e-01,1.023038384160990688e+00,-2.124998083803550028e-02
6.919438877755511585e-01,1.023541090072243920e+00,-2.144727771685971118e-02
6.959318637274549690e-01,1.024053252502770794e+00,-2.164438721416092962e-02
6.999198396793587795e-01,1.024575460593571741e+00,-2.184164460867995747e-02
7.039078156312625900e-01,1.025107030609722747e+00,-2.203828886125448749e-02
7.078957915831664005e-01,1.025648535936941608e+00,-2.223464695144816705e-02
7.118837675350702110e-01,1.026200140877825406e+00,-2.243068457992953429e-02
7.158717434869740215e-01,1.026762012292530502e+00,-2.262636673669504370e-02
7.198597194388778320e-01,1.027334319641542093e+00,-2.282165767973714024e-02
7.238476953907816425e-01,1.027917235029381260e+00,-2.301652091295324290e-02
7.278356713426854530e-01,1.028510933249198400e+00,-2.321091916326000620e-02
7.318236472945892634e-01,1.029115591828335896e+00,-2.340481435689483955e-02
7.358116232464930739e-01,1.029731391074822255e+00,-2.359816759485768717e-02
7.397995991983968844e-01,1.030358514124906755e+00,-2.379093912747016343e-02
7.437875751503006949e-01,1.030997146991562197e+00,-2.398308832800295082e-02
7.477755511022045054e-01,1.031647478614104552e+00,-2.417457366534645977e-02
7.517635270541083159e-01,1.032309700908843997e+00,-2.436535267566848281e-02
7.557515030060121264e-01,1.032984008820900579e+00,-2.455538193302805872e-02
7.597394789579159369e-01,1.033670600377140092e+00,-2.474461701889234602e-02
7.637274549098197474e-01,1.034369676740342747e+00,-2.493301249051380411e-02
7.677154308617235579e-01,1.035081442264558671e+00,-2.512052184811194161e-02
7.717034068136273683e-01,1.035806104551783902e+00,-2.530709750081062970e-02
7.756913827655311788e-01,1.036543874509910035e+00,-2.549269073127004639e-02
7.796793587174348783e-01,1.037294966412057207e+00,-2.567725165895803560e-02
7.836673346693386888e-01,1.038059597957310176e+00,-2.586072920199302544e-02
7.876553106212424993e-01,1.038837990332901029e+00,-2.604307103749469235e-02
7.916432865731463098e-01,1.039630368277909778e+00,-2.622422356036918645e-02
7.956312625250501203e-01,1.040436960148494405e+00,-2.640413184045075842e-02
7.996192384769539307e-01,1.041257997984789796e+00,-2.658273957792949005e-02
8.036072144288577412e-01,1.042093717579434919e+00,-2.675998905696601315e-02
8.075951903807615517e-01,1.042944358547851502e+00,-2.693582109741196259e-02
8.115831663326653622e-01,1.043810164400335028e+00,-2.711017500453670806e-02
8.155711422845691727e-01,1.044691382616014019e+00,-2.728298851665800565e-02
8.195591182364729832e-01,1.045588264718742000e+00,-2.745419775056348946e-02
8.235470941883767937e-01,1.046501066355025156e+00,-2.762373714461129406e-02
8.275350701402806042e-01,1.047430047374044548e+00,-2.779153939937973467e-02
8.315230460921844147e-01,1.048375471909873236e+00,-2.795753541573492776e-02
8.355110220440882252e-01,1.049337608465954030e+00,-2.812165423017075686e-02
8.394989979959920356e-01,1.050316730001948473e+00,-2.828382294726775395e-02
8.434869739478958461e-01,1.051313114023083584e+00,-2.844396666911134033e-02
8.474749498997996566e-01,1.052327042672026369e+00,-2.860200842148161518e-02
8.514629258517034671e-01,1.053358802823479934e+00,-2.875786907663702152e-02
8.554509018036072776e-01,1.054408686181562027e+00,-2.891146727247726270e-02
8.594388777555110881e-01,1.055476989380117470e+00,-2.906271932787253542e-02
8.634268537074148986e-01,1.056564014086071035e+00,-2.921153915391665884e-02
8.674148296593187091e-01,1.057670067105978440e+00,-2.935783816085029210e-02
8.714028056112225196e-01,1.058795460495920437e+00,-2.950152516038050815e-02
8.753907815631263301e-01,1.059940511674863250e+00,-2.964250626308984060e-02
8.793787575150301405e-01,1.061105543541682295e+00,-2.978068477061996192e-02
8.833667334669339510e-01,1.062290884595999740e+00,-2.991596106227387836e-02
8.873547094188377615e-01,1.063496869063010219e+00,-3.004823247565687958e-02
8.913426853707415720e-01,1.064723837022495845e+00,-3.017739318094375331e-02
8.953306613226453825e-01,1.065972134542221728e+00,-3.030333404832349573e-02
8.993186372745491930e-01,1.067242113815909388e+00,-3.042594250812868245e-02
9.033066132264530035e-01,1.068534133306032308e+00,-3.054510240312086067e-02
9.072945891783568140e-01,1.069848557891631469e+00,-3.066069383234580614e-02
9.112825651302606245e-01,1.071185759021416661e+00,-3.077259298592577297e-02
9.152705410821644350e-01,1.072546114872379830e+00,-3.088067197008852183e-02
9.192585170340682454e-01,1.073930010514216660e+00,-3.098479862167905982e-02
9.232464929859720559e-01,1.075337838079776676e+00,-3.108483631130603761e-02
9.272344689378758664e-01,1.076769996941882468e+00,-3.118064373421891924e-02
9.312224448897796769e-01,1.078226893896751637e+00,-3.127207468789361400e-02
9.352104208416834874e-01,1.079708943354374062e+00,-3.135897783522489934e-02
9.391983967935872979e-01,1.081216567536100071e+00,-3.144119645209444980e-02
9.431863727454911084e-01,1.082750196679782784e+00,-3.151856815796397204e-02
9.471743486973948079e-01,1.084310269252768633e+00,-3.159092462799916595e-02
9.511623246492986183e-01,1.085897232173052007e+00,-3.165809128506768405e-02
9.551503006012024288e-01,1.087511541038871377e+00,-3.171988696977454114e-02
9.591382765531062393e-01,1.089153660367065291e+00,-3.177612358650379332e-02
9.631262525050100498e-01,1.090824063840417191e+00,-3.182660572319662151e-02
9.671142284569138603e-01,1.092523234564237278e+00,-3.187113024234967257e-02
9.711022044088176708e-01,1.094251665332351298e+00,-3.190948584042389152e-02
9.750901803607214813e-01,1.096009858902620371e+00,-3.194145257252974102e-02
9.790781563126252918e-01,1.097798328282024727e+00,-3.196680133888490233e-02
9.830661322645291023e-01,1.099617597021234516e+00,-3.198529332912543321e-02
9.870541082164329127e-01,1.101468199518445878e+00,-3.199667942007688309e-02
9.910420841683367232e-01,1.103350681332084360e+00,-3.200069952205846641e-02
9.950300601202405337e-01,1.105265599501730867e+00,-3.199708186818418787e-02
9.990180360721443442e-01,1.107213522876332901e+00,-3.198554224043916039e-02
1.003006012024048044e+00,1.109195032448390572e+00,-3.196578312552700307e-02
1.006993987975951965e+00,1.111210721692302394e+00,-3.193749279259572305e-02
1.010981963927855887e+00,1.113261196904484107e+00,-3.190034428395117916e-02
