# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.256513026052104298e-01,1.019883584812642408e+00,-6.473794932835063914e-04
1.296392785571142403e-01,1.021175307314595493e+00,-6.881291571262869141e-04
1.336272545090180508e-01,1.022508650284131626e+00,-7.300242825956696456e-04
1.376152304609218613e-01,1.023883740428044087e+00,-7.730528321063689272e-04
1.416032064128256718e-01,1.025300709880226702e+00,-8.172023598496035114e-04
1.455911823647294823e-01,1.026759696374921038e+00,-8.624600068531232183e-04
1.495791583166332928e-01,1.028260843396698654e+00,-9.088124956004853998e-04
1.535671342685371032e-01,1.029804300360065428e+00,-9.562461243901121486e-04
1.575551102204409137e-01,1.031390222783407307e+00,-1.004746761242411709e-03
1.615430861723446965e-01,1.033018772478803360e+00,-1.054299837447947872e-03
1.655310621242485070e-01,1.034690117745656224e+00,-1.104890340669127755e-03
1.695190380761523175e-01,1.036404433568237859e+00,-1.156502807542305385e-03
1.735070140280561279e-01,1.038161901831373246e+00,-1.209121315854237147e-03
1.774949899799599384e-01,1.039962711537997686e+00,-1.262729476140008475e-03
1.814829659318637489e-01,1.041807059034690397e+00,-1.317310422730298605e-03
1.854709418837675594e-01,1.043695148252513416e+00,-1.372846804225925270e-03
1.894589178356713699e-01,1.045627190949582230e+00,-1.429320773278273862e-03
1.934468937875751804e-01,1.047603406971304940e+00,-1.486713975764655674e-03
1.974348697394789909e-01,1.049624024514895781e+00,-1.545007539160065052e-03
2.014228456913828014e-01,1.051689280407557936e+00,-1.604182060184273151e-03
2.054108216432865841e-01,1.053799420394954556e+00,-1.664217591608536852e-03
2.093987975951903946e-01,1.055954699439500155e+00,-1.725093628155677022e-03
2.133867735470942051e-01,1.058155382033810321e+00,-1.786789091505262351e-03
2.173747494989980156e-01,1.060401742524217594e+00,-1.849282314265013371e-03
2.213627254509018261e-01,1.062694065446371461e+00,-1.912551022869740137e-03
2.253507014028056366e-01,1.065032645877168838e+00,-1.976572319371954021e-03
2.293386773547094470e-01,1.067417789796054839e+00,-2.041322661970351292e-03
2.333266533066132575e-01,1.069849814463910143e+00,-2.106777844276905547e-03
2.373146292585170680e-01,1.072329048817356023e+00,-2.172912973203049332e-03
2.413026052104208785e-01,1.074855833874184041e+00,-2.239702445333811593e-03
2.452905811623246612e-01,1.077430523162240306e+00,-2.307119921793348086e-03
2.492785571142284717e-01,1.080053483157035643e+00,-2.375138301371586269e-03
2.532665330661322822e-01,1.082725093742823441e+00,-2.443729691896962420e-03
2.572545090180360927e-01,1.085445748689564116e+00,-2.512865379695490304e-03
2.612424849699399032e-01,1.088215856149566285e+00,-2.582515797011358891e-03
2.652304609218437137e-01,1.091035839174588684e+00,-2.652650487262114224e-03
2.692184368737475242e-01,1.093906136254255479e+00,-2.723238067977937736e-03
2.732064128256513347e-01,1.096827201873011859e+00,-2.794246191218171301e-03
2.771943887775551452e-01,1.099799507096939521e+00,-2.865641501425332180e-03
2.811823647294589557e-01,1.102823540177457984e+00,-2.937389590359538050e-03
2.851703406813627661e-01,1.105899807185584116e+00,-3.009454949069091060e-03
2.891583166332665766e-01,1.109028832670240439e+00,-3.081800916585572623e-03
2.931462925851703871e-01,1.112211160346481043e+00,-3.154389625176472721e-03
2.971342685370741976e-01,1.115447353811768627e+00,-3.227181941851497808e-03
3.011222444889780081e-01,1.118737997294359410e+00,-3.300137405894462868e-03
3.051102204408818186e-01,1.122083696435067779e+00,-3.373214162116837563e-03
3.090981963927855736e-01,1.125485079103609509e+00,-3.446368889502910132e-03
3.130861723446893841e-01,1.128942796251929170e+00,-3.519556724908501789e-03
3.170741482965931946e-01,1.132457522807764461e+00,-3.592731181432781608e-03
3.210621242484970050e-01,1.136029958609243051e+00,-3.665844061036083006e-03
3.250501002004008155e-01,1.139660829384206986e+00,-3.738845360951743944e-03
3.290380761523046260e-01,1.143350887777683456e+00,-3.811683173399740485e-03
3.330260521042084365e-01,1.147100914429991070e+00,-3.884303578022194753e-03
3.370140280561122470e-01,1.150911719109420028e+00,-3.956650526451879410e-03
3.410020040080160575e-01,1.154784141902305716e+00,-4.028665718280922438e-03
3.449899799599198680e-01,1.158719054467343357e+00,-4.100288467745305705e-03
3.489779559118236785e-01,1.162717361358002854e+00,-4.171455560238913549e-03
3.529659318637274890e-01,1.166780001415386181e+00,-4.242101097657349947e-03
3.569539078156312994e-01,1.170907949242310231e+00,-4.312156331599263821e-03
3.609418837675351099e-01,1.175102216763547647e+00,-4.381549483203532082e-03
3.649298597194389204e-01,1.179363854876267936e+00,-4.450205548177292234e-03
3.689178356713427309e-01,1.183693955205397996e+00,-4.518046085644789392e-03
3.729058116232465414e-01,1.188093651967619513e+00,-4.584988988934722218e-03
3.768937875751503519e-01,1.192564123957143174e+00,-4.650948236379137853e-03
3.808817635270541624e-01,1.197106596665023615e+00,-4.715833619850414923e-03
3.848697394789579729e-01,1.201722344545378629e+00,-4.779550448435329266e-03
3.888577154308617834e-01,1.206412693443108974e+00,-4.841999224175373186e-03
3.928456913827655939e-01,1.211179023200528171e+00,-4.903075286452944492e-03
3.968336673346693488e-01,1.216022770464740832e+00,-4.962668420939246941e-03
4.008216432865731593e-01,1.220945431715184215e+00,-5.020662428362283533e-03
4.048096192384769698e-01,1.225948566540437712e+00,-5.076934647553574959e-03
4.087975951903807803e-01,1.231033801192931154e+00,-5.131355426270251506e-03
4.127855711422845908e-01,1.236202832457052425e+00,-5.183787532011584556e-03
4.167735470941884013e-01,1.241457431869840367e+00,-5.234085493633296865e-03
4.207615230460922118e-01,1.246799450344581173e+00,-5.282094862858206959e-03
4.247494989979960223e-01,1.252230823249574243e+00,-5.327651382351896760e-03
4.287374749498998328e-01,1.257753576009872587e+00,-5.370580044511220029e-03
4.327254509018036432e-01,1.263369830306659614e+00,-5.410694021452779404e-03
4.367134268537074537e-01,1.269081810970377200e+00,-5.447793442572526623e-03
4.407014028056112642e-01,1.274891853673251418e+00,-5.481663990299940475e-03
4.446893787575150747e-01,1.280802413555870656e+00,-5.512075277811384968e-03
4.486773547094188852e-01,1.286816074947017885e+00,-5.538778963255663879e-03
4.526653306613226957e-01,1.292935562374613712e+00,-5.561506543377619724e-03
4.566533066132265062e-01,1.299163753100275320e+00,-5.579966753579924596e-03
4.606412825651303167e-01,1.305503691482805317e+00,-5.593842481376835006e-03
4.646292585170341272e-01,1.311958605531226896e+00,-5.602787072011263837e-03
4.686172344689379377e-01,1.318531926115299457e+00,-5.606419868038866987e-03
4.726052104208417481e-01,1.325227309420257571e+00,-5.604320773071921891e-03
4.765931863727455586e-01,1.332048663400830169e+00,-5.596023558949356734e-03
4.805811623246493136e-01,1.339000179208627905e+00,-5.581007535093291533e-03
4.845691382765531241e-01,1.346086368874207295e+00,-5.558687057157009684e-03
4.885571142284569346e-01,1.353312389898258195e+00,-5.528341590198077894e-03
4.925450901803607451e-01,1.360683063070978971e+00,-5.489300260825126163e-03
4.965330661322645556e-01,1.368204411384354557e+00,-5.440639885703238768e-03
5.005210420841683661e-01,1.375882820110334359e+00,-5.381325272696079430e-03
5.045090180360721765e-01,1.383725372164044787e+00,-5.310124781070719654e-03
5.084969939879759870e-01,1.391739997180867494e+00,-5.225547528650311552e-03
5.124849699398797975e-01,1.399935670577740598e+00,-5.125751339719201993e-03
5.164729458917836080e-01,1.408322685865313284e+00,-5.008402809835596492e-03
5.204609218436874185e-01,1.416913037602848480e+00,-4.870455140146267084e-03
5.244488977955912290e-01,1.425720977087075125e+00,-4.707776325207389118e-03
5.284368737474950395e-01,1.434763847532119607e+00,-4.514484566072131042e-03
5.324248496993988500e-01,1.444063381765644749e+00,-4.281640065196461696e-03
5.364128256513026605e-01,1.453647541915234598e+00,-3.994469840684848616e-03
5.404008016032064710e-01,1.463553778352452373e+00,-3.625733954277492871e-03
5.443887775551102814e-01,1.473826808499471896e+00,-3.116821233309213617e-03
5.483767535070140919e-01,1.484479411545440275e+00,-2.345800595405497790e-03
5.523647294589179024e-01,1.495397033809336529e+00,-1.196908213421518305e-03
