# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.455911823647294823e-01,9.967893403638429239e-01,-8.956536412602421164e-04
1.495791583166332928e-01,9.966106784669236385e-01,-9.450650227028161137e-04
1.535671342685371032e-01,9.964271490387051067e-01,-9.957757372878028174e-04
1.575551102204409137e-01,9.962387498985391110e-01,-1.047782926302224301e-03
1.615430861723446965e-01,9.960454767572550772e-01,-1.101083647314179785e-03
1.655310621242485070e-01,9.958473274872220449e-01,-1.155674894470140948e-03
1.695190380761523175e-01,9.956442979808463045e-01,-1.211553577604339554e-03
1.735070140280561279e-01,9.954363847682564659e-01,-1.268716534194880632e-03
1.774949899799599384e-01,9.952235849666074552e-01,-1.327160533228584306e-03
1.814829659318637489e-01,9.950058946397714044e-01,-1.386882261889022276e-03
1.854709418837675594e-01,9.947833103940263433e-01,-1.447878337073471664e-03
1.894589178356713699e-01,9.945558286157193395e-01,-1.510145300975628381e-03
1.934468937875751804e-01,9.943234453111013949e-01,-1.573679618415904560e-03
1.974348697394789909e-01,9.940861567975373125e-01,-1.638477682776917632e-03
2.014228456913828014e-01,9.938439594810923872e-01,-1.704535815700939597e-03
2.054108216432865841e-01,9.935968489740653053e-01,-1.771850257477414984e-03
2.093987975951903946e-01,9.933448215852721530e-01,-1.840417181726151713e-03
2.133867735470942051e-01,9.930878732431417388e-01,-1.910232684874787080e-03
2.173747494989980156e-01,9.928259996873400883e-01,-1.981292788369211442e-03
2.213627254509018261e-01,9.925591969280057603e-01,-2.053593443634273239e-03
2.253507014028056366e-01,9.922874605704421480e-01,-2.127130524046246147e-03
2.293386773547094470e-01,9.920107863479462607e-01,-2.201899832118337993e-03
2.333266533066132575e-01,9.917291699375436753e-01,-2.277897096586342738e-03
2.373146292585170680e-01,9.914426068116733992e-01,-2.355117970905266662e-03
2.413026052104208785e-01,9.911510927040586560e-01,-2.433558039669489210e-03
2.452905811623246612e-01,9.908546229907310154e-01,-2.513212809608208944e-03
2.492785571142284717e-01,9.905531929701484328e-01,-2.594077715153924116e-03
2.532665330661322822e-01,9.902467981140010700e-01,-2.676148119395580383e-03
2.572545090180360927e-01,9.899354336845890279e-01,-2.759419311593310550e-03
2.612424849699399032e-01,9.896190949909371426e-01,-2.843886508691795614e-03
2.652304609218437137e-01,9.892977772043881624e-01,-2.929544854371730987e-03
2.692184368737475242e-01,9.889714755132145152e-01,-3.016389420499920870e-03
2.732064128256513347e-01,9.886401849313849466e-01,-3.104415204242522760e-03
2.771943887775551452e-01,9.883039006084491929e-01,-3.193617133816650626e-03
2.811823647294589557e-01,9.879626174982174547e-01,-3.283990062454116184e-03
2.851703406813627661e-01,9.876163306345350223e-01,-3.375528773713807901e-03
2.891583166332665766e-01,9.872650348532306941e-01,-3.468227976335640315e-03
2.931462925851703871e-01,9.869087250807326850e-01,-3.562082309776371924e-03
