# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.000000000000000021e-02,9.999702282533051712e-01,-4.900117464856272944e-06
1.398797595190380896e-02,9.999768779783333450e-01,-9.595385326622223615e-06
1.797595190380761598e-02,9.999643755882221541e-01,-1.586187257380684891e-05
2.196392785571142647e-02,9.999481646786545497e-01,-2.370909908388027379e-05
2.595190380761523002e-02,9.999275081213556682e-01,-3.314745965683530581e-05
2.993987975951904051e-02,9.999037852163824569e-01,-4.419046737745774208e-05
3.392785571142285100e-02,9.998765896819470367e-01,-5.685340959549062810e-05
3.791583166332665455e-02,9.998459944614014328e-01,-7.115363889015872837e-05
4.190380761523046504e-02,9.998121795951896429e-01,-8.711059825957250837e-05
4.589178356713427553e-02,9.997750139380137124e-01,-1.047455979230298688e-04
4.987975951903807909e-02,9.997345717375205609e-01,-1.240819237734585591e-04
5.386773547094188958e-02,9.996908979621678126e-01,-1.451447000593290198e-04
5.785571142284570006e-02,9.996440199821216011e-01,-1.679608302137782156e-04
6.184368737474950362e-02,9.995939507945629243e-01,-1.925588940370046205e-04
6.583166332665331411e-02,9.995407522259092126e-01,-2.189691396860973078e-04
6.981963927855711072e-02,9.994844467955097400e-01,-2.472233129219196328e-04
7.380761523046092121e-02,9.994250833805266021e-01,-2.773546304065528070e-04
7.779559118236473170e-02,9.993627014580617196e-01,-3.093976406831538744e-04
8.178356713426854219e-02,9.992973460426705090e-01,-3.433881441780336336e-04
8.577154308617233880e-02,9.992290742692458982e-01,-3.793630952871104704e-04
8.975951903807614929e-02,9.991579269931187834e-01,-4.173604408119611269e-04
9.374749498997995978e-02,9.990839634361865507e-01,-4.574190635848980136e-04
9.773547094188377027e-02,9.990072393938964623e-01,-4.995786214066855278e-04
1.017234468937875808e-01,9.989278131887265877e-01,-5.438794279864101345e-04
1.057114228456913912e-01,9.988457458678097201e-01,-5.903623230896242651e-04
1.096993987975951879e-01,9.987611046772133516e-01,-6.390685472964800686e-04
1.136873747494989983e-01,9.986739540400942916e-01,-6.900395744437835951e-04
1.176753507014028088e-01,9.985843648993568689e-01,-7.433169934893919329e-04
1.216633266533066193e-01,9.984924092212051905e-01,-7.989423491999445362e-04
1.256513026052104298e-01,9.983981629993854412e-01,-8.569569961617558122e-04
1.296392785571142403e-01,9.983017035966775810e-01,-9.174019371418308056e-04
1.336272545090180508e-01,9.982031110789090222e-01,-9.803176716733095000e-04
1.376152304609218613e-01,9.981024688345779827e-01,-1.045744039697558535e-03
1.416032064128256718e-01,9.979998623238022226e-01,-1.113720055366077509e-03
1.455911823647294823e-01,9.978953797129368475e-01,-1.184283748059745175e-03
1.495791583166332928e-01,9.977891121000569408e-01,-1.257472000133408188e-03
1.535671342685371032e-01,9.976811518733512685e-01,-1.333320374621683752e-03
1.575551102204409137e-01,9.975715952949765208e-01,-1.411862965740796850e-03
1.615430861723446965e-01,9.974605401906921909e-01,-1.493132222094297043e-03
1.655310621242485070e-01,9.973480869143351857e-01,-1.577158789363118652e-03
1.695190380761523175e-01,9.972343381618966607e-01,-1.663971349427511865e-03
1.735070140280561279e-01,9.971193986634432349e-01,-1.753596457260620271e-03
1.774949899799599384e-01,9.970033753782188146e-01,-1.846058386352906295e-03
1.814829659318637489e-01,9.968863775753377121e-01,-1.941378977259007772e-03
1.854709418837675594e-01,9.967685159996750865e-01,-2.039577478122377510e-03
1.894589178356713699e-01,9.966499037540915706e-01,-2.140670409674512963e-03
1.934468937875751804e-01,9.965306553923457544e-01,-2.244671412941522722e-03
1.974348697394789909e-01,9.964108873064347893e-01,-2.351591120371506697e-03
2.014228456913828014e-01,9.962907173966661922e-01,-2.461437021106177483e-03
2.054108216432865841e-01,9.961702650105369594e-01,-2.574213338148270778e-03
2.093987975951903946e-01,9.960496508463714260e-01,-2.689920911627652865e-03
2.133867735470942051e-01,9.959289968173632435e-01,-2.808557088086255024e-03
2.173747494989980156e-01,9.958084258764057228e-01,-2.930115619234759886e-03
2.213627254509018261e-01,9.956880618742088851e-01,-3.054586568243405648e-03
2.253507014028056366e-01,9.955680295159681226e-01,-3.181956227264753998e-03
2.293386773547094470e-01,9.954484539987518144e-01,-3.312207038796870402e-03
2.333266533066132575e-01,9.953294610580569746e-01,-3.445317534664486554e-03
2.373146292585170680e-01,9.952111767667795039e-01,-3.581262280387269813e-03
2.413026052104208785e-01,9.950937271769247916e-01,-3.720011827877675765e-03
2.452905811623246612e-01,9.949772384047118612e-01,-3.861532686465194136e-03
2.492785571142284717e-01,9.948618362727184028e-01,-4.005787297784040718e-03
2.532665330661322822e-01,9.947476461567789086e-01,-4.152734025531263674e-03
2.572545090180360927e-01,9.946347928640258962e-01,-4.302327157502816232e-03
2.612424849699399032e-01,9.945234003482916751e-01,-4.454516916526279728e-03
2.652304609218437137e-01,9.944135915196435915e-01,-4.609249484457893231e-03
