# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.000000000000000021e-02,1.000023225584918407e+00,-5.164751786914890764e-06
1.398797595190380896e-02,1.000045666096444963e+00,-1.010480725356650343e-05
1.797595190380761598e-02,1.000075506070363884e+00,-1.668699847874587715e-05
2.196392785571142647e-02,1.000112546753434195e+00,-2.491064597613426479e-05
2.595190380761523002e-02,1.000157092532709457e+00,-3.477509974672667790e-05
2.993987975951904051e-02,1.000209155990401388e+00,-4.627959759723488260e-05
3.392785571142285100e-02,1.000268628384515024e+00,-5.942321762519092249e-05
3.791583166332665455e-02,1.000335566960189881e+00,-7.420491746870124103e-05
4.190380761523046504e-02,1.000409961711534068e+00,-9.062352593534426929e-05
4.589178356713427553e-02,1.000491824441054556e+00,-1.086777383941006951e-04
4.987975951903807909e-02,1.000581179423889244e+00,-1.283661256450156427e-04
5.386773547094188958e-02,1.000678029472737096e+00,-1.496871231216551697e-04
5.785571142284570006e-02,1.000782386148892478e+00,-1.726390298100546374e-04
6.184368737474950362e-02,1.000894275531682309e+00,-1.972200305502018122e-04
6.583166332665331411e-02,1.001013694897581408e+00,-2.234281505317684089e-04
6.981963927855711072e-02,1.001140673431894390e+00,-2.512613090972899916e-04
7.380761523046092121e-02,1.001275226731874746e+00,-2.807172832001617155e-04
7.779559118236473170e-02,1.001417370800924855e+00,-3.117937138926784668e-04
8.178356713426854219e-02,1.001567127773662857e+00,-3.444881158656211331e-04
8.577154308617233880e-02,1.001724517598278519e+00,-3.787978668377039917e-04
8.975951903807614929e-02,1.001889561322261368e+00,-4.147202105858536461e-04
9.374749498997995978e-02,1.002062282552070194e+00,-4.522522582961289441e-04
9.773547094188377027e-02,1.002242704295559728e+00,-4.913909847084793310e-04
1.017234468937875808e-01,1.002430852180610676e+00,-5.321332319848160776e-04
1.057114228456913912e-01,1.002626752855114933e+00,-5.744757069265590300e-04
1.096993987975951879e-01,1.002830433061103088e+00,-6.184149784389958047e-04
1.136873747494989983e-01,1.003041921414697057e+00,-6.639474802817534049e-04
1.176753507014028088e-01,1.003261247102599674e+00,-7.110695079730622054e-04
1.216633266533066193e-01,1.003488440520653890e+00,-7.597772184637777756e-04
1.256513026052104298e-01,1.003723534410417617e+00,-8.100666358363598201e-04
1.296392785571142403e-01,1.003966560905329874e+00,-8.619336383907397420e-04
1.336272545090180508e-01,1.004217554558300751e+00,-9.153739692837922597e-04
1.376152304609218613e-01,1.004476550489386222e+00,-9.703832293347870643e-04
1.416032064128256718e-01,1.004743585168896836e+00,-1.026956878095634492e-03
1.455911823647294823e-01,1.005018696193486161e+00,-1.085090233444551593e-03
1.495791583166332928e-01,1.005301922701759665e+00,-1.144778471744429269e-03
1.535671342685371032e-01,1.005593304467139015e+00,-1.206016622646062172e-03
1.575551102204409137e-01,1.005892883024708695e+00,-1.268799574007703924e-03
1.615430861723446965e-01,1.006200700873131737e+00,-1.333122066402315890e-03
1.655310621242485070e-01,1.006516801847998632e+00,-1.398978694265508738e-03
1.695190380761523175e-01,1.006841230981228241e+00,-1.466363903669502984e-03
1.735070140280561279e-01,1.007174034698410381e+00,-1.535271992336271043e-03
1.774949899799599384e-01,1.007515260630895471e+00,-1.605697107620858519e-03
1.814829659318637489e-01,1.007864957765880698e+00,-1.677633245746807875e-03
1.854709418837675594e-01,1.008223176394266396e+00,-1.751074250005470352e-03
1.894589178356713699e-01,1.008589968118549285e+00,-1.826013809605514602e-03
1.934468937875751804e-01,1.008965385909357249e+00,-1.902445458592512710e-03
1.974348697394789909e-01,1.009349484112126438e+00,-1.980362573694327121e-03
2.014228456913828014e-01,1.009742318506690273e+00,-2.059758374323612112e-03
2.054108216432865841e-01,1.010143946223577727e+00,-2.140625919007563792e-03
2.093987975951903946e-01,1.010554425738797057e+00,-2.222958103816274726e-03
2.133867735470942051e-01,1.010973817065399682e+00,-2.306747662383661860e-03
2.173747494989980156e-01,1.011402181692515612e+00,-2.391987163623864390e-03
2.213627254509018261e-01,1.011839582440227758e+00,-2.478669007084294707e-03
2.253507014028056366e-01,1.012286083776527956e+00,-2.566785425517951417e-03
2.293386773547094470e-01,1.012741751528580147e+00,-2.656328478153812019e-03
2.333266533066132575e-01,1.013206653211827346e+00,-2.747290053145857829e-03
2.373146292585170680e-01,1.013680857745862696e+00,-2.839661860669800888e-03
2.413026052104208785e-01,1.014164435702415545e+00,-2.933435434229102624e-03
2.452905811623246612e-01,1.014657459233602177e+00,-3.028602126772158773e-03
2.492785571142284717e-01,1.015160002049203314e+00,-3.125153106973247406e-03
2.532665330661322822e-01,1.015672139558752685e+00,-3.223079359185615500e-03
2.572545090180360927e-01,1.016193948756492382e+00,-3.322371677890012098e-03
2.612424849699399032e-01,1.016725508450462057e+00,-3.423020668611873908e-03
2.652304609218437137e-01,1.017266898969872990e+00,-3.525016739356930454e-03
2.692184368737475242e-01,1.017818202520271331e+00,-3.628350102966387825e-03
2.732064128256513347e-01,1.018379502954571025e+00,-3.733010770096574331e-03
2.771943887775551452e-01,1.018951381612531515e+00,-3.839177501549845967e-03
2.811823647294589557e-01,1.019532953667548814e+00,-3.946467937139825320e-03
2.851703406813627661e-01,1.020124785660304179e+00,-4.055054580457123116e-03
2.891583166332665766e-01,1.020726968769591902e+00,-4.164926605310235314e-03
2.931462925851703871e-01,1.021339596058602250e+00,-4.276072966408420856e-03
2.971342685370741976e-01,1.021962762502409916e+00,-4.388482395224439087e-03
3.011222444889780081e-01,1.022596565017201309e+00,-4.502143395719047925e-03
3.051102204408818186e-01,1.023241102489527377e+00,-4.617044239884871351e-03
3.090981963927855736e-01,1.023896475806607365e+00,-4.733172963123085525e-03
3.130861723446893841e-01,1.024562787886641013e+00,-4.850517359420998542e-03
3.170741482965931946e-01,1.025240143710407281e+00,-4.969064976361721106e-03
3.210621242484970050e-01,1.025928650353262084e+00,-5.088803109926281869e-03
3.250501002004008155e-01,1.026628417017726225e+00,-5.209718799096591316e-03
3.290380761523046260e-01,1.027339555067052101e+00,-5.331798820254634620e-03
3.330260521042084365e-01,1.028062178059114373e+00,-5.455029681352975036e-03
3.370140280561122470e-01,1.028796401781300052e+00,-5.579397615872429272e-03
3.410020040080160575e-01,1.029542344286176858e+00,-5.704888576546936034e-03
3.449899799599198680e-01,1.030300125927460897e+00,-5.831488228833972727e-03
3.489779559118236785e-01,1.031069869397347016e+00,-5.959181944158417274e-03
3.529659318637274890e-01,1.031851699764140040e+00,-6.087954792878326818e-03
3.569539078156312994e-01,1.032645744510868546e+00,-6.217791536993778727e-03
3.609418837675351099e-01,1.033452133574694010e+00,-6.348676622579826380e-03
3.649298597194389204e-01,1.034270999387114420e+00,-6.480594171930202825e-03
3.689178356713427309e-01,1.035102476914977032e+00,-6.613527975406624515e-03
3.729058116232465414e-01,1.035946703702269156e+00,-6.747461482977934293e-03
3.768937875751503519e-01,1.036803819912985647e+00,-6.882377795449017704e-03
3.808817635270541624e-01,1.037673968374637212e+00,-7.018259655354200377e-03
3.848697394789579729e-01,1.038557294622779903e+00,-7.155089437513880921e-03
3.888577154308617834e-01,1.039453946946490071e+00,-7.292849139241269242e-03
3.928456913827655939e-01,1.040364076434637575e+00,-7.431520370177894033e-03
3.968336673346693488e-01,1.041287837023216145e+00,-7.571084341757544633e-03
4.008216432865731593e-01,1.042225385543658067e+00,-7.711521856279499390e-03
4.048096192384769698e-01,1.043176881772054365e+00,-7.852813295572854541e-03
4.087975951903807803e-01,1.044142488479466113e+00,-7.994938609246786745e-03
4.127855711422845908e-01,1.045122371483244050e+00,-8.137877302504488430e-03
4.167735470941884013e-01,1.046116699699348507e+00,-8.281608423507100247e-03
4.207615230460922118e-01,1.047125645195892352e+00,-8.426110550276928735e-03
4.247494989979960223e-01,1.048149383247637845e+00,-8.571361777113921387e-03
4.287374749498998328e-01,1.049188092391724725e+00,-8.717339700517004811e-03
4.327254509018036432e-01,1.050241954484484763e+00,-8.864021404585141137e-03
4.367134268537074537e-01,1.051311154759511091e+00,-9.011383445886476593e-03
4.407014028056112642e-01,1.052395881886877049e+00,-9.159401837770237906e-03
4.446893787575150747e-01,1.053496328033652230e+00,-9.308052034105255765e-03
4.486773547094188852e-01,1.054612688925598452e+00,-9.457308912418960906e-03
4.526653306613226957e-01,1.055745163910312368e+00,-9.607146756425304773e-03
4.566533066132265062e-01,1.056893956021569103e+00,-9.757539237904922294e-03
4.606412825651303167e-01,1.058059272045121402e+00,-9.908459397926831780e-03
4.646292585170341272e-01,1.059241322585860123e+00,-1.005987962737677800e-02
4.686172344689379377e-01,1.060440322136443569e+00,-1.021177164677384251e-02
4.726052104208417481e-01,1.061656489147421167e+00,-1.036410648534434424e-02
4.765931863727455586e-01,1.062890046098859287e+00,-1.051685445932551942e-02
4.805811623246493136e-01,1.064141219573542907e+00,-1.066998514947011326e-02
4.845691382765531241e-01,1.065410240331822189e+00,-1.082346737772151186e-02
4.885571142284569346e-01,1.066697343388071983e+00,-1.097726918302505475e-02
4.925450901803607451e-01,1.068002768088927246e+00,-1.113135779624468795e-02
4.965330661322645556e-01,1.069326758193233307e+00,-1.128569961414667942e-02
5.005210420841683661e-01,1.070669561953848881e+00,-1.144026017241458332e-02
5.045090180360721765e-01,1.072031432201321799e+00,-1.159500411765591703e-02
5.084969939879759870e-01,1.073412626429521399e+00,-1.174989517836033150e-02
5.124849699398797975e-01,1.074813406883263989e+00,-1.190489613476383886e-02
5.164729458917836080e-01,1.076234040648049284e+00,-1.205996878757608845e-02
5.204609218436874185e-01,1.077674799741892064e+00,-1.221507392551808222e-02
5.244488977955912290e-01,1.079135961209470640e+00,-1.237017129162705682e-02
5.284368737474950395e-01,1.080617807218509752e+00,-1.252521954826592981e-02
5.324248496993988500e-01,1.082120625158624394e+00,-1.268017624078707217e-02
5.364128256513026605e-01,1.083644707742615898e+00,-1.283499775978652092e-02
5.404008016032064710e-01,1.085190353110393691e+00,-1.298963930188612448e-02
5.443887775551102814e-01,1.086757864935579798e+00,-1.314405482897684080e-02
5.483767535070140919e-01,1.088347552534922436e+00,-1.329819702584717454e-02
5.523647294589179024e-01,1.089959730980663011e+00,-1.345201725612573708e-02
5.563527054108217129e-01,1.091594721215928709e+00,-1.360546551645101104e-02
5.603406813627255234e-01,1.093252850173337398e+00,-1.375849038878350881e-02
5.643286573146293339e-01,1.094934450896937417e+00,-1.391103899076794395e-02
5.683166332665331444e-01,1.096639862667635690e+00,-1.406305692404322301e-02
5.723046092184369549e-01,1.098369431132296015e+00,-1.421448822039660283e-02
5.762925851703407654e-01,1.100123508436645858e+00,-1.436527528564458117e-02
5.802805611222445759e-01,1.101902453362257006e+00,-1.451535884112147186e-02
5.842685370741483863e-01,1.103706631467696875e+00,-1.466467786263834713e-02
5.882565130260521968e-01,1.105536415234165792e+00,-1.481316951677537179e-02
5.922444889779560073e-01,1.107392184215799658e+00,-1.496076909435067707e-02
5.962324649298598178e-01,1.109274325194941735e+00,-1.510740994090426642e-02
6.002204408817636283e-01,1.111183232342551674e+00,-1.525302338401084146e-02
6.042084168336674388e-01,1.113119307384175194e+00,-1.539753865723574554e-02
6.081963927855711383e-01,1.115082959771708904e+00,-1.554088282052013686e-02
6.121843687374749488e-01,1.117074606861290675e+00,-1.568298067676515001e-02
6.161723446893787592e-01,1.119094674097759201e+00,-1.582375468437368510e-02
6.201603206412825697e-01,1.121143595205936982e+00,-1.596312486546706128e-02
6.241482965931863802e-01,1.123221812389391339e+00,-1.610100870950257473e-02
6.281362725450901907e-01,1.125329776536846627e+00,-1.623732107194261753e-02
6.321242484969940012e-01,1.127467947437008844e+00,-1.637197406765023358e-02
6.361122244488978117e-01,1.129636794002200517e+00,-1.650487695860467993e-02
6.401002004008016222e-01,1.131836794501377641e+00,-1.663593603552148206e-02
6.440881763527054327e-01,1.134068436803310265e+00,-1.676505449291430111e-02
6.480761523046092432e-01,1.136332218630461854e+00,-1.689213229707859504e-02
6.520641282565130536e-01,1.138628647824403872e+00,-1.701706604643473536e-02
6.560521042084168641e-01,1.140958242623557606e+00,-1.713974882360337973e-02
6.600400801603206746e-01,1.143321531954197834e+00,-1.726007003852726707e-02
6.640280561122244851e-01,1.145719055735628489e+00,-1.737791526186151236e-02
6.680160320641282956e-01,1.148151365200642759e+00,-1.749316604779100476e-02
6.720040080160321061e-01,1.150619023232421601e+00,-1.760569974532127588e-02
6.759919839679359166e-01,1.153122604719118982e+00,-1.771538929698655493e-02
6.799799599198397271e-01,1.155662696927544308e+00,-1.782210302379736572e-02
6.839679358717435376e-01,1.158239899897492542e+00,-1.792570439510604227e-02
6.879559118236473481e-01,1.160854826858293221e+00,-1.802605178190555546e-02
6.919438877755511585e-01,1.163508104669568111e+00,-1.812299819190937508e-02
6.959318637274549690e-01,1.166200374288074659e+00,-1.821639098452520686e-02
6.999198396793587795e-01,1.168932291262962719e+00,-1.830607156362559426e-02
